澳门一季度零售业销售额同比下跌45.1%|2020年05月25日 23:24|原标题：澳门一季度零售业销售额同比下跌45.1% 新华社澳门5月25日电（记者王晨曦）澳门特区政府统计暨普查局25日表示，受新冠肺炎疫情影响，澳门2020年第一季度零售业销售额112.4亿澳门元，同比下跌45.1%，销量指数跌幅为44.8%。 统计暨普查局的数据显示，与2019年同期的销售额相比，钟表珠宝、百货、成人服装和皮具分别下跌57.5%、56.4%、52.9%和51.0%，超市则上升14.0%。销量指数方面，钟表珠宝、百货、成人服装和皮具分别下跌60.7%、54.3%、48.2%和47.3%，超市上升11.9%。 与2019年第四季度修订后的零售业销售额相比，2020年第一季度销售额减少45.8%，其中钟表珠宝、百货、化妆品及卫生用品分别下跌57.5%、54.5%和54.0%，超市上升10.2%。销量指数按季减少45.5%，钟表珠宝、化妆品及卫生用品、百货分别下跌59.0%、53.7%和53.5%，超市则上升8.4%。 此外，有80.5%的商户预计第二季度货物销量将比去年同季度减少，13.3%认为销售量同比持平，预期增加的仅占6.2%。销售价格方面，有68.1%的商户预测第二季度销售价格将维持在去年同期水平，认为价格下跌的占27.0%，而预计上升的有4.9%。 与第一季度相比，有52.9%的商户预计第二季度经营情况趋弱，而认为经营情况保持稳定和好转的各占23.9%和23.2%。 责任编辑：张申 
疫情期间排放低为何还有重污染天？黄润秋解答|2020年05月25日 17:50|原标题：部长通道丨疫情期间排放低为何还有重污染天？黄润秋解答 新京报快讯（记者 张璐）十三届全国人大三次会议第二次全体会议今天（5月25日）下午举行，“部长通道”会后开启。生态环境部部长黄润秋称，十三五以来，重污染天在我国重点地区发生频率和强度大幅减低。 他给出一组数据：京津冀和周边地区28个城市，重污染天气2015年平均大于36天，2019年降到了20天，减少了45%；严重污染天气2015年京津冀地区是10天，2019年平均只有两天，降低了80%。 北京2015年重污染天数43天，去年只有4天，降低了90%，去年没有严重污染天气。从重污染天气变化情况看，治理途径是正确的，也取得了效果。 京津冀地区和其他地区排放仍然偏重，改善比较脆弱，因为会遇到不良天气的影响。今年1月底到2月中旬，连续出现两次重污染天过程就是典型的例子。 为何疫情防控期间排放水平降低，还会出现重污染天？他说，重污染天出现一方面取决于排放，一方面取决于环境容量。春节期间，社会活动水平降低，排放降低，降低的部分主要是交通出行、餐饮、建筑工地等，但是冬季取暖等没有降低，钢铁化工等工业没有停下，所以排放量没有减下来。整个1月-2月，全社会污染物排放量和正常相比降低了30%。 但是同期，京津冀遇到极端不利气象条件，因此地区形成大气逆温现象，环境容量降低了50%左右。所以重污染天气又出现了。 他说，生态环境质量改善从量变到质变拐点还没有到来。接下来，中短期要实施重大污染减排工程，包括冬季清洁取暖替代等。 新京报记者 张璐 责任编辑：朱学森 
CGTN专访武汉病毒研究所研究员石正丽全本|2020年05月25日 17:46|原标题：独家！CGTN专访武汉病毒研究所研究员石正丽全本 来源：CGTN 石正丽被称为“蝙蝠女侠”，在新冠疫情来袭之际，曾一度处于“阴谋论”话题的焦点。首次接触到2019新型冠状病毒样本后做了哪些病原鉴定工作？完成病毒基因组的测序是否意味着工作告一段落？10多年研究冠状病毒的经验与这次抗疫行动有何联系？是否开展了国际合作？武汉病毒研究所研究员石正丽在采访中一一解答。Shi Zhengli， a Chinese virologist based at the Wuhan Institute of Virology， has long been known as China‘s “bat woman” for tracking down dozens of SARS-like diseases in bats。 She has recently been the focus of conspiracy theories during the COVID-19 outbreak。 Her work and the lab have been accused of being the origins of the novel coronavirus。 Recently， Shi published her new research into SARS-related pathogens， animal hosts and evolution。 CGTN talked to the virologist to see how her work is contributing to the fight against the pandemic。 责任编辑：祝加贝 
车载新冠病毒检测实验室有望7月投入使用|2020年05月25日 17:29|原标题：车载新冠病毒检测实验室有望7月投入使用 来源：中国日报 全国人大代表、中国工程院院士程京日前在接受采访时表示，车载新冠病毒检测实验室研究工作正在加快进行中，部分已经完成，预计6月底将问世，最快7月份可投入使用。程京介绍说，车载新冠病毒检测主要取决于一张芯片，将口腔试纸样品放入这款新研发的全集成封闭式核酸快速检测芯片后，核酸提取、反应等所有检测都可在芯片内自动完成。根据初步测试，只需五十分钟内即可完成核酸检测出结果。（记者 辛闻） 责任编辑：祝加贝 
与你有关！两高今年要干这些大事|2020年05月25日 17:22|原标题：与你有关！两高今年要干这些大事 今天下午，最高人民法院、最高人民检察院两份工作报告“出炉”。“惩治影响常态化疫情防控各类犯罪”“严惩贪占扶贫款物犯罪”“严厉惩治性侵未成年人犯罪”……两高今年重点要干的这些大事，将影响你我的生活。 [最高法]依法惩治影响常态化疫情防控各类犯罪，坚决维护国家安全、生物安全、公共卫生安全和社会稳定。 [最高检]严惩危害防疫、非法捕杀和交易野生动物等犯罪。 [最高法]深化扫黑除恶专项斗争，依法公正高效审理涉黑涉恶犯罪案件，让每一起案件都经得起法律和历史检验，让人民群众收获更多安全感。 [最高检]集中力量办理进入起诉高峰的涉黑涉恶案件，助推长效常治。 [最高法]严厉打击敌对势力渗透、破坏、颠覆、分裂活动。 [最高检]坚决惩治危害国家安全犯罪。 [最高法]严惩“三农”领域各类犯罪，强化消费扶贫、就业扶贫、产业扶贫司法保障，加强金融、环境资源等案件审判，为打好三大攻坚战提供有力司法服务。 [最高检]严惩贪占扶贫款物犯罪，推动建立扶贫领域涉案财物快速返还机制。 [最高法]坚持把非诉讼纠纷解决机制挺在前面，注重运用调解、执行和解等方式妥善化解因疫情引发的矛盾纠纷。 坚决依法纠正就业中地域、性别等歧视，坚决依法纠正无故解除新冠肺炎患者劳动合同关系的行动，维护劳动者公平就业权利。 [最高检]参与涉疫矛盾纠纷排查化解，有力促进疫后社会治理。 [最高法]严惩公共安全、民生保障等领域犯罪，加强新型犯罪问题研究应对。 [最高检]规范公益诉讼检察工作，积极、稳妥办理安全生产、公共卫生、妇女儿童权益保护、网络侵害、扶贫等领域公益损害案件。 严厉惩治性侵未成年人犯罪，督导“一号检察建议”落实再落实。 [最高法]加强产权和知识产权司法保护，保护商业秘密。加强数据权利和个人信息安全保护，服务数字经济健康发展。 [最高检]从严惩治金融犯罪。 [最高法]依法惩治职务犯罪，服务一体推进不敢腐、不能腐、不想腐。 [最高检]深化监检衔接，依法惩治职务犯罪。 [最高法]坚持以人民呼声为第一信号，不断解决群众关注的难点堵点痛点问题。 [最高检]突出办好生态环境和食品领域损害公益案件。 [最高法]积极参与市域社会治理，发挥人民法庭作用，服务法治乡村建设。 [最高检]坚持新时代“枫桥经验”，积极参与市域社会治理。 [最高法]巩固拓展疫情期间智慧法院建设应用成果，完善互联网司法模式，以精准司法推动数字正义，努力实现新时代更高水平的公平正义。 [最高检]提升检务科学管理水平，升级智慧检务建设，全面推进新时代基层检察工作创新发展。 [最高法]坚决破除形式主义、官僚主义，严格执行防止外部和内部人员干预过问司法“三个规定”等铁规禁令，让暗箱操作没有空间，让司法腐败无法藏身，扎实开展“以案释德、以案释纪、以案释法”警示教育，以零容忍态度严惩司法腐败，把“严”的主基调长期坚持下去，以廉洁司法确保公正司法。 [最高检]落实全面从严治党主体责任和监督责任，深化中央巡视反馈意见整改落实，在“严”的主基调下抓实全系统党风廉政建设，深入开展检察队伍教育整顿，打造忠诚干净担当的检察铁军。 （文字整理：岳小乔） 责任编辑：朱学森 
湖北已有712万人返岗就业，总返岗人数与往年持平|2020年05月25日 16:57|原标题：湖北已有712万人返岗就业，总返岗人数与往年持平 新京报快讯（记者 徐美慧）5月25日下午4时，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第101场新闻发布会，介绍湖北省积极应对疫情影响促进建筑业和房地产市场平稳健康发展的政策措施。 湖北省人力资源和社会保障厅党组成员、副厅长刘鸿表示，疫情发生以来，湖北省人社部门坚持减负、稳岗扩就业并举，通过点对点、一站式组织返岗就业，全力支持各类企业复产，全力组织返岗复工。 刘鸿表示，截至目前，湖北省已经有712万人返岗就业，阶段性集中返岗已经完成，总返岗人数与往年持平。 新京报记者 徐美慧 责任编辑：朱学森 
两高报告战疫色彩浓 张军：应对疫情不能按部就班|2020年05月25日 16:55|原标题：两高报告战疫色彩浓 张军：应对疫情不能按部就班 新京报快讯（记者王俊）今天（5月25日），十三届全国人大三次会议上，最高人民法院院长周强、最高人民检察院检察长张军向大会作工作报告。记者注意到，在两高的报告中，都专门介绍了新冠肺炎疫情以来的工作情况。最高检首次以每周一批的频次发布典型案例，以案释法。张军表示，应对重大突发公共卫生事件不能按部就班。 疫情发生以来，两高都出台办案规范，包括依法惩治妨害疫情防控犯罪、惩治妨害国境卫生检疫犯罪、保障复工复产等意见。 最高检工作报告中指出，这是从一开始就注意准确把握法律政策，力防突破法律的“从重”“从严”“从快”。 张军作报告时还提出，应对重大突发公共卫生事件不能按部就班。自2月11日起，最高检首次以在办的批捕起诉案件释法，首次会同公安部发布典型案例，首次以每周一批的频次，根据疫情防控不同阶段特点，分专题发布10批55个典型案例，突出维护医疗秩序、防疫秩序、市场秩序、社会秩序，收到规范司法、警示犯罪、教育社会的积极效果。 据最高检办公厅主任、新闻发言人王松苗介绍，首次将在办的案件对外发布，没有等到判决生效盖棺论定，主要是为了满足实践急需；首次会同公安部发布哄抬物价、境外疫情输入两批案例，以统一执法尺度，及时指导办案；首次采用一周一批、一批一个主题的方式对外发布，以震慑违法犯罪，强化法治权威，维护防疫秩序。 两高报告在介绍疫情以来的工作情况时，民营企业和医护工作者被重点提及。 最高法工作报告指出，完善服务“六稳”“六保”司法举措，发布57个惩处涉疫犯罪和服务复工复产典型案例，努力为抗疫护航、为大局服务。 并且，坚持审慎善意文明司法，积极为中小微企业纾困解难；运用远程立案、网上审判、智慧执行及时定分止争。 最高检工作报告则表示，疫情期间民营企业特别是小微企业经营困难，我们释放最大的司法善意，坚持依法从严从快追诉妨害复工复产、损害企业合法权益的犯罪，最大程度帮助企业迫赃挽损，同时落实好“慎捕慎诉”的检察政策，以更大力度支持民营企业渡过难关，防止“案子办了，企业垮了”。 医务工作者是这次抗疫中的英雄。最高法报告中指出，严惩侵害医务工作者人身安全和人格尊严犯罪，保护抗疫中负重前行的“最美逆行者”。最高检则提到，与国家卫健委等作出部署，对伤医扰医犯罪一律从严追诉。 新京报记者 王俊 责任编辑：朱学森 
湖北省昨日新增38例无症状感染者|2020年05月25日 16:07|原标题：湖北省昨日新增38例无症状感染者 新京报快讯（记者 徐美慧）5月25日下午4时，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第101场新闻发布会。湖北省疾病预防控制中心副主任李阳通报，5月24日，湖北省新增无症状感染者38例，转确诊0例，解除隔离9例。 李阳通报，截至2020年5月24日24时，湖北省累计报告新冠肺炎确诊病例68135例，其中，武汉市50340例，其他市州17795例。 2020年5月24日0-24时，湖北省新增新冠肺炎确诊病例0例，无境外输入病例。新增治愈出院1例，为武汉市病例。湖北省除武汉市以外地区已连续81日无新增确诊病例。 截至2020年5月24日24时，全省现有确诊病例6例，均来自武汉市，其中重症1例、危重症1例，现有疑似病例0例；湖北省累计病亡4512例，累计治愈出院63617例。 5月24日，湖北省新增无症状感染者38例，转确诊0例，解除隔离9例，尚在医学观察的无症状感染者326例。 新京报记者 徐美慧 责任编辑：朱学森 
3700余人涉疫情犯罪被批捕|2020年05月25日 16:02|原标题：3700余人涉疫情犯罪被批捕 张军说，2020年2月至4月，共批准逮捕涉疫刑事犯罪3700余人、起诉2500余人，办理相关公益诉讼案件2800余件。 责任编辑：祝加贝 
疫情防控期间，全国法院网上立案136万件|2020年05月25日 15:40|原标题：疫情防控期间，全国法院网上立案136万件 最高法报告透露，智慧法院在疫情防控期间“大显身手”，全国法院网上立案136万件、开庭25万次、调解59万次，电子送达446万次。 责任编辑：祝加贝 
康希诺新冠疫苗I期临床试验结果：值得进一步研究|2020年05月25日 14:03|原标题：康希诺新冠疫苗I期临床试验结果：值得进一步研究 新京报讯（记者 王卡拉）5月25日，康希诺发布有关新冠病毒疫苗（腺病毒载体）（以下称为“Ad5-nCoV疫苗”）临床试验I期研究结果：Ad5-nCoV疫苗接种后28天可耐受，并具有免疫原性。健康成人中，对SARS-CoV-2的体液反应在接种后第28天达到峰值，接种后第14天产生快速的特异性T细胞反应。康希诺表示，上述发现表明，Ad5-nCoV疫苗值得进一步研究。 Ad5-nCoV疫苗为重组5型腺病毒载体COVID-19疫苗，由康希诺与军事科学院军事医学研究院生物工程研究所联合开发，采用基因工程方法构建，以复制缺陷型人5型腺病毒为载体，可表达新型冠状病毒S抗原，拟用于预防新型冠状病毒感染引起的疾病。 Ad5-nCoV疫苗I期临床试验的目的是评估重组5型腺病毒载体COVID-19疫苗的安全性，耐受性和免疫原性。该腺病毒载体疫苗表达严重急性呼吸系统综合征冠状病毒2（SARS-CoV-2）株的刺突糖蛋白。 康希诺介绍，项目组在中国武汉开展了一个Ad5载体COVID-19疫苗的剂量递增、单中心、开放标签、非随机的I期临床试验。按顺序登记年龄在18至60岁之间的健康成人，并将其分为三个剂量组（5×1010，1×1011和1.5×1011病毒颗粒），肌内注射疫苗。主要终点是免疫后7天内的不良事件；安全性观察持续到接种后的第28天。ELISA法测定特异性抗体，以SARS-CoV-2病毒和假病毒中和试验测定疫苗诱导的中和抗体，以酶联免疫斑点法和流式细胞仪来评估T细胞反应。 在2020年3月16日至3月27日期间，项目组筛选195个受试者，最终入组108名（男性51%，女性49%；平均年龄36.3岁），接种低剂量、中剂量或高剂量疫苗。所有入组的受试者都被纳入分析。疫苗接种后的7日内，低剂量组有30名（83%）受试者，中剂量组有30名（83%）受试者，高剂量组有27名（75%）受试者有至少一种不良反应。最常见的注射部位不良反应是疼痛，在疫苗接种者中有58名（54%）出现疼痛症状；最常见的全身不良反应是发烧、疲劳、头痛和肌肉疼痛。所有剂量组的大多数不良反应为轻度或中度；接种后28天内未报告严重不良事件；接种后14天ELISA抗体和中和抗体明显增加，并在接种后28天达到峰值。特异性T细胞反应在接种后第14天达到峰值。 康希诺表示，上述临床试验结果显示，Ad5-nCoV疫苗接种后28天可耐受，并具有免疫原性。健康成人中，对SARS-CoV-2的体液反应在接种后第28天达到峰值，接种后第14天产生快速的特异性T细胞反应。上述发现表明，Ad5-nCoV疫苗值得进一步研究。关于Ad5-nCoV疫苗临床试验I期研究结果的研究论文已发表于《柳叶刀》。 因康希诺成功研发出公共卫生事件病毒疫苗的几率上升，摩根士丹利发布报告表示，大幅上调其目标价，从102港元升至258港元。目前估计，疫苗的成功率在60%，此前预计为20%，预计今年年底或明年年初获批。 据世卫组织5月20日在例行召开的发布会上透露，已有超过120个新冠病毒疫苗在研发，实际数量肯定还要更多，其中一些正在进行临床评估。 责任编辑：田峰磊 
后疫情时代 如何“保就业”？|2020年05月25日 13:32|原标题：后疫情时代，如何“保就业”|问2020 当前，全国疫情防控取得阶段性重大进展。复工复产复业正在逐步有序展开。从“点对点”服务农民工返岗，到一系列稳企稳岗的政策出台。这些政策直指“六保”之首——“保就业”。 应对疫情后的经济社会发展形势和就业状况，代表委员们建言献策。全国政协委员、上海交通大学党委书记杨振斌提出，用人单位可逆周期提前储备人才；全国人大代表姚劲波建议，做好线上职业技能培训；全国人大代表阎建国则提出，要关注旅游企业员工就业保障。 此外，还有党派集体提出提案关注就业话题。民盟中央提出《关于调整税费政策，促进高质量就业的提案》，建议对劳动密集型产业的增值税进项税额实行加计抵扣政策，以消除劳动密集型企业增值税税负偏高问题；同时减少以企业就业人数和工资水平为计算依据的收费项目，有效降低费率水平等建议。 全国政协十三届三次会议第一场“委员通道”采访活动中，部分全国政协委员通过网络视频方式接受媒体采访。全国政协委员、上海交通大学党委书记杨振斌呼吁用人单位逆周期而行，提前进行人才储备。 他说，今年由于疫情，就业工作压力确实非常大。但越是在这个时候，越要看到整个国家和全社会的努力。目前，大学生参军入伍、公务员招录、研究生招生、三支一扶项目等都有了比较大幅度的扩招。越是对国家和社会贡献大的岗位，越是有价值的岗位，越是国家和社会需要的岗位，越是大学生最能发挥作用的岗位。 现在复产复工正在加速推进，经济运行正在恢复正常，他建议用人单位要逆周期而行，提前进行人才储备，有针对性进行招聘计划，为企业以后的发展打下更好的人才基础。 全国人大代表、58同城CEO姚劲波向大会提交了《关于进一步做好线上职业技能培训》的建议。 姚劲波认为，职业技能培训已成为提升劳动者就业创业能力、缓解结构性就业矛盾、扩大就业规模的重要举措。今年以来，线下职业技能培训进入“休眠期”，线上职业技能培训的急迫性和重要性日渐凸显。 “据人社部数据显示，目前线上平台实名注册总人次数达590万，包括农民工、城市蓝领等城乡各类劳动者。”姚劲波说，相比农民工等就业群体庞大的规模，线上职业技能培训仍存在企业从事培训服务积极性不高、参训劳动者偏少、培训资源供需不均等问题。 针对这种情况，姚劲波提出了“进一步做好线上职业技能培训”的建议。涉及强化政策激励，支持企业搭建线上职业教育平台；加大组织引导，鼓励劳动者积极参与线上培训；提升服务质量，为构建灵活、有序市场体系打好基础等方面内容。 姚劲波建议，支持企业搭建线上职业技能培训平台，将该平台优先纳入各地“两目录一系统”并享受相应补贴，对于培训内容、技术、师资等领先项目，可加强与各地培训机构合作共建，带动各地职业培训发展。 同时，针对劳动者参与线上培训积极性不高、参与人数少等问题，姚劲波建议设立劳动者职业技能培训电子档案，做到“一人一档”，逐步实现数据统计、过程监督、效果评价、资金拨付等功能一体化。对参加线上培训的建档立卡贫困人群、残疾人求职者、就业困难人员、高校毕业生等群体，在培训期间给予一定的生活补助。 全国人大代表、九三学社中央委员阎建国表示，中小微企业承载北京七成以上的就业，特别是受疫情影响明显的餐饮住宿、交通运输、文化旅游、影院剧院等服务行业，创造了大量就业岗位。很多中小微企业不能正常营业，又面临房租、工资、税费、融资等实质性压力，这就难免有很多企业通过减员来减少经营成本。 阎建国提出，为了使企业不裁员、少裁员，北京和全国其他地方已经出台了很多有针对性的帮扶措施，以及支持中小微企业稳定就业岗位的政策。 “如今，国内疫情日趋平稳，北京应急防控级别也已经调低至二级，大部分行业已经复工复产。为了落实防疫需求，北京仍然有六类行业不开放，比如，影剧院、游泳场馆，还有室内旅游景区，跨省份和出入境的团队旅游业务等。这几类行业也承载着大量的就业人口，很多行业的基本工资很低，停业近半年，员工的生活很难保障。” 阎建国提出，政府可以出台有针对性的措施，以保障这些行业员工的权益。但目前国外疫情形势仍不明朗，国内一些地方疫情出现反弹，跨省、跨境旅游仍然不应该被提倡，采取审慎的态度保持这类行业的暂时停业，也是对人民群众健康负责。这些行业自身也应该充分理解政府防疫要求，积极“自救”，共同度过这段艰难时期。 国新办公布的最新数据显示，1-4月份，全国城镇新增就业354万人，与上年同期相比少增105万人。调查失业率也高于上年同期，4月份城镇调查失业率6.0%，比去年同期高出一个百分点，说明就业压力确实较大。 人社部副部长李忠介绍，面对突发疫情，人社部门紧锣密鼓地出台了一系列政策措施。为了保证这些政策措施的落实落地，实行项目化管理，实施系列专项行动，包括关爱抗疫“一线”、重点企业用工调度保障、农民工返岗“点对点”服务、社保助企“免减缓”、失业保险援企稳岗、百日千万网络招聘、百日免费线上职业技能培训等专项行动。 同时，重点群体就业的措施也不断出台，今年还有874万高校毕业生即将进入就业市场。人社部、教育部等6部门本月正式启动十大专项行动，促进高校毕业生就业创业。其中明确开展升学扩招吸纳行动、充实基层专项计划行动、扩大毕业生参军入伍行动、开拓科研社区医疗基层岗位行动、推进企业稳岗扩就业行动、推进创业带动就业行动等多项措施。 新京报记者 吴为 李玉坤 张璐 责任编辑：田峰磊 
湖北省新型冠状病毒感染肺炎疫情防控指挥部通告|2020年05月25日 12:53|原标题：湖北省新型冠状病毒感染肺炎疫情防控指挥部通告 来源：湖北省新型冠状病毒感染肺炎疫情防控指挥部 为统筹推进学校疫情防控和复学复课工作，根据我省疫情防控形势和国内外疫情走势，经省新型冠状病毒感染肺炎疫情防控指挥部研究决定，现就我省高校春季学期开学时间安排通告如下： 6月8日起，各高校可以安排现居住境内毕业年级（含高职、本、硕、博）和有科研任务的学生按照错时错峰、自愿原则返校。具体返校时间和方式由各高校统筹安排。 非毕业年级学生返校时间根据疫情防控情况综合研判另行通知。 湖北省新型冠状病毒感染肺炎疫情防控指挥部 2020年5月24日 责任编辑：柳龙龙 
上海有4例确诊病例今日出院 共计652例治愈出院|2020年05月25日 12:44|原标题：上海有4例确诊病例今日出院，共计652例治愈出院 来源：上海市卫健委 市卫生健康委今日（25日）通报：4例新型冠状病毒肺炎病例，经定点医疗机构医护人员精心诊治和护理，专家组评估，认为符合国家卫生健康委最新的新型冠状病毒肺炎确诊病例出院标准，于今日出院。 病例1，中国籍，女，34岁，境外输入性病例，5月12日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例2，中国籍，女，35岁，境外输入性病例，5月15日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例3，中国籍，女，25岁，境外输入性病例，5月15日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例4，中国籍，女，20岁，境外输入性病例，5月15日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 为做好出院患者的健康管理，卫生健康部门将对患者开展必要的随访观察。 责任编辑：屠正阳 
福建始发的K904次列车出现确诊病例 急寻同车次乘客|2020年05月25日 12:33|原标题：紧急！福建始发的这趟列车上出现确诊病例！急寻同车次乘客！ 来源：泉州广播电视台 1、如您乘坐当日当次列车，请尽快主动与济源疫情防控指挥部办公室联系。指挥部办公室24小时值班电话：0391-6912120。 2、为确保您和他人的身体健康，请在有关人员与您联系之前，自觉居家单间隔离，不要外出，不得与他人接触，勤洗手、勤通风，保持良好卫生习惯。 3、如您知道同乘人员线索，请拨打指挥部办公室电话举报。 济源示范区新冠肺炎防控工作指挥部办公室 2020年5月24日 责任编辑：屠正阳 
奥地利总统因违反新冠疫情宵禁令道歉：聊天忘了时间|2020年05月25日 12:27|原标题：奥地利总统因违反新冠肺炎疫情宵禁令道歉：聊天忘了时间 当地时间24日，奥地利总统范德贝伦 （Alexander Van der Bellen）被警察发现在宵禁开始后出现在一家意大利餐厅中，随后总统为此公开道歉。 据英国广播公司（BBC）25日报道，当地时间24日午夜0点过后，奥地利警方发现现年76岁的范德贝伦身处首都维也纳的一家意大利餐厅中，范德贝伦正在该餐厅的室外用餐区内，而此时新冠肺炎疫情宵禁令已经生效。 范德贝伦对此辩解称，自己之所以违反宵禁令，是因为和朋友聊天忘记了时间。随后，范德贝伦在社交媒体上称自己感到十分“抱歉”，认为自己的行为是一个“错误示范”。范德贝伦指出，这是自封锁措施实施以来，自己第一次和妻子以及两个朋友外出用餐，“我们聊天时忘记了时间。” BBC刊文指出，奥利地自上周开始允许餐馆和咖啡馆复业，不过据最新防疫规定，这些场所必须在23点之前关门。 目前，这家意大利餐厅可能因为违反防疫规定而被罚款，但范德贝伦表示，假使店主因为此事而面临罚款，那么他将“承担责任”。 奥利地是自意大利之后欧洲最早一批为应对新冠疫情而采取严格抗疫措施的国家。截至24日，奥地利累计报告新冠肺炎确诊病例16503例，其中640人病亡。 责任编辑：屠正阳 
常态化防控下能不能松劲儿？北京疾控今给七点建议|2020年05月25日 12:10|原标题：常态化防控下能不能松劲儿？北京疾控今给七点建议 常态化防控疫情，是不是大家的神经就可以放松了？北京市疾控中心今天提醒市民，常态化防控，仍需自觉做好自身防护。 疾控部门表示，目前，北京市外防输入、内防反弹的任务依然艰巨，防控工作不能放松，重点人群、重点场所、特殊区域应自觉做好个人防护。 市疾控中心提醒市民注意以下七点： 尽量不要去人群密集的区域活动，避免多人聚会。 在人群密集密闭的场所应该佩戴口罩。 在交谈、候车、等电梯、排队时与他人保持1米以上的距离。 要勤洗手，尤其是饭前便后、触摸眼口鼻前后、离开医院、外出归来等，要及时用香皂或洗手液和流动水洗手。 咳嗽、打喷嚏用纸巾或肘部捂住口鼻，不随地吐痰。 乘坐公共交通工具应该佩戴口罩。 避免用手揉眼、抠鼻等行为，如有发热、干咳等症状的乘客，不乘坐公共交通工具。 到超市、酒店、餐馆等人多密集场所时应按规定佩戴口罩。客流较多时，有序等候，如室内面积较小，应在室外等候，避免人员拥挤。 尽量采用电子支付方式，如收取现金应及时洗手，不具备洗手条件，应使用免洗手消毒剂。 建议采取分餐制，不能分餐时使用公筷公勺，不用私筷夹菜劝食。 鼓励儿童独立进食，不要用嘴吹孩子的食物、尝试孩子的食物、帮助孩子咀嚼食物、口对口喂食孩子、与孩子共用餐具等做法。 可选择人少的空旷地方锻炼。在进入公园、广场等室外开放场所进行户外活动时，应配合相关部门落实防控措施。 出现发热、干咳等症状，及时佩戴医用口罩前往就近的发热门诊就诊。主动向单位报告发病情况及旅行史、接触史，不要带病上班。 责任编辑：田峰磊 
四川巴中无症状感染者过境 达州已追踪到17名密接者|2020年05月25日 11:47|原标题：四川巴中无症状感染者过境 达州已追踪到17名密接者 据@达州卫生健康 25日消息，截至5月24日24时，四川达州市无新增新型冠状病毒肺炎确诊病例、疑似病例和无症状感染者。 原有确诊病例，已全部治愈出院；无症状感染者已全部解除隔离医学观察。 累计追踪到密切接触者2833人并实行医学观察，现已解除医学观察2816人，对与巴中1名无症状感染者已追踪到的17名密切接触者正实行集中医学观察。 责任编辑：朱学森 
湖北：除武汉外其他16市州学生在校可不戴口罩|2020年05月25日 10:49|原标题：湖北：除武汉外其他16市州学生在校可不戴口罩 昨日，湖北省政府网发布《关于进一步做好新冠肺炎疫情常态化科学精准防控工作的实施意见》。《意见》明确，武汉市以外其他市州低风险地区学校校园内学生可不佩戴口罩，教师授课时可不佩戴口罩。 在社区基层防控方面，《意见》指出，武汉市继续加强和完善小区管控工作，重点加强对老旧小区、开放式小区、“三无”小区、城中村、城乡接合部和集体宿舍、出租房屋等区域的管控，对进出人员实施身份必问、信息必录、温度必测、口罩必戴“四必”要求。 防控疫情，守住医院第一道关口至关重要。《意见》要求，强化预检分诊制度和发热门诊闭环管理，发挥医院预警、示警、报警的“哨卡”作用。严格落实院感预防控制和“三区两通道”建设，普通门急诊落实“双分诊、双缓冲”规定。做好医务人员核酸筛查和防护之外，落实陪护人员、工勤人员核酸筛查。严格探视和陪护管理，规范处置医疗废弃物。 各市州要指定新冠肺炎重症患者救治定点医院，各县（市、区）指定1家以上新冠肺炎定点医院和1家无症状感染者医学观察点，指定可容纳200人以上的集中隔离点作为密切接触者和入境人员集中隔离场所。在落实防控措施前提下，有序开放商场、超市、宾馆、餐馆等场所；采取预约、限流等方式，开放公园、旅游景点、运动场所；有序放开图书馆、博物馆、美术馆等室内场馆；可举办各类必要的会议、会展活动等。 《意见》要求，继续实施养老机构、福利院、监所、精神卫生医疗机构等封闭式管理。新进入人员一律先集中隔离14天并进行核酸检测，鼓励采取视频等非接触方式探视。 高三和初三已经复课，加强校园防控刻不容缓。《意见》要求，实行教职员工和学生健康情况“日报告”“零报告”制度。各地要按照每600名学生配1名专业卫生人员的规定，为每所学校配备专职或兼职专业卫生人员。武汉市落实好1名校医带1名社区全科医生、1名疾控人员的“1+2”防控协作机制，继续实施佩戴口罩、保持社交距离的防护措施，并根据疫情防控形势适时调整佩戴口罩规定。武汉市以外其他16个市州低风险地区学校校园内学生可不佩戴口罩，教师授课时可不佩戴口罩。 《意见》指出，要进一步加大核酸检测力度，扩大检测范围，做到应检尽检、愿检尽检、能检尽检。今年，每个县（市）至少要有2家核酸检测实验室。加大对医疗卫生人员的技术培训和指导，核酸和血清检测等数据，要及时归集上报。对无症状感染者要在进行核酸检测的基础上，开展抗体、CT、血象检查。对无症状感染者的密切接触者应开展核酸检测。无症状感染者解除集中医学观察后，纳入基本公共卫生服务对象管理，做好追踪、随访和健康管理。对无症状感染者及其密切接触者，应及时形成个案信息，并及时纳入健康码管理。 来源：楚天都市报 责任编辑：朱学森 
