内蒙古包头达茂旗发布鼠疫疫情Ⅲ级预警|2020年08月06日 21:40|原标题：关于发布达茂旗鼠疫疫情Ⅲ级预警的通告 来源：内蒙古晨报 责任编辑：张迪 
湖北抗疫国家级表彰推荐名单公示：刘智明等入选|2020年08月06日 11:40|原标题：湖北抗疫国家级表彰推荐名单公示：刘智明等入选先进个人 湖北省政府网站8月5日消息，为贯彻落实党中央关于做好抗击新冠肺炎疫情国家级表彰评选推荐工作的部署要求，做好湖北省抗击新冠肺炎疫情国家级表彰推荐工作，体现公开、公平、公正原则，充分发扬民主，接受社会监督，现将全国抗击新冠肺炎疫情先进个人、先进集体和全国优秀共产党员、全国先进基层党组织我省推荐对象予以公示，公示时间为2020年8月5日至8月9日。 如对公示对象有不同意见，请于8月9日18时前，以电话、传真或信函等方式向湖北省推荐工作领导小组办公室反映（信函以到达日邮戳为准）。反映情况须实事求是，提供具体线索或事实依据，提倡实名反映问题。 地址：武汉市武昌区水果湖路8号省人社厅701室 邮编：430071 电话：027-86656719、86657710（传真） 湖北省推荐工作领导小组办公室 2020年8月5日 来源：湖北省政府网站 责任编辑：朱学森 
广州公布新增无症状感染者详情：最小仅4月龄|2020年08月06日 11:37|原标题：广州公布新增无症状感染者详情：最小仅4月龄 据广州卫健委官微消息，8月5日0时至24时，广州市无新增新冠肺炎确诊病例。截至8月5日24时，累计报告境外输入确诊病例223例、境外输入关联病例28例。累计出院236例，尚在院治疗15例。 截至8月5日24时，累计报告境内确诊病例349例。累计出院348例，累计死亡1例。 8月5日0时至24时，新增境外输入无症状感染者3例。 新增3例境外输入无症状感染者情况： 新增境外输入无症状感染者1： 女，29岁，籍贯福建，常住福建省宁德市，无业。 新增境外输入无症状感染者2： 男，4月龄，籍贯福建，常住福建省宁德市。为新增无症状感染者1的儿子。 上述2人入境行程相同。8月1日从赞比亚乘坐WB912航班于2日飞抵广州入境，海关采样后按全程闭环管理程序转运至集中隔离点。反馈新冠病毒核酸均为阳性，即转广州市第八人民医院隔离治疗。 新增境外输入无症状感染者3： 男，47岁，籍贯江西，常住江西省南昌市，建筑工人。7月31日从阿联酋乘坐EK362航班于8月1日飞抵广州入境，海关采样后按全程闭环管理程序转运至集中隔离点，反馈新冠病毒核酸阴性。在集中隔离期间检测病毒核酸阳性并经市疾控中心复核阳性，即转广州市第八人民医院隔离治疗。 责任编辑：武晓东 
大连：隔离点储备房间量充足 集中隔离人员状态平稳|2020年08月06日 10:59|原标题：大连：集中隔离人员状态平稳 8月6日，大连市召开新闻发布会。会上通报，疫情发生后，“7.22”疫情防控指挥部立即开始征用宾馆作为集中隔离点使用，目前，全市储备房间数量充足，完全可以满足应隔离人员的隔离需求，做到应隔尽隔；建立完善的工作机制，确保集中隔离各环节工作衔接有序；加强医护人员和心理医生配备，全面保障被隔离人员的身心健康。同时，加强集中隔离点督导检查，切实保障集中隔离工作安全平稳。重点关注涉及隔离人员健康安全以及隔离点周边居民关心的问题，加大对集中隔离点卫生、安全、医疗垃圾处理以及周边环境秩序等情况的监督管理，为市民的安全负责，请广大市民放心。 责任编辑：武晓东 
大连回应隔离人员解除隔离后又被“召回”事件|2020年08月06日 10:57|原标题：大连回应隔离人员解除隔离后又被“召回”事件 8月6日上午，大连市召开疫情防控新闻发布会，通报疫情最新进展和防控措施等情况。 大连市卫生健康委副主任赵连介绍，公众关注的大连市隔离人员解除隔离后又被“召回”的事情。按照国家《新型冠状病毒肺炎防控方案》，密切接触者医学观察期限为“自最后一次与病例、无症状感染者发生无有效防护接触后14 天”的要求。大连市本次疫情首例病例石某7月18日最后一天上班，故将7月18日作为石某在凯洋公司的最后暴露时间。按此时间推一个最长潜伏期，认定石某的密切接触者解除隔离时间为8月1日，符合国家方案规范要求。根据大连这次疫情新的特点，国家专家最新的研判分析，提出了新的建议。大连市从更加谨慎的角度考虑又增加了隔离天数。（总台央视记者 李承泽） 责任编辑：张建利 
大连启用104家集中隔离点 所有隔离点配备心理医生|2020年08月06日 10:16|原标题：大连启用104家集中隔离点 所有隔离点配备心理医生 来源：中国新闻社 微博 8月6日，大连市政府办公室二级巡视员梅新刚在当地政府举行的疫情防控新闻发布会上称，目前，全市已启用104家集中隔离点，所有隔离点均配备了专业的医护、疾控人员，确保集中隔离点医护、疾控等人员按照标准配备到位。特别是为集中隔离点配备了心理医生，采取驻点服务、电话疏导以及根据突发情形临时加派心理咨询力量等多种方式，为集中隔离人员提供心理咨询服务。（记者 杨毅） 责任编辑：张申 
好消息！跨京冀公交城际滦平线下周一恢复运营|2020年08月06日 10:05|原标题：好消息！跨京冀公交城际滦平线下周一恢复运营 记者从北京公交集团获悉，根据河北省承德市滦平县的意见，前期因疫情影响暂停运营的城际滦平线路（滦平-地铁望京西站），自8月10日首班车起恢复运营。 责任编辑：张申 
新疆喀什1例乌鲁木齐市输入确诊病例治愈出院|2020年08月06日 09:26|原标题：新疆喀什1例乌鲁木齐市输入确诊病例治愈出院 经国务院应对新冠肺炎疫情联防联控机制专家组和自治区医疗救治专家联合会诊评估，8月5日，新疆喀什地区1名确诊患者（乌鲁木齐市输入病例）符合国家卫生健康委新型冠状病毒肺炎确诊病例出院标准治愈出院。 据专家介绍，该病例于7月19日确诊，入院后在专家组和医护团队的全力救治、精心护理下，后期病情持续改善，连续2次以上呼吸道病原的核酸检测呈阴性，各项化验指标、肺部影像学、体温均正常，符合国家卫生健康委《新型冠状病毒肺炎诊疗方案（试行第七版修正版）》确诊病例出院标准。 （总台央视记者 刘菲 水政） 责任编辑：张申 
深圳：香港经深圳湾口岸入境须持核酸证明并隔离14天|2020年08月06日 09:25|原标题：深圳：香港经深圳湾口岸入境须持核酸证明并隔离14天 中新网8月6日电 据深圳市人民政府口岸办公室微信公众号消息，深圳市新冠肺炎疫情防控指挥部5日发布通告：自2020年8月7日上午10时起，由香港经深圳湾口岸入境人员，入境时必须持有粤港两地政府认可的具备资质的检测机构出具的生成时间为24小时内的核酸检测阴性结果纸质报告，并接受14天集中隔离医学观察。 据通告，经批准豁免入境隔离的重要公务商务人员、跨境货车司机等人员，按现行规定执行。 责任编辑：张玉 
福建8月5日新增无症状感染者1例 为新加坡输入|2020年08月06日 09:23|原标题：福建昨日新增无症状感染者1例，为新加坡输入 据福建省卫健委，8月5日0—24时，福建省报告新增境外输入确诊病例0例。当日报告新增境外输入疑似病例0例。当日报告新增境外输入无症状感染者1例，为新加坡输入（福州市报告）。 截至8月5日24时，福建省累计报告境外输入确诊病例71例，已治愈出院68例，目前住院3例，无死亡病例；现有报告境外输入疑似病例0例；现有报告境外输入无症状感染者尚在接受集中隔离医学观察13例。 8月5日0—24时，福建省报告新增本地确诊病例0例。 当日报告新增本地疑似病例0例。 当日报告新增本地无症状感染者0例。 截至8月5日24时，福建省累计报告本地确诊病例296例（已治愈出院295例、目前住院0例、死亡1例），其中：福州市72例、厦门市35例、漳州市20例、泉州市47例、三明市14例、莆田市56例、南平市20例、龙岩市6例、宁德市26例；现有报告本地疑似病例0例；现有报告省外输入无症状感染者尚在接受集中隔离医学观察1例。 目前密切接触者已解除医学观察15098人，尚有433人正在接受医学观察。    责任编辑：武晓东 
青岛新增输入病例详情公布 判定密切接触者共149人|2020年08月06日 08:56|原标题：青岛新增输入病例详情公布！一人回国前已有咳嗽、头疼症状，判定密切接触者共149人 2020年8月5日0时至24时： 山东无本地住院疑似病例、确诊病例。累计报告确诊病例763例，死亡7例，治愈出院756例。 山东无新增境外输入疑似病例，青岛市报告菲律宾输入确诊病例1例。累计报告境外输入确诊病例42例，累计治愈出院30例。 青岛市报告菲律宾输入无症状感染者2例。全省正在隔离观察治疗的无症状感染者16例（均为境外输入）。 目前共追踪到密切接触者23511人，尚有447人正在接受医学隔离观察。 青岛市卫生健康委 2020年8月5日0—24时，青岛新增境外输入新型冠状病毒肺炎确诊病例1例，新增境外输入无症状感染者2例，均由菲律宾马尼拉乘坐CA180航班于8月4日抵达青岛流亭机场。 新增境外输入确诊病例张某，男，26岁，中国籍，江苏人，在菲律宾工作。 海关入境检疫采样后，与同机抵青人员由专车送至集中隔离点进行医学观察，入住后因自述回国前14天内有咳嗽、头疼等症状，随即由120救护车转运至定点医院隔离检查。 8月5日海关入境核酸检测结果阳性，当日市疾控中心核酸复检阳性，结合流行病学史、临床表现及实验室检测结果，专家组确诊为普通型病例，转至集中收治定点医院隔离治疗。 新增境外输入无症状感染者白某，男，37岁，中国籍，辽宁人，在菲律宾工作。海关入境检疫采样后，因咳嗽由120救护车转运至定点医院隔离检查。 8月5日海关入境核酸检测结果阳性，当日市疾控中心核酸复检阳性，结合流行病学史、临床表现及实验室检测结果，专家组确定为无症状感染者，转至集中收治定点医院隔离观察治疗。 新增境外输入无症状感染者胡某某，女，25岁，中国籍，四川人，在菲律宾工作。海关入境检疫采样后，与同机抵青人员由专车送至集中隔离点进行医学观察，入住后因自述有腹泻、咳嗽、咳痰等症状，随即由120救护车转运至定点医院发热门诊隔离检查。 8月5日海关入境核酸检测结果阳性，当日市疾控中心核酸复检阳性，结合流行病学史、临床表现及实验室检测结果，专家组确定为无症状感染者，转至定点医院隔离病房观察治疗。 该航班同乘人员203人，均于抵青之日起实施集中隔离医学观察。判定密切接触者共149人，均已实施集中隔离医学观察。 截至8月5日24时，青岛累计确诊本地新型冠状病毒肺炎病例65例，其中治愈出院64例，死亡1例；境外输入病例26例，其中治愈出院18例，现有8例（菲律宾输入5例、科威特输入2例、俄罗斯输入1例）在定点医院接受隔离治疗；无症状感染者28例，其中13例已出院，现有15例（科威特输入11例、菲律宾输入4例）在定点医疗机构隔离观察治疗。目前青岛纳入医学观察的密切接触者共241人。 责任编辑：武晓东 
事关新冠疫苗，中国这个“全球首家”又传好消息！|2020年08月06日 08:40|原标题：事关新冠疫苗，中国这个“全球首家”又传好消息！ “全球首个新冠灭活疫苗生产车间通过国家生物安全检查”的消息引发关注。 据北京日报报道，国药集团中国生物8月5日披露，北京生物制品研究所新冠灭活疫苗生产车间已通过国家相关部门组织的生物安全联合检查，具备了使用条件。此前，该生产设施也刚刚取得了新冠疫苗的生产许可证。 刚刚通过检查的北京高等级生物安全生产设施，是目前全球首个也是最大的新冠灭活疫苗生产车间。 据介绍，在北京市政府的大力支持下，北京生物制品研究所仅用2个月的时间，于4月15日就完成了车间的建设，创造了新冠灭活疫苗车间建设的“火神山”速度。 国药集团中国生物在北京和武汉两个生物制品研究所分别建设了高等级生物安全生产设施。 在这两个研究所的生产车间投入使用后，中国生物将能够保证新冠疫苗年产能合计达到2.2亿剂次。 疫苗研发，中国进度全球领先 目前，中国有包括国药集团中国生物杨晓明挂帅的科研攻关领导小组、军事科学院军事医学研究院陈薇院士团队在内的多个团队的新冠疫苗进入临床试验阶段，成为全球研发新冠病毒疫苗成效最为显著的国家。 据人民日报客户端报道，陈薇团队研发的重组新冠疫苗（腺病毒载体）Ⅱ期临床试验结果已发布，成为全球首个正式发表的新冠疫苗Ⅱ期临床试验数据。 上述报道称，根据我国《疫苗管理法》，该疫苗已满足应急使用的技术要求。 此外，国药集团中国生物承担研发的灭活疫苗目前已经进入临床三期试验阶段，并已具备大规模量产的能力，各项进度均处于全球领先地位。 国药集团中国生物技术股份有限公司董事长杨晓明在接受记者专访时表示，乐观估计，国产新冠病毒灭活疫苗最快或于今年底或明年初上市。 网友热议：期待打疫苗的那一天！ 责任编辑：张建利 
北京8月5日无新增报告新冠肺炎确诊病例|2020年08月06日 08:32|原标题：北京8月5日无新增报告新冠肺炎确诊病例 来源：首都健康 8月5日0时至24时，无新增报告本地确诊病例、疑似病例和无症状感染者；无新增报告境外确诊病例、疑似病例和无症状感染者。 6月11日0时至8月5日24时，新发地聚集性疫情累计报告确诊病例335例，治愈出院334例，在院1例，尚在观察的无症状感染者1例。 7月下旬以来，累计报告大连市疫情关联病例3例；境外输入病例2例。 平谷区自有疫情以来无报告病例、延庆区195天无报告病例、怀柔区181天、顺义区179天、密云区176天、石景山区52天、门头沟区51天、房山区51天、东城区50天、通州区46天、朝阳区45天、西城区44天、海淀区41天、大兴区36天、丰台区31天、昌平区7天。 责任编辑：张建利 
31省区市新增37例新冠肺炎确诊病例 其中本土30例|2020年08月06日 08:24|原标题：截至8月5日24时新型冠状病毒肺炎疫情最新情况 8月5日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例37例，其中境外输入病例7例（上海5例，山东1例，陕西1例），本土病例30例（新疆27例，辽宁3例）；无新增死亡病例；无新增疑似病例。 当日新增治愈出院病例10例，解除医学观察的密切接触者474人，重症病例较前一日减少2例。 境外输入现有确诊病例102例（其中重症病例1例），现有疑似病例2例。累计确诊病例2110例，累计治愈出院病例2008例，无死亡病例。 截至8月5日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例837例（其中重症病例34例），累计治愈出院病例79057例，累计死亡病例4634例，累计报告确诊病例84528例，现有疑似病例2例。累计追踪到密切接触者795607人，尚在医学观察的密切接触者23985人。 31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者20例（境外输入7例）；当日转为确诊病例1例（无境外输入）；当日解除医学观察9例（境外输入4例）；尚在医学观察无症状感染者282例（境外输入117例）。 累计收到港澳台地区通报确诊病例4276例。其中，香港特别行政区3754例（出院2314例，死亡43例），澳门特别行政区46例（出院46例），台湾地区476例（出院441例，死亡7例）。  责任编辑：朱学森 
8月5日新疆新增确诊病例27例 新增无症状感染者12例|2020年08月06日 08:17|原标题：8月5日新疆（含兵团）新冠肺炎疫情最新通报 来源：新疆发布 新疆维吾尔自治区卫生健康委最新通报，8月5日0时至24时，新疆维吾尔自治区（含新疆生产建设兵团）报告新增新冠肺炎确诊病例27例，新增无症状感染者12例，均在乌鲁木齐市；新增治愈出院确诊病例8例（乌鲁木齐市7例、乌鲁木齐市输入喀什地区病例1例）；无症状感染者解除医学观察4例，均在乌鲁木齐市；危重症转重症1例，重症转普通型3例。 截至8月5日24时，新疆（含兵团）现有确诊病例637例（危重症7例、重症19例），其中乌鲁木齐市634例、喀什地区1例（乌鲁木齐市疫情关联病例）、昌吉州1例（乌鲁木齐市输入）、兵团1例；现有无症状感染者130例，其中乌鲁木齐市128例、昌吉州1例（乌鲁木齐市输入）、兵团1例；尚有17301人正在接受医学观察。 7月15日0时至8月5日24时，累计治愈出院确诊病例60例，无症状感染者解除医学观察46例。 责任编辑：朱学森 
广东新增境外输入无症状感染者3例，为广州报告|2020年08月06日 08:03|原标题：广东新增境外输入无症状感染者3例，为广州报告 新京报快讯 据广东卫健委消息，8月5日0-24时，全省无新增确诊病例。新增境外输入无症状感染者3例，为广州报告，2例来自赞比亚，1例来自阿联酋，以上均在入境口岸发现，入境后即被隔离观察。 截至8月5日24时，全省累计报告新冠肺炎确诊病例1687例（境外输入292例）。目前在院18例。 来源：广东卫健委 责任编辑：张申 
辽宁新增3例本土确诊病例，均为大连市报告病例|2020年08月06日 07:53|原标题：2020年8月5日0时至24时辽宁新型冠状病毒肺炎疫情情况 来源：辽宁卫健委 8月5日0时至24时，辽宁省新增3例本土新冠肺炎确诊病例，均为大连市报告病例（普通型2例、轻型1例），其中1例为无症状感染者转归确诊病例。新增本土确诊病例治愈出院1例。当日本土无症状感染者治愈出院1例；境外输入无症状感染者治愈出院1例。 截至8月5日24时，全省累计报告确诊病例258例（含境外输入34例），治愈出院161例，死亡2例，在院治疗95例。目前，尚有24例无症状感染者在定点医院隔离治疗。 责任编辑：张申 
北京：做好新发地批发市场复商复市工作|2020年08月06日 07:47|原标题：北京：做好新发地批发市场复商复市工作 北京日报客户端讯8月5日下午，北京新冠肺炎疫情防控工作领导小组第八十一次会议暨首都严格进京管理联防联控协调机制第三十八次会议召开，进一步研究调度疫情防控工作。 会议强调，要持续抓好复工复产复商复市。执行农贸（集贸）市场新冠病毒环境监测技术规范，做好采样检测等工作。引导农贸市场、餐饮食堂、美容美发店、食品生产企业等优化生产经营空间和工作流程，降低人员密度，加强个人防护。做好新发地批发市场复商复市工作，完善管理体系，指导监督商户落实防疫责任，维护好经营秩序。省际客运、跨京冀公交要落实通风消毒、佩戴口罩等防疫措施。从事出京业务的出租车公司和网约车平台要落实防疫措施，确保安全运营。对文化娱乐、旅游会展、餐饮住宿等行业，要积极帮助解决实际困难，促进复工复产，引导消费潜力释放。做好“北京消费季”、跨省旅游等防疫工作。落实公园景区、商场超市、酒吧、影剧院等重点点位防疫措施，减少聚集性风险。统筹做好防范境外疫情输入和复工复产，用好人员“快捷通道”和货物“绿色通道”，保持产业链和供应链顺畅稳定。 责任编辑：张申 
