美媒发现，中国看样子要先“飞”一步！|2020年08月19日 23:58|原标题：美媒发现，中国看样子要先“飞”一步！ 责任编辑：祝加贝 
首批援疆国务院联防联控机制专家组18名专家离乌返回|2020年08月19日 17:46|原标题：首批援疆国务院联防联控机制专家组18名专家今日离乌返回 天山网消息，8月19日上午，支援新疆疫情防控攻坚战的国务院联防联控机制专家组首批18名专家启程告别乌鲁木齐，登上返回的航班。 19日，两辆乘坐着专家的车辆，从昆仑宾馆出发，一路上乌鲁木齐市交警支队特勤大队11辆昆仑铁骑护送，新疆以高规格礼遇送英雄回家。在乌鲁木齐国际机场T3航站楼进港大厅，进行了十分钟的简单送行，自治区党委常委、宣传部部长田文到现场送行，代表自治区党委和自治区人民政府，对各位专家的大力支持、无私援助表示衷心感谢。 北京大学人民医院肝病研究所主任医师、教授饶慧瑛说：“这一个月时间，我们和本地医护人员及各个部门拧成一股绳，配合得非常顺利，这‘仗’打得非常漂亮，随着零新增也看到了胜利的曙光。” 记者了解到，对支援新疆疫情防控攻坚战的国务院联防联控机制专家组成员，全疆4A级以上景区将一律免费，待景区开放时，可随时带家人来疆旅游。 第一批国务院联防联控机制专家组返回人员名单： 饶慧瑛北京大学人民医院肝病研究所主任医师、教授 刘青杰中国疾控中心辐射研究所副所长、研究员 张亚利中国疾控中心副研究员 卢珊中国疾控中心传染病所研究员 陈霞中国疾控中心传染病所副研究员 孟双中国疾控中心传染病所副研究员 单多中国疾控中心艾防中心副研究员 刘昆仑中国疾控中心艾防中心副研究员 董一文中国疾控中心职业卫生所助理研究员 赵佳中国疾控中心营养所助理研究员 张代涛北京市疾病预防控制中心传染病地方病控制所副所长、主管技师 黄立勇北京市朝阳区疾病预防控制中心流行病与地方病控制科主管医师 乔富宇北京市西城区疾病预防控制中心传染病与地方病控制科主管医师 邱传营北京市海淀区疾病预防控制中心计划免疫科主管医师 叶必熊中国疾控中心环境所研究员 狄江丽中国疾控中心妇幼中心研究员 黄飞中国疾控中心结控中心研究员 韩晓旭辽宁省中国医科大学附属第一医院检验科副主任 来源：天山网 责任编辑：张玉 
中国航司，要“先飞一步”了|2020年08月19日 17:36|原标题：中国航司，要“先飞一步”了 [文/观察者网 鞠峰]受新冠病毒大流行的影响，全球航空业“损失惨重”。然而随着中国控制住疫情，国内旅游逐渐放开，中国的航司们可能要“先飞一步”了。 据美国消费者新闻与商业频道（CNBC）19日报道，中国虽然是第一个受疫情打击的国家，但最近几个月内放松了国内旅游的限制，国内航司也随之受益。 观察者网查阅中国文化和旅游部数据了解到，2020年端午假期（6月25日-27日），全国累计接待国内游客4880.9万人次，累计实现国内旅游收入122.8亿元；7月，文旅部将景区游客上限从最高容量的30%上调至50%。 携程创始人梁建章近期接受CNBC采访时表示，“我们对中国旅游业非常有信心，在未来几个月内，国内旅游业就能完全恢复。” 据瀚亚投资统计，全球航司的载客率于今年初起骤降，然而到了今年2月左右，中国国内航线载客率（下图中黑线）开始回升，香港和澳门特区、日本、韩国、北美、欧洲继续走低。 瀚亚投资注意到，大多数中国的航司收入主要依赖于国内航线，这就意味着“今年中，中国航司要比其他地区的航司更有韧性。” 据CNBC报道，鉴于中国航空客运量出现回升迹象，汇丰银行保持了对港股中国国航、中国东航、中国南航的买入评级。尽管与世界各大航司一样，这三家航司上半年营收巨幅缩水，今年的股价都大幅下跌，但是汇丰于日前表示，“随着游客的增长帮助支撑起票价，在未来几个月内亏损会逐渐减少。” 责任编辑：杨杰 
国务院联防联控机制发布会，介绍秋冬疫情防控要点|2020年08月19日 16:50|原标题：国务院联防联控机制发布会，介绍秋冬疫情防控要点 今天（8月19日）是第三个中国医师节。今天下午，国务院联防联控机制召开新闻发布会，介绍秋冬季疫情防控，以及医疗卫生工作者在抗击新冠肺炎疫情中发挥的作用情况。 国家卫健委梳理各项常态化的防控措施。结合秋冬季的特点，进一步健全重点场所、重点环节的防控方案。同时国家卫健委继续会同发改、财政等部门统筹利用好抗疫国债的资金、中央预算内的投资等资金渠道，加强核酸检测能力建设。 经过半年多的实践，我们有信心能够控制住疫情，我国的新冠肺炎疫情不会再出现像年初武汉那样的严重情景。 秋冬季防范疫情，公众一定要牢记以下三点：第一，大家还是要保持防护的意识。第二，大家还是得坚持防控的措施。第三，一旦出现发热、头疼等症状，一定要及时就医，千万不要拖延。 责任编辑：杨杰 
国家卫健委：最近4个月住院新冠肺炎患者无一例死亡|2020年08月19日 16:44|原标题：国家卫健委：最近4个月住院新冠肺炎患者无一例死亡 今天（8月19日）是第三个中国医师节。今天下午，国务院联防联控机制召开新闻发布会，介绍秋冬季疫情防控，以及医疗卫生工作者在抗击新冠肺炎疫情中发挥的作用情况。 在这次抗击新冠肺炎疫情的过程中，重症患者的救治非常引人关注。对此，国家卫健委医政医管局监察专员郭燕红表示，在这次新冠肺炎医疗救治工作当中，对于重症患者的救治，是确保提高治愈率、降低病亡率的一个重点，体现出几个特点： 第一是落实四早；第二坚持四集中；第三是推进五结合，即基础医学与临床实践相结合、前方救治与后方多学科的支持相结合、医疗与护理工作相结合、医疗与管理结合以及中西医结合。 责任编辑：杨杰 
外交部回应美方宣布取消最新一轮中美经贸协议谈判|2020年08月19日 16:39|原标题：外交部回应美方宣布取消最新一轮中美经贸协议谈判 8月19日，外交部发言人赵立坚主持例行记者会。有记者就特朗普宣布取消中美经贸谈判和对中国抗疫的评价提问。 赵立坚表示，关于抗疫问题，我们已经多次以时间线的方式介绍中方的抗疫举措和成效，事实非常清楚。新冠肺炎疫情发生以来，中方本着公开、透明、负责任的态度，认真履行《国际卫生条例》规定的职责和义务，采取了最全面、最严格、最彻底的防控措施，全力遏制疫情扩散蔓延，积极开展国际防控合作。中国政府坚持人民至上、生命至上，交出的抗疫答卷经得起时间和历史的检验，中国为全球抗疫付出的巨大牺牲和作出的重大贡献有目共睹。 另外，关于中美经贸协议的具体情况，赵立坚表示，建议向主管部门询问。（总台央视记者 申杨 靳丹妮） 责任编辑：郑亚鹏 
医学院校迎来"后浪"，"重症八仙"之一的他这样寄语|2020年08月19日 16:30|原标题：医学院校迎来“后浪”，“重症八仙”之一的他这样寄语 8月19日是第三个中国医师节。今天下午，国务院联防联控机制召开新闻发布会，介绍秋冬季疫情防控，以及医疗卫生工作者在抗击新冠肺炎疫情中发挥的作用情况。 高招录取正在进行，又有一批新的医学生将走上学医之路，面对这些“后浪”有何叮咛？ 他说，医学院校每年竞争很激烈，分数也很高，进了医学院以后还得比别人多学很多年，所以要有一个吃苦耐劳有奉献精神，他希望，这些大学生通过医学院的比较长时间的艰苦学习，加入医师队伍来，并祝愿更多的医学院“后浪”们响应党和国家的号召，继续发扬敬佑生命、救死扶伤、甘于奉献、大爱无疆的崇高精神，“当国家需要他们的时候，应该义无反顾的站出来，为国家出力，保护广大民众的健康。” 那么，如何才能成为一名优秀的医学生？童朝晖送出“锦囊”：在医学院学习，既要努力学习丰富的医学知识和精湛的医疗技术，又要注意积累厚重的人文情怀，不断提高职业精神和职业素养，要成为德智体美劳全面发展的医学人才；同时，医学生还要学习社会学、艺术学、经济学、卫生学、法学、医学史、伦理等，要知晓医疗界的一些前沿，比方说一些基因治疗、基因编辑、大数据、人工智能等前沿技术的伦理边界和法律法规，这样才能成为一个全面的医学生，成为一个优秀的毕业生，从而能成长为一名优秀的青年医师。 责任编辑：杨杰 
8月18日，辽宁新增1例境外输入无症状感染者|2020年08月19日 16:24|原标题：8月18日，辽宁新增1例境外输入无症状感染者 来源：辽宁日报 8月18日0时至24时，辽宁省无新增新冠肺炎确诊病例。新增1例境外输入（来自美国）无症状感染者，为沈阳市报告。新增本土确诊病例治愈出院2例。 截至8月18日24时，全省累计报告确诊病例261例（含境外输入37例），治愈出院232例，死亡2例，在院治疗27例。目前，尚有8例无症状感染者在定点医院隔离治疗。 新增境外输入无症状感染者张某某，男，48岁，浙江杭州人。8月13日由美国出发，先后乘坐AS2552、OZ271、CZ682次航班途经韩国，于8月16日抵达沈阳桃仙机场。按照入境人员疫情防控规定，沈阳海关对其采集生物标本后，在防护措施下转运至集中隔离观察点实施集中隔离观察。当日，沈阳海关报告其新冠病毒核酸阴性、血清抗体IgM阳性、IgG阳性，立即启动转运至省新冠肺炎集中救治中心沈阳中心进一步诊断治疗。8月17日、18日，沈阳市疾控中心两次采集其生物标本检测，8月18日复核其核酸阳性，结合临床症状，经市级专家组会诊诊断为新冠病毒无症状感染者。该患者入境后采取闭环管理。 责任编辑：杨杰 
截至18日，我国连续49天有新增境外输入确诊病例报告|2020年08月19日 16:23|原标题：截至18日，连续49天有新增境外输入确诊病例报告 来源：国是直通车 微博 国家卫健委新闻发言人、宣传司副司长米锋表示，当前我国疫情得到有效控制，但面临的风险丝毫不能忽视。截至8月18日24时，连续49天有新增境外输入确诊病例报告，现有境外输入确诊病例超过200例，近期国内一些地区接连发生聚集性疫情。秋冬季临近，流感等呼吸道传染病高发，给防控工作带来更大挑战，要始终紧绷疫情防控这根弦，始终做好个人防护，及时发现，快速处置。 责任编辑：张申 
国家卫健委：采取更有力措施提高保障医务人员待遇|2020年08月19日 16:11|原标题：国家卫健委：采取更有力措施提高保障医务人员待遇 中新网8月19日电 19日，国务院联防联控机制就秋冬季疫情防控、医疗卫生工作者在抗击新冠肺炎疫情中发挥的作用情况举行发布会。国家卫健委医政医管局监察专员郭燕红表示，各地要主动关心关爱医务人员，采取更为有力的措施提高和保障他们的薪酬待遇，拓展发展空间，加强教育培训，营造更好的职业环境，建立医务人员荣誉制度，为他们安心工作和成长进步创造更为有利的条件。 郭燕红表示，国家卫生健康委联合有关部门将今年中国医师节的主题确定为“弘扬抗疫精神、护佑健康”。同时，要求各地方、各部门通过各种形式的活动来进一步弘扬医务人员敬佑生命、救死扶伤、甘于奉献、大爱无疆的崇高精神，全力以赴，不仅要打好抗疫工作，促使各项举措的落实落地，取得成效，同时也要圆满完成好医疗卫生的各项工作。 郭燕红表示，国家卫健委要求各地要以中国医师节的各项活动为契机，第一，要弘扬抗疫精神，奋力夺取抗击疫情的决定性胜利。国家卫健委要求各地大力弘扬抗疫精神，毫不松懈地抓紧抓实和抓好各项防控措施，不断巩固和拓展防控的成效，也进一步激励广大医务人员慎终如始、再接再厉，保持连续作战的优良作风，直至夺取抗击疫情的决定性胜利。 第二，要加强队伍建设，切实关心和关爱医务工作者。经历了这次疫情防控，医务人员队伍建设在维护和保障人民健康、捍卫国家安全等方面的作用日益凸显。培养和拥有一支政治坚定、技术优良、医德高尚的医务人员队伍也显得更加重要。国家卫健委必须把医务人员的建设摆在更为重要的位置上，作为实施健康中国的重要资源。我们要求各地要主动关心关爱医务人员，采取更为有力的措施提高和保障他们的薪酬待遇，拓展发展空间，加强教育培训，营造更好的职业环境，建立医务人员荣誉制度，为他们安心工作和成长进步创造更为有利的条件。 第三，要广泛宣传和倡导，营造尊医重卫的良好氛围。广大医务工作者不仅在新冠肺炎等重大传染病流行，人民群众的生命健康受到威胁的非常时期甘于奉献、救死扶伤、做出努力，而且在日常维护和促进、保障人民健康的工作当中，以医者大爱、仁心仁术、精心治疗每一个患者，不仅仅要对抗击疫情中涌现出的先进集体、先进人物进行广泛倡导和宣传，同时也要对日常工作当中先进的医务人员进行广泛宣传，树立榜样，激励广大医务人员秉承医者仁心，强化使命担当，继续当好守护人民健康的忠诚卫士。国家卫健委也要倡导全社会树立尊重医生、尊重医务人员就是尊重生命的理念，倡导科学的生命观、健康观，不断增进全社会对医务人员和卫生健康工作的理解、支持和认同，持续和有力地营造尊医重卫、共享健康的良好氛围。 责任编辑：张申 
转起！感谢近400万没上热搜的基层医务人员|2020年08月19日 16:11|原标题：转起！感谢近400万没上热搜的基层医务人员 新冠肺炎疫情以来，我们国家有近400万的基层医务人员在社区防控中发挥了重要作用。他们没有上热搜，却默默守护着群众的健康；他们没有成为公众焦点，却是离百姓最近的；他们也许没有万丈光芒，但温暖有光。致敬！ 责任编辑：张申 
我国共有公共卫生医师11.5万|2020年08月19日 16:07|原标题：我国共有公共卫生医师11.5万 8月19日是第三个中国医师节。今天下午，国务院联防联控机制召开新闻发布会，介绍秋冬季疫情防控以及医疗卫生工作者在抗击新冠肺炎疫情中发挥的作用情况。 与临床医师主要从事个体诊疗不同，公共卫生医师的服务对象主要是群体，他们运用系统的预防医学、临床医学以及其他专业知识，从一个个个体的健康问题中归纳总结，发现一些共性特征，针对群体健康问题开展防控工作，给群体开大处方、社会处方，同时减少人群患病、控制传染病等重点疾病的发生发展，促进整个群体健康水平的提升。 公共卫生医师的职责虽然和临床医生不同，但是在维护健康方面，他们发挥着至关重要的作用。比如在这次疫情防控工作中，临床医生治疗病人，减少存量，而公共卫生医师是阻断传播、控制增量，在有效防范疫情扩散蔓延上发挥着不可替代的作用。 责任编辑：杨杰 
