北京19日22名确诊患者涉及小区公布|2020年06月20日 23:41|原标题：北京昨日22名确诊患者涉及小区公布 新京报讯（记者 戴轩）6月19日0时至24时，北京新增新冠肺炎确诊病例22例，病例活动过的区为海淀、丰台、大兴，涉及到的小区或场所共16个。 6月19日0时至24时，北京市新增新冠肺炎确诊病例22例，其中男性11例，女性11例；年龄平均37岁，最小1岁，最大56岁；北京户籍6例，外省户籍16例；丰台区13例、大兴区8例、海淀区1例；临床分型轻型9例，普通型13例，确诊病例均与新发地市场有关联。具体情况如下： 病例1，男，50岁，黑龙江人，住丰台区花乡，工作单位为新发地市场，6月14日发病，19日确诊，临床分型为普通型。 病例2，女，33岁，河北人，住大兴区西红门镇，工作单位为新发地市场，6月17日发病，19日确诊，临床分型为轻型。 病例3，男，39岁，湖北人，住丰台区花乡，工作单位为新发地市场，6月15日发病，19日确诊，临床分型为普通型。 病例4，男，34岁，河北人，住丰台区花乡，工作单位为新发地市场，6月17日发病，19日确诊，临床分型为普通型。 病例5，女，54岁，黑龙江人，住大兴区黄村镇，工作单位为新发地市场某饭店，6月15日发病，19日确诊，临床分型为普通型。 病例6，女，43岁，北京人，住丰台区花乡，曾经到新发地市场采购，6月14日发病，19日确诊，临床分型为普通型。 病例7，男，52岁，河南人，住丰台区马家堡街道，曾经到新发地市场采购，6月15日发病，19日确诊，临床分型为普通型。 病例8，男，34岁，山东人，住丰台区马家堡街道，曾经到新发地市场采购，6月15日发病，19日确诊，临床分型为普通型。 病例9，男，31岁，河南人，住丰台区花乡，曾经到新发地市场采购，6月14日发病，19日确诊，临床分型为普通型。 病例10，女，34岁，北京人，住大兴区天宫院街道，曾经到新发地市场采购，6月14日发病，19日确诊，临床分型为轻型。 病例11，男，34岁，广西人，住丰台区花乡，曾经到新发地市场采购，6月19日发病，19日确诊，临床分型为轻型。 病例12，女，32岁，四川人，住大兴区黄村镇，工作单位为某食品厂，为6月17日确诊病例的密切接触者，17日发病，19日确诊，临床分型为普通型。 病例13，女，34岁，河南人，住大兴区西红门镇，工作单位为某食品厂，为6月17日确诊病例的密切接触者，18日发病，19日确诊，临床分型为轻型。 病例14，女，56岁，北京人，住海淀区永定路街道，为6月16日确诊病例的密切接触者，14日发病，19日确诊，临床分型为普通型。 病例15，男，22岁，河南人，住丰台区马家堡街道，为6月19日确诊病例的密切接触者，17日发病，19日确诊，临床分型为轻型。 病例16，女，53岁，河南人，住丰台区马家堡街道，为6月19日确诊病例的密切接触者，17日发病，19日确诊，临床分型为轻型。 病例17，男，1周岁，北京人，住丰台区花乡，为6月18日确诊病例的密切接触者，18日发病，19日确诊，临床分型为轻型。 病例18，男，44岁，河北人，住大兴区高米店街道，为6月18日确诊病例的密切接触者，13日发病，19日确诊，临床分型为普通型。 病例19，男，36岁，河北人，住大兴区清源街道，为6月13日确诊病例的密切接触者，18日发病，19日确诊，临床分型为普通型。 病例20，女，24岁，北京人，住大兴区黄村镇，为6月17日确诊病例的密切接触者，14日发病，19日确诊，临床分型为轻型。 病例21，女，47岁，河北人，住丰台区花乡，为6月19日确诊病例的密切接触者，14日发病，19日确诊，临床分型为普通型。 病例22，女，22岁，北京人，住丰台区卢沟桥街道，为6月12日确诊病例的密切接触者，19日发病，19日确诊，临床分型为轻型。 永定路街道永定路70号院 花乡（地区）黄土岗社区宜兰园二区 花乡（地区）潘家庙路9号院 花乡（地区）天骄俊园 花乡（地区）新发地经营者乐园 卢沟桥街道五里店南里小区 马家堡街道角门北路 马家堡街道角门路60号木箱厂宿舍 高米店街道郁花园一里 黄村（地区）镇海鑫北路17号院 黄村（地区）镇狼垡一村 黄村（地区）镇三间房村福旺街 清源街道枣园东里社区首邑上城 天宫院街道珺悦国际 西红门（地区）镇建新庄三条 西红门（地区）镇西红门一村镇光街 北京市疾控中心提醒，新冠病毒传染性强，传播途径复杂。疫情期间，尽量减少外出聚会就餐，避免多人集聚；在住所、工作场所等处，需保持室内经常通风，减少疫情传播风险。曾经去过新发地市场或到新发地市场采购的人员要服从社区防控管理要求，主动报告，不得外出，做好自身防护。建议市民朋友在社区组织下有序参加核酸筛查，如无新发地市场接触史和身体异常状况，可不必扎堆预约筛查；进行核酸检测时，戴好口罩，有序排队，保持距离。尤其是在电梯等公共密闭空间内要保持安全距离，规范佩戴口罩，回家后及时洗手，减少疫情传播风险。 新京报记者 戴轩 责任编辑：祝加贝 
香港新增1例新冠肺炎确诊病例 为境外输入病例|2020年06月20日 16:31|原标题：香港新增1例新冠肺炎确诊病例 为境外输入病例 来自香港特区政府卫生防护中心的消息，截至6月20日16时，香港新增1例新冠肺炎确诊病例。患者从菲律宾返港，属于境外输入病例。 截至目前，香港累计新冠肺炎确诊病例1128例。（总台记者 张怡）  责任编辑：吴金明 
海关总署：英国禽肉尚未获得我国准入|2020年06月20日 16:28|原标题：英国禽肉尚未获得我国准入 近日，英国一家禽肉企业确诊58例新冠肺炎病例引起广泛关注。海关总署确认，英国禽肉尚未获得我国准入，不能向中国出口。 海关总署已要求英国主管部门严格落实联合国粮农组织和世界卫生组织联合发布的《新冠肺炎与食品安全：对负责国家食品安全控制体系主管部门的指南》。英国主管部门确认其在华注册的8家猪肉企业和2家牛肉企业已严格按照《新冠肺炎与食品安全：对食品企业指南》做好安全防护，严防新冠病毒污染输华肉类；如有企业出现新冠疫情，将立即向中方通报。（总台央视记者 孙树文）  责任编辑：吴金明 
近两日北京对8家医院及5区进行约谈|2020年06月20日 16:27|原标题：近两日北京对8家医院及5区进行约谈 6月20日，北京市召开第127场新冠肺炎疫情防控新闻发布会。北京青年报记者在会上获悉，北京进一步加强疫情防控期间医院感染防控工作。北京市卫健委新闻发言人高小俊指出，根据监督检查发现的问题，6月18日、19日，医疗保障组领导以及市卫生健康委领导和市纪委监委等两次召开约谈会，就院感防控工作，对中日友好医院、北京世纪坛医院、北京协和医院、北京大学肿瘤医院、首都儿科研究所附属儿童医院等8家医疗机构的负责人，以及东城区、海淀区、朝阳区、大兴区、平谷区政府分管领导、经济技术开发区负责人进行约谈。要求各医疗机构落实北京市院感防控16条措施。 来源：北京青年报 记者 蒋若静 武文娟 解丽 责任编辑：吴金明 
美国拒绝中国航司加开航班，还喊着要航班“对等”|2020年06月20日 16:17|原标题：美国拒绝中国航司加开航班，还喊着要航班“对等” [编译/观察者网 童黎]24小时暴增3万多例确诊病例，美国新冠疫情迟迟未能得到控制。特朗普政府却一心想和中国航班“对等”，昨天（19日）再度出手给中国航司使绊子。 据路透社6月20日报道，19日，美国拒绝了中国航空公司增加两国间每周航班数量的申请，却声称这一决定无意加剧由“旅行限制”引发的紧张局势。 和之前的说法一样，美国交通部这次仍旧在声明中宣称，做出这一决定是为了“维持”两国定期客运服务的“对等”。 然后赤裸裸地威胁说，如果中国民航局调整影响到美国航司的政策，那么他们也愿意重新考虑此事。 即便如此，美交通部还称“已向中方表示，这一命令只与程序相关，不应被视为我方升级行动。” 因反种族主义运动和疫情焦头烂额之际，美国交通部6月3日发布命令称，将暂停所有往返美国的中国航司定期客运业务，以此威胁中方批准美航司复飞中国；并宣称中国政府允许美方运营多少定期客运航班，中国航司就可以运营多少。 观察者网专栏作者、民航业评论员张仲麟对此评论指出，美国刻意制造冲突，由此营造出一种中国“霸凌”美国的印象，从而转移美国国内愈演愈烈的矛盾，并不是真心让美国航司复航中国。 在几次更改后，目前美方将中国航司运营的两国往返航班放宽至每周4趟。 值得注意的是，约翰斯·霍普金斯大学数据显示，截至美东时间6月19日15时30分，美国24小时新增确诊病例32088例，较上周出现明显反弹。 随着美国各地重新开放及持续发生大型集会、骚乱，《纽约时报》的图表显示，有20个州的每日新增病例呈上升趋势。其中，18日，佛罗里达州新增病例超3200人，打破了本周早些时候创下的单日新增记录。 责任编辑：郑亚鹏 
北京市委宣传部副部长：北京防控仍处于紧要关头|2020年06月20日 16:04|原标题：北京防控仍处于紧要关头 北京市委宣传部副部长徐和建：当前首都疫情形势依然严峻复杂，防控仍处于紧要关头，我们必须拉响警报，全力以赴，分秒必争，主动出击，全市上下紧急动员起来，织密疫情防控网，坚决打赢新发地批发市场疫情防控这场硬仗。 责任编辑：吴金明 
病毒感染风险可能与血型有关 A型血更易感？|2020年06月20日 15:38|原标题：病毒感染风险可能与血型有关 A型血更易感？ 一项针对意大利和西班牙人群的新研究显示，新冠病毒感染风险可能与血型有关，A型血人群更易感染新冠病毒，而O型血人群更不易感。 这项研究17日发表在美国《新英格兰医学杂志》上。德国、西班牙、意大利、挪威等多国研究人员对意大利和西班牙的大约1600名新冠重症患者和大约2200名对照组人群进行了全基因组关联研究和分析。 结果研究人员不仅在新冠重症患者身上找到了一个新冠病毒易感基因位点，还发现A、B、O血型系统可能与新冠感染风险有关。分析显示，A型血人群的新冠感染风险比非A型血人群高45%，O型血人群的新冠感染风险则比非O型血人群低35%。 研究人员说，这背后的生物学机制可能与不同血型人群的N-聚糖中和抗体差异、基因变异等因素有关，本项研究结果是否有助于评估新冠患者临床风险还有待进一步研究。 责任编辑：郑亚鹏 
晒伤仍坚守核酸检测采样岗位 为白衣天使点个赞！|2020年06月20日 14:54|原标题：晒伤仍坚守核酸检测采样岗位 为白衣天使点个赞！ 北京新发地疫情发生以来，核酸检测的需求量剧增。为应对大量核酸检测需求，北京多地增加了核酸检测和采样点，以提升检测能力。 在朝阳区新增的爱康国宾日坛分院免下车采样点，医护人员从早8时到晚10时几班倒轮流上岗，为居民进行核酸检测采样。 连日来，北京气温几乎都在30℃以上，护士段亚飞晒伤后仍坚守岗位，让人心疼。为她点个赞吧！ 短时间内一些核酸检测采样点出现人多排队的现象，实际上医护人员、工作人员更辛苦。让我们多一些理解，少一些抱怨。把更多的检测采样机会先让给急需做检测的人，共同为抗击疫情做一点力所能及的贡献。 一切都会变得更好，加油！ （总台央视记者 张伟泽 邓煜洲） 责任编辑：张玉 
北京多个低风险地区推广核酸检测|2020年06月20日 14:45|原标题：北京多个低风险地区推广核酸检测 新京报讯（记者 戴轩）6月19日，北京市新增新冠肺炎确诊患者22例，从6月11日到6月19日，累计新增的患者数量已经超过200例。记者了解到，北京核酸检测力度进一步加强，有多个低风险地区已经开始扩大核酸检测规模。 今天（6月20日）早上八点半，新街口足球场外开始排起长队，附近不少居民被社区召集起来，等待核酸检测。 6月16日，北京市公共卫生事件应急响应级别调至二级。6月17日，新街口街道将新街口足球场作为核酸检测采样点，当晚开始建设。 足球场远离居民生活区，3200平方米的占地面积较为开阔，可以分出同时采样16人的样本采集区、居民等候区，足球场外的城市森林公园可以作为缓冲区，分散采集人员密度。该采样点6月18日上午9点开始投入使用，对高风险地区关联人员、地区重点行业领域从业人员进行检测，昨日已经全部完成。 从今天开始，该采样点开始面向辖区普通常住居民开放。 “我们街道有常住居民八九万人。现在，采样点要覆盖所有居民，应检尽检。”新街口街道办事处平安建设办公室科长杨珣介绍，有意愿检测的居民，都可以向社区反馈，免费进行核酸检测。 记者在现场看到，不少社区工作人员举着牌子召集居民、维持秩序，来做核酸检测的居民中，既有青年人，也有年幼儿童和坐着轮椅的老人。 “今天早上收到的通知，然后和爸爸妈妈三个人一起来做。我们没有接触过新发地，但还是想做一下，图个保险，毕竟平时上下班都要接触很多人。”一位在采集点等待采样的市民表示。 杨珣告诉记者，原计划十天左右采集完整个街道的样本，今天日检测量原本计划在万人，但由于试剂供应等问题，调整到4000人左右。 记者从国务院客户端上查到，新街口街道截至6月19日15点仍为低风险地区。 杨珣表示，目前北京确诊案例均与新发地市场有关联，而新发地人流量大，人员流动性高，虽然当地目前为低风险区域，但为了尽可能降低传染风险，当地扩大了检测对象范围。 记者了解到，推广核酸检测的低风险地区不光新街口街道一处。 刘女士家住东城区东花市街道北里西区，昨天下午她收到社区通知，其所在楼层居民包括租户都要进行核酸检测，近七日内已经检测的居民不用报名。同为一个街道的花市枣苑的袁女士同样收到通知，可以报名检测核酸，通知上还写道，东花市街道安排了4个采样点，近期拟完成5万余人的检测。记者查询国务院客户端，东花市街道截至昨日15点，仍为低风险地区。 对于是否要报名，接到通知的居民看法不一。 “我们没有接触过新发地，而且有点担心采集点环境，毕竟现在天又热，人可能也多，孩子又小，还没有想好去不去。”市民刘女士说，但她爱人希望测一下，图个安心。 各地区采样点在陆续建设新增中。记者从西城区了解到，该区现已有34个采样点，累计检测量超过十万人。 采样点的增加，带来了对采样人手的要求，有多家医院派出了核酸检测的支援队伍。 在新街口足球场采样点，平安医院、当地社区服务中心的医务人员承担了采样任务。平均一天，有60余名医务人员在现场工作。 记者从西城区卫健委获悉，西城组建了1500余人的核酸检测采样队伍，这些人员都是从区属医院抽调而来。 在高温天气下，穿着防护服的医务人员体力消耗较大，该区在集中采样点搭建了帐篷，准备食品、降温设施、饮用水等物资，按照就近原则送医护人员到社区、医院等地休整，2小时每组轮换。 一些市属医院也派出了支援队伍。 根据疫情防控的总体部署要求，北京老年医院6月17日下午接到通知，紧急抽调15名医务人员组成咽拭子采集小分队，赴大兴区指定地点参与核酸采样任务。 6月17日至19日，根据北京市疫情防控总体部署要求，北京清华长庚医院紧急抽调3批共44名护理人员和1名技师分赴大兴区、昌平区支援核酸检测工作。 新京报记者 戴轩 摄影记者 王嘉宁 责任编辑：郑亚鹏 
排查入关冷链食品，是为了避免新冠病毒“趁虚而入”|2020年06月20日 14:25|原标题：排查入关冷链食品，是为了避免新冠病毒“趁虚而入” 6月19日下午，在杭州海关举办的抗疫经验交流会上，在说到冷链运输环节的疫情防控时，李兰娟院士表示：“一般情况下，病毒在冷链上能较长存活。在我们已知并掌握的病毒中，处于4℃左右可以存活3-6个月，-20℃以下可以存活20年左右。不同的病毒存活时间也不一样。新冠病毒是一个新的病毒，从出现到现在才8个月，对它的认识及耐低温能力尚需进一步研究。” 她提出，海关应加强对冷链食品的全面排查，同时对新冠肺炎检测呈阳性的进出口物资进行追踪溯源。 严格来说，“病毒可在低温环境内长时间存活”是一个基本常识而非新发现。李兰娟这番话之所以引发媒体的密集解读甚至出现了一些误读，除了她的“院士”身份，主要在于这些话的背景是，之前多位专家曾推测，此次的新冠病毒传播，一个可能性是，病毒经由通过冷链运输的进口三文鱼传播至国内。 几乎同时，放宽防疫禁令之后，德国接连发生了多起聚集性感染事件，包括德国最大肉类加工企业通尼斯位于北莱茵-威斯特法伦州居特斯洛县的一家加工厂。 在这个背景下，冷链传播病毒的风险回到了舆论关注的焦点。李兰娟这番话，也正是针对冷链传播的风险，并具体指向“海关应加强对冷链食品的全面排查，同时对新冠肺炎检测呈阳性的进出口物资进行追踪溯源”。 事实上，海关已经在采取行动。在6月19日国务院联防联控机制新闻发布会上，海关总署卫生检疫司副司长宋悦谦介绍，全国海关对来自疫情高风险国家和地区的生鲜冷链产品，如水产品、肉类、冷冻蔬菜、水生动物、短时或低温运输工业品等进口商品开展新冠病毒风险监测。抽样检测的结果均为阴性。 理论上，基于“新冠肺炎病毒可在低温环境内长时间存活”这个前提，进而推测“病毒可由冷链传播”，逻辑上是成立的。不过，理论上的可能性，与现实中的风险程度，以及进一步行动的必要性，并不能直接画上等号。 首先，随着更多样本被实施检测，这次北京新冠疫情的病毒可追溯至三四月份的欧洲新冠病毒谱系，而不是近期的欧洲新冠病毒谱系。这意味着，如果这次北京疫情源头是输入性病例，可能不是近期由国外传播至国内的。 其次，目前为止，无论国内还是欧洲，在肉类加工厂或海鲜市场出现的聚集性感染，还没有证据证明冷链是直接感染源，这些地方大量人员流动、聚集更可能是大规模感染的主要原因。 病毒固然可以在冷链的低温环境内长时间存活，但也只是“存活”。病毒不像病菌，即使在常温下，也不能在肉类等食品或其包装物上复制增殖，也就意味着，除非在极特殊情况下，否则常规场景下的病毒污染，其密度有限。 众所周知，病毒感染需要达到一定的密度，而且新冠病毒主要的传播方式也不是简单的接触传播，所以，尽管不能绝对排除通过冷链传播的可能性，但概率可能是很低的。 但是，任何潜在的可能传染渠道都不应该被忽视，只是重视到什么程度，投入多少成本来阻绝，不是一个简单的理论问题，要充分评估风险与代价。 比如，由于病毒在冷链食品中的分布不可能是均匀的，所以要“全面检测”或“完全排除风险”，以目前的海关商品量来说，仅仅是抽检，就是一个巨大的工作量。如何“全面检测”，需要做出充分研判。 其实，之前世界卫生组织已经表示，根据以往冠状病毒引发的疫病调查经验，没有通过食品消费向人类传播的案例发生。联合国粮农组织和世界动物卫生组织均认为，食品贸易传播新冠病毒的风险极低，不建议各国因新冠肺炎疫情而对包括食品在内的国际贸易采取限制措施。 从这一点来说，目前海关所做的检测，确实是“为慎重起见”，也是为了减少而非增加公众可能的恐慌情绪。 从海关的角度，接下来的检测，一方面是在充分及时了解境外最新疫情信息的前提下，对特定来源地的商品重点检测；另一方面，则是进行研究性检测，也就是“对新冠肺炎检测呈阳性的进出口物资进行追踪溯源”，以对病毒通过冷链传播的可能性做进一步深入评估。 宋金波（媒体人） 责任编辑：郑亚鹏 
周知！云南发布2020年高考防疫注意事项考生告知书|2020年06月20日 14:22|原标题：周知！云南发布2020年高考防疫注意事项考生告知书 2020年云南省普通高等学校招生统一考试将于7月7日—9日举行，本次高考是新冠肺炎疫情防控常态化下的一次考试，为了确保高考工作平稳顺利进行，保障考生和考试工作人员生命安全，云南省招生考试院发布了2020年高考防疫注意事项考生告知书，希望广大考生在紧张复习之余自觉增强防护意识，科学防疫、主动防疫，积极配合学校教师和考试工作人员防疫管理，平安顺利完成高考。 告知书要求考生注意个人防护。严格遵守疫情防控制度规定，自觉增强防护意识，主动了解防疫知识，做好个人和家庭防护工作。考试前后不聚餐、不聚会、避免非必要外出。提前了解考试过程中的防疫要求，作好相应准备。 考前，考生要积极主动配合做好新冠肺炎风险排查和体温监测，如实报告本人及同住亲属身体健康状况，在考试前14天申领“云南省健康码”，体温测量记录以及出现发热、咳嗽等呼吸道症状者异常情况的要及时报告当地教育行政部门。认真阅读和签署《云南省国家教育考试考生诚信、安全考试承诺书》。在校应届考生从考前第14天（6月23日）开始，由所在学校负责每日体温监测、记录并进行健康状况监测。领取准考证时须提交并审验考试承诺书、打印云南省健康码绿码备查。社会考生及外地返回考生须按照当地疫情防控和教育行政部门要求提前回到考试所在地，在云南省招考频道下载《健康监测申报表》、考试承诺书，从考前第14天开始每日体温测量、记录并进行健康状况监测。领取准考证时须提交并审验《健康监测申报表》、《云南省国家教育考试考生诚信、安全考试承诺书》、打印的云南省健康码绿码。考前当地教育行政部门将会同卫生健康部门对所有考生进行健康状态数据进行2次筛查。目前云南省新冠肺炎疫情防控要求（节选）： “云南健康码”为黄码（中风险地区），须提供考试前7天内有效核酸检测阴性报告； “云南健康码”为红码（高风险地区），一律实行集中隔离观察14天，并开展两次核酸和一次抗体检测成阴性；一个月内有境外、高风险、中风险地区旅居史的人员，须持考试前7天内有效核酸检测阴性报告。 赴考时，考生赴考点出行时要提前准备好口罩（一次性使用医用口罩或医用外科口罩）、手套、纸巾、速干手消毒剂等防护物资。如乘坐出租车或网约车赴考点，提前预约车辆，乘坐时在后排落座并全程佩戴口罩，下车后应及时做好手卫生；如考生乘坐公共交通工具赴考点，全程佩戴口罩，可佩戴一次性手套，并做好手卫生。途中尽量避免用手接触其他物品，与周围乘客尽可能保持安全距离；如乘坐班车赴考点，宜全程佩戴口罩，保持开窗通风、分散就座，途中避免在车上饮食和用手接触其他物品，下车后做好手卫生。请考生家长配合当地疫情防控和安保部门要求，不要在考点大门口聚集。 考中，体温低于37.3℃方可进入考点。第一次测量体温不合格的，应听从考试工作人员安排适当休息后使用其他设备或其他方式再次测量。仍不合格的，须经卫生健康部门、疾控机构和医疗机构、教育行政部门、招生考试机构综合研判评估是否可以参加考试或需要在备用隔离考场考试。考生应佩戴口罩进出考点，进出考点和考场时加大人员间距，防止人员拥挤。进入考点内，要随时注意个人卫生，安检时配合摘下口罩，进入考场就座后，低风险地区考生可以自主决定是否继续佩戴口罩参加考试；非低风险地区及备用隔离考场的考生要全程佩戴口罩。其他环节必须佩戴口罩。如考试过程中发现有发热、咳嗽等呼吸道症状，要及时报告监考人员，请配合相关部门进行综合研判和处理。 考试结束后，按考场、考点工作人员安排有序离开。隔离考场考生当科考试结束后配合当地疾控部门处理。 其他注意事项：考生签署《云南省国家教育考试考生诚信、安全考试承诺书》，表明已知悉告知事项、证明义务和防疫要求，自愿承担因不实承诺应承担的相关责任并接受相应处理。凡隐瞒或谎报旅居史、接触史、健康状况等疫情防控重点信息，不配合学校教师、考试工作人员进行防疫排查、体温监测、考点管理、防疫送诊等造成严重后果的，将依法依规追究责任。（总台央视记者 李常明） 责任编辑：张玉 
北京首次公布确诊病例涉及小区|2020年06月20日 14:15|原标题：北京首次公布确诊病例涉及小区 新京报讯（记者 戴轩）北京从6月16日到6月18日，共确诊77人感染新冠肺炎。今天，北京市疾控中心首次公布确诊患者涉及的小区信息。 6月16日，北京共确诊31例，涉及东城、西城、海淀、丰台、大兴5区中的19个小区。 6月17日，北京新增新冠肺炎确诊病例21例，涉及到丰台、大兴2个区，共13个小区。 6月18日，北京新增新冠肺炎确诊患者25人，涉及到西城、海淀、丰台、大兴4个区，共12个小区。 具体小区名单下附。 市疾控中心提醒，北京正在根据风险高低，以社区为单位组织有关人员进行核酸筛查，请相关人员有序参加；市民朋友如无特殊接触史和风险因素，不必扎堆预约和筛查。 ■ 附件： 6月16日0时至24时，北京市新增新冠肺炎确诊病例31例，病例活动过的小区或场所具体信息如下： 6月17日0时至24时，北京市新增新冠肺炎确诊病例21例，病例活动过的小区或场所具体信息如下： 6月18日0时至24时，北京市新增新冠肺炎确诊病例25例，病例活动过的小区或场所具体信息如下： 新京报记者 戴轩 责任编辑：柳龙龙 
即日起离京来津人员将查验核酸检测证明|2020年06月20日 13:28|原标题：即日起离京来津人员将查验核酸检测证明 近日，北京市发生新冠肺炎聚集性疫情，并在多省引发相关病例，防范疫情扩散形势严峻。记者从天津市防控指挥部获悉，为指导各地做好离京人员健康管理服务工作，坚决遏制疫情传播和扩散，统筹疫情防控和正常生产生活秩序恢复，国务院联防联控机制综合组发布《关于做好离京人员新冠肺炎健康管理服务工作的通知》（以下简称《通知》），明确五方面具体事项，要求各地不得对能够提供相关证明的离京人员另行设置其他限制条件，对无法提供离京前7日内核酸检测阴性证明的离京人员，到达目的地后应立即接受核酸检测。通知如下。 一、各地要充分发挥大数据等优势，对5月30日至6月16日来自北京市中高风险街道（乡镇）人员、北京新发地批发市场等相关人员加强追踪管理，做到核酸检测应检尽检。对核酸检测阳性者及时进行隔离治疗，对疑似或确诊病例、无症状感染者的密切接触者但核酸检测阴性人员实施14天集中隔离医学观察，对其他核酸检测阴性者，单位和社区要加强健康管理，督促做好14天健康监测和个人防护，如出现发热、呼吸道及其他可疑症状应当及时就医。 二、根据北京市新冠肺炎疫情防控规定，自6月16日起，北京市中高风险街道（乡镇）人员、新发地批发市场等相关人员禁止离京，其他人员坚持“非必要不出京”，确需离京的须持7日内核酸检测阴性证明。 三、持有离京前7日内核酸检测阴性证明或能够出示包含核酸检测阴性信息的健康通行码“绿码”的离京人员，到达目的地后，在测温正常且做好个人防护的前提下可自由有序流动，各地、各部门不得另行设置其他限制条件。对瞒报、谎报人员依法追究有关责任。 四、无法提供离京前7日内核酸检测阴性证明的离京人员，到达目的地后应当立即接受核酸检测。核酸检测阳性者及时进行隔离治疗，核酸检测阴性者在测温正常且做好个人防护的前提下可自由有序流动。 五、上述要求根据北京市应急响应级别及时进行调整。 津云新闻记者 马扬洋 责任编辑：郑亚鹏 
北京新冠病毒与捷克最相似?世卫组织:暂无法定论起源|2020年06月20日 13:11|原标题：北京新冠病毒与捷克最相似？世卫组织：暂无法定论起源 当地时间19日，在世卫组织举行的新冠肺炎例行发布会上， 世卫组织卫生紧急项目技术主管玛丽亚·范·科霍夫表示，北京出现的新冠病毒的基因序列已被上传分享，显示与欧洲新冠毒株密切相关。 6月18日晚，中国疾病预防控制中心通过“新型冠状病毒国家科技资源服务系统”发布了三条数据——北京市确诊病例基因组序列数据（NMDC60013902-01、NMDC60013903-02）以及环境样本基因组序列数据（NMDC60013903-03），均是最近北京爆发的病毒样本。 这3个样本采集于2020年6月11日。由中国疾控中心病毒病预防控制所快速测序并且在全球共享流感数据倡议组织（GISAID）共享。 最近北京爆发的病毒样本的序列落在同一个进化簇中，该进化簇中很多都是来自欧洲的样本，与前期采样的3个输入型的病毒的基因序列很不一样。 在全球冠状病毒的进化架构中，和这3个北京的新冠病毒序列最接近的为来自捷克、中国台湾、希腊和葡萄牙的新冠序列。 按地区分布来看，在亚洲冠状病毒的进化架构中，北京的序列和来自捷克、中国台湾、丹麦、哥伦比亚、以色列和奥地利的序列很接近。 在欧洲冠状病毒的进化架构中，北京的序列和来自捷克、丹麦等许多欧洲国家的序列很接近，其中和来自葡萄牙和瑞典的基因序列只相差1个突变。 因此，从基因序列分析来看，北京最近传播的新冠病毒与欧洲流行的病毒有关。但是因为与许多国家/地区的序列类似，暂且无法定论它起源于何处，何时传入北京的。 世卫组织卫生紧急项目负责人迈克尔·瑞安在当地时间19日的新冠肺炎例行发布会上也称，目前有不同毒株在传播，不代表疾病来自欧洲，很有可能的是此次病毒由北京以外输入，现在重要的是要确定病毒传播的时间以及传播链，世卫组织很高兴看到北京采取的高强度调查，以确保发现聚集性传播的源头。 据悉，截至北京时间6月20日，捷克已累计确诊17271例，现有确诊442例； 丹麦，已累计确诊12391例，现有确诊509例； 哥伦比亚已累计确诊623276例，现有确诊37243例； 以色列已累计确诊20339例，现有确诊4449例； 奥地利已累计确诊17271例，现有确诊442； 希腊已累计确诊3237例，现有确诊1674例； 葡萄牙已累计确诊38464例，现有确诊12460例。 整理自央视新闻、生命科学前沿 责任编辑：张玉 
6月11日至19日24时 17例跨省病例与北京有关|2020年06月20日 12:44|原标题：17例跨省病例与北京有关 据国家卫生健康委员会消息，6月19日0-24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例27例，其中境外输入病例4例（广东3例，上海1例），本土病例23例（北京22例，河北1例）。 据河北省卫生健康委员会消息，河北1例新增确诊病例为保定易县人，系北京关联确诊病例的密切接触者。 据健康时报统计，6月11日至19日24时，北京累计确诊205例，五省份出现北京确诊关联病例，分别为河北11例，辽宁3例，四川1例，浙江1例，河南1例。 责任编辑：张玉 
