面对中国通报 新西兰总理指向阿根廷|2020年11月16日 23:55|原标题：面对中国通报，新西兰总理指向阿根廷 责任编辑：张迪 
上海有15例确诊病例今日出院，共计1198例出院|2020年11月16日 14:56|原标题：上海有15例确诊病例今日出院，共计1198例出院 来源：健康上海12320 市卫生健康委今日（16日）通报：15例新型冠状病毒肺炎病例，经定点医疗机构医护人员精心诊治和护理，专家组评估，认为符合国家卫生健康委最新的新型冠状病毒肺炎确诊病例出院标准，于今日出院。 病例1，俄罗斯籍，男，31岁，境外输入性病例，10月7日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例2，哥伦比亚籍，女，35岁，境外输入性病例，10月30日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例3，中国籍，女，61岁，境外输入性病例，11月5日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例4，中国籍，男，47岁，境外输入性病例，11月5日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例5，中国籍，男，47岁，境外输入性病例，11月6日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例6，中国籍，男，31岁，境外输入性病例，11月6日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例7，中国籍，男，25岁，境外输入性病例，11月6日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例8，丹麦籍，女，59岁，境外输入性病例，11月6日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例9，中国籍，男，54岁，境外输入性病例，11月6日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例10，中国籍，男，36岁，境外输入性病例，11月6日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例11，中国籍，男，50岁，境外输入性病例，11月6日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例12，中国籍，男，55岁，境外输入性病例，11月6日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例13，中国籍，男，55岁，境外输入性病例，11月6日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例14，斯洛文尼亚籍，男，6岁，境外输入性病例，10月18日被确诊为新型冠状病毒肺炎确诊病例，转入复旦大学附属儿科医院。 病例15，中国籍，男，14岁，境外输入性病例，11月5日被确诊为新型冠状病毒肺炎确诊病例，转入复旦大学附属儿科医院。 为做好出院患者的健康管理，卫生健康部门将对患者开展必要的随访观察。 责任编辑：贾楠 SN245 
辉瑞和中国疫苗哪个好？钟南山这样说...|2020年11月16日 14:06|原标题：辉瑞和中国疫苗哪个好？今天，钟南山这样说。。。 今天，钟南山院士出席2020官洲国际生物论坛，对当前疫情作出了最新研判： “目前世界对疫情发生的规律还没有摸清，也未进行溯源，治疗也没有极具针对性且非常有效的药物，部分药物如瑞德西韦仅在一开始发现对治疗新冠有用。” 钟南山表示，这次疫情跟2003年非典不同。 钟南山说，哪怕瑞德西韦等，一开始有些效，后来就差了。 责任编辑：祝加贝 
关于疫情、疫苗研发进展，钟南山最新研判来了|2020年11月16日 13:55|原标题：关于疫情、疫苗研发进展，钟南山最新研判来了 11月16日-18日，2020官洲国际生物论坛在广州国际生物岛举行。论坛的主题为“科技创新引领健康未来”。开幕式上，中国工程院院士钟南山发表了主旨演讲，对当前疫情作出了最新研判。 “我有一个感受，这么多人在一起开会，这在国外不可想象。我们能够有这么一个和平的环境，正常举行活动非常不容易。”讲话一开始，钟南山直呼举行这样的论坛实属不易。 在国外疫情依旧肆虐的情况下，钟南山表示，中国能控制住疫情，首先创新在“生命至上”的指导思想上，如在社区层面做到群防群控实属不易。他特别提到，现在武汉是非常安全。 钟南山还表示，这次疫情跟2003年非典不同，非典后，钟南山在一年内去了30多个国家，介绍临床经验，但对非典的科学研究还是不够。 “这次在病情一开始，就有了这么多的支持，特别是在科学研究方面。”钟南山说，这次是一边进行医疗，一边进行研究。在黄埔乃至广州，都比较早推出试剂盒，在全国起了很大作用。 但在钟南山看来，非典是在第二年就发现了规律进行了溯源。而目前世界对疫情发生的规律还没有摸清，也未进行溯源，治疗也没有极具针对性且非常有效的药物，部分药物如瑞德西韦仅在一开始发现对治疗新冠有用。 在疫苗方面，钟南山指出，国外辉瑞疫苗能阻止90%的感染，其实广东乃至中国对疫苗的研发也在差不多水平，但有了第一阶段试验结果才能公布。 钟南山希望，未来在生物医药领域，基础研究、临床研究、产业化能够更紧密结合起来，形成一个比较好的机制。 责任编辑：贾楠 SN245 
交通运输部：进口冷链食品物流疫情防控技术指南出台|2020年11月16日 12:41|原标题：交通运输部：进口冷链食品物流疫情防控技术指南出台 央视新闻客户端消息，近日，多地通报在进口冷链食品外包装或环境样本中检出新冠病毒核酸阳性。为科学指导公路、水路进口冷链食品物流相关单位和人员落实好疫情防控主体责任，切实强化“人物并防”，按照国务院应对新冠肺炎疫情联防联控机制相关部署要求，日前，交通运输部印发了《公路、水路进口冷链食品物流新冠病毒防控和消毒技术指南》，明确进口冷链食品装卸运输过程防控要求和消毒要求、从业人员安全防护要求及应急处置要求。 《指南》要求，从事进口冷链食品装卸运输等环节的公路、水路冷链物流企业、港口码头、货运场站等经营单位要严格按照要求做好新冠病毒防控和消毒工作，坚决防止新冠病毒通过冷链物流渠道传播。 一是要加强从业人员防护，切实保障冷链物流一线工作人员自身安全。严格做好港口作业人员以及司机、装卸工、船员、引航员等冷链物流一线工作人员的安全防护，做好人员体温监测、安全防护用品配备、定期核酸检测及消毒等工作，切实保障一线工作人员安全，防止感染风险。 二是要严格运输工具消毒，坚决防止病毒通过交通运输渠道传播。组织或委托有资质的消毒单位，对进口冷链食品运输车辆、船舶、冷藏集装箱内壁等运输装备进行定期消毒。 三是要落实信息登记制度，为冷链物流疫情防控追溯提供有力支撑。严格执行信息登记制度，如实登记装运货物、车船、司乘人员（船员）、装卸货及收货人信息等。 四是要做好突发事件应急处置，坚决切断冷链物流病毒传播途径。制定新冠肺炎疫情应急处置方案，对进口冷链食品或包装物检出新冠病毒核酸阳性的，企业应迅速启动应急预案，按照疫情防控要求，做好切断传播途径、隔离密切接触者等措施及时有效处置。 责任编辑：贾楠 SN245 
日媒：中方促抗疫谋复苏 赢得东盟各国支持|2020年11月16日 12:25|原标题：日媒：中方促抗疫谋复苏 赢得东盟各国支持 参考消息网11月16日报道 日本《产经新闻》11月15日发表题为《中国谋求突破“包围圈”》的报道称，中国似乎将东盟系列峰会定位为阻止构建“对华包围圈”的舞台。 报道称，在中日韩与东盟14日举行的领导人会议上，中国国务院总理李克强表现出积极强化与东盟关系的姿态。12日中国与东盟举行的领导人会议上，李克强提议，携手战胜疫情，提升公共卫生合作，聚焦经贸合作，促进地区经济复苏。 报道指出，在日美澳印加强印太相关合作的背景下，对中国而言，让东盟各国留在己方阵营成为紧急课题。中国国务委员兼外长王毅10月中旬说，美国所提出的“印太战略”，事实上是以“美日印澳”四国机制为依托，企图构建所谓印太版的新“北约”。 报道还称，东盟成员国中，柬埔寨等明显表现出亲华姿态。中国不希望东盟各国赞成印太构想并参加构建对华包围圈。 报道认为，中国将疫情防控视为强化与东盟各国关系的机会。新冠疫情导致世界贸易下滑的背景下，今年前三季度中国与东盟贸易总额同比增长约5%。中国提出优先考虑向东盟国家等提供新冠疫苗。 责任编辑：武晓东 SN241 
新华社：RCEP为疫情下全球经济复苏注入新动力|2020年11月16日 12:11|原标题：财经观察：RCEP为疫情下全球经济复苏注入新动力 新华社记者毛鹏飞 在贸易保护主义、单边主义和新冠疫情给全球经济带来连续冲击背景下，东盟十国和中国、日本、韩国、澳大利亚和新西兰15日正式签署区域全面经济伙伴关系协定（RCEP），发出了致力于推动自由贸易、多边主义和区域经济一体化不断向前发展的强音。 分析人士认为，RCEP将打造超级经济圈，加速区域经济复苏发展，为疫情下全球经济复苏注入新动力。 RCEP涵盖20个章节，既包括货物贸易、服务贸易、投资等市场准入，也包括贸易便利化、知识产权、电子商务、竞争政策、政府采购等大量规则内容。RCEP货物贸易零关税产品数整体上超过90%，还给予最不发达国家差别待遇，是全面、现代、高质量、互惠的自贸协定。 分析人士认为，RCEP经过8年谈判得以签署，各成员承诺降低关税、开放市场、减少标准壁垒，向世界表明开放合作是各国互利共赢的必由之路，体现出地区国家追求自由贸易、维护多边体系、建设开放型世界经济的广泛共识。 澳大利亚国立大学东亚经济研究所所长彼得·德赖斯代尔指出，RCEP不仅构建了全球重要的自贸区，涵盖区域也是全球经济最具活力的区域。作为具有全球视野的区域自贸协定，RCEP不仅推动区域经济一体化深入发展，也是捍卫贸易自由化和开放型贸易体系的宣言。 亚洲愿景研究院院长强万纳里表示，RCEP释放出一个清晰信号，那就是亚洲区域经济一体化进程依旧活力十足。RCEP将提升经济信心、增强区域供应链，重申对开放、包容和基于规则的多边贸易体系的共同承诺，进一步促进区域和全球经济复苏。 新冠疫情全球大流行使国际贸易和全球产业链受到严重冲击。分析人士认为，RCEP有利于稳定区域和全球产业链、供应链，巨大的统一市场带来的贸易投资效应也将为区域乃至全球经济复苏注入新动能。 美国布鲁金斯学会一项研究表明，RCEP一旦建成将提升全球实际收入，通过科技、制造、农业、资源领域的优势互通，降低该区域营商成本。 中日韩三国合作秘书处副秘书长曹静表示，更高水平的开放、更大的市场、更完善的政策，催生更多新的发展机遇和潜力。RCEP的签署将促进相关国家贸易投资强劲增长，减少全球产业链、供应链的“梗阻”，加快疫后经济复苏。 柬埔寨商业部国务秘书、发言人相泰认为，RCEP带来更广阔的市场，促进成员国之间的经贸投资联系进一步发展，将为后疫情时期区域经济发展作出重要贡献，同时也将提升区域在全球经济和贸易中的重要性。 分析人士认为，亚太是全球经济最具活力的区域，RCEP是东盟与该区域其他国家签署的各个“10+1”自贸协定基础上的升级与完善，为经贸联系紧密的各经济体建立统一的规则体系，开启区域经济一体化新篇章。 日本富士通总研首席研究员金坚敏指出，RCEP的制度设计、开放水平、成员构成得到东盟各国广泛接受和积极评价，既得到了东盟积极推动，也强化了东盟向心力。只要RCEP体现出市场一体化的魅力和发展活力，就有望进一步扩大区域合作范围。 新加坡贸易与工业部长陈振声说，RCEP是成员国对更广泛的经济一体化发展的承诺，也表明了共同愿望，那就是分享彼此繁荣发展的成果。 北京大学国家发展研究院副院长余淼杰指出，RCEP统一的原产地规则将提高成员国吸引力，因为进入一个国家就意味着进入整个区域市场。“RCEP将促进亚太地区价值链整合，推动地区经贸一体化发展，也将更好发挥中国作为亚太地区价值链中心节点的作用，使亚太地区各个经济体、全球其他经济体，都从中国经济增长以及亚太地区经济恢复中受益。”（参与记者：白旭、陆睿、叶珊） 责任编辑：朱学森 SN240 
张伯礼提示：接快递时也要注意！天津如何防控？|2020年11月16日 11:49|原标题：张伯礼提示：接快递时也要注意！天津如何防控？ 津云新闻记者 赵颖妍 多地发现新冠病毒明确存在“物传人”的情况，中国工程院院士、天津中医药大学校长张伯礼表示： 由于国外无症状感染者数量激增，除了进口海鲜食品之外，一些国外高风险地区空运的快递包裹、信函等外包装如果携带新冠病毒很难发现，大面积消杀也难实施。 张伯礼院士提醒大家 除了进口海鲜食品之外 个人接收到一些 国外高风险地区 空运的快递包裹、信函时 一定要做好防护 记者从天津市邮政管理局了解到，本市各寄递企业已经严格按照《冷链食品生产经营新冠病毒防控技术指南》《冷链食品生产经营过程新冠病毒防控消毒技术指南》要求，对进口冷链邮件快件各处理环节实行疫情防控提级管控，各企业在进口冷链食品邮件快件寄递运输过程中不擅自打开外包装，每批次进口冷链食品邮件快件处理完毕后，对运输车辆、食品冷藏箱等装备、用具实施全面消杀。 对于入境的快递包裹信函，各快递企业一直持续加强配送人员的安全防范。天津顺丰速递相关负责人告诉记者，对于国外入境的包裹信函，顺丰已经在清关口岸城市对商品的外包装进行了全面消杀，因此，外省清关到津的货物外包装已经相对安全。但为了做到万无一失，顺丰所有运输配送过程中，都要求快递人员全程佩戴口罩、手套，做好安全防护。 中国邮政集团有限公司天津市分公司相关负责人表示，为了做好国际邮件快件疫情防控工作，国际交换站作为与进境邮件接触的第一环节，在国际邮件总包接邮提运过程，已经做到对进境邮件总包进行消毒防疫。对于涉及出境接邮或进境交邮的运邮车辆，在抵达交换站场地后做到整车消毒，并安排专门垛口进行总包交卸，同时对卸交的邮件总包实施消毒。 记者了解到，国际邮件交换站库区场地，每日进行2次喷洒“84消毒液”消毒，并由专人管理每日消毒记录；对于进出境运输车辆，进口集装箱到达二枢纽后对集装箱箱体及车辆进行喷洒消毒，出口集装箱到达二枢纽后对集装箱箱体、箱内及车辆进行喷洒消毒，专人管理每批次进出境进行消毒记录；对于进出口邮件，进口邮件拆箱期间对邮件进行全部逐件喷洒消毒，专人管理。 最后 张伯礼院士还提到 这些个人日常防控措施 做法很简单 很有效！ 视频来源：TJTV新闻频道 责任编辑：朱学森 SN240 
今冬如何“跑”赢新冠病毒？张文宏给出权威解答|2020年11月16日 11:11|原标题：中国焦点面对面：今冬如何“跑”赢新冠病毒？张文宏给出权威解答 “要永远‘跑’在病毒的前面。” 眼下，全球新冠疫情仍在蔓延，国内多地发现输入性病例、局地发生小规模疫情。如何应对输入性病例带来的扩散风险，今年冬天中国会不会发生第二波疫情？针对这些问题，上海复旦大学附属华山医院感染科主任张文宏接受中新社“中国焦点面对面”专访，进行权威解读。 访谈实录摘编如下： 中新社记者：最近上海浦东报告了一例新冠病例，引发关注。您今天能来到我们的演播室，是否意味着此次疫情的波及范围有限？ 张文宏：上海浦东这个病例在社会上引发关注，但对于我们专家团队而言，这样一个偶发病例，是在意料之中。半年前，我们在专家组的会议上也反复说过，这一次疫情有可能延续很多年，不仅在今年夏天不能终止，（而且）会蔓延到年底，甚至于第二年都会继续蔓延。最近，大家也都慢慢地接受了这一观点。 中国不是独立于世界之外的国家，我们向全世界开放得特别广。无论是输入还是输出货物，还有各种经济来往，中国都是世界经济活动的中心之一。在这种情况下，彻底杜绝输入性疫情，实际上是不可能的。有些输入性病例，并不是（由）人员进入带来的，而是跟着货物物流进来。随着物流越来越多，这种可能性会越来越大。中国现在对外的口岸，无论是陆地口岸还是空港，都会面临这种风险。 在这种情况下，你只能做两件事情，第一种，断绝与全世界的交往；如果做不到，第二种就是（做好）充分的预案，来针对这种散发疫情的发生。一旦出现，预案马上就开始启动。 预案的方法是，要永远“跑”在病毒的前面。对于第一例这样的指示病例，如何发现？为此，上海在今年上半年做的第一件事情，是扩大了上海市的发热门诊和发热哨点门诊的布局，我们的发热门诊和哨点门诊多达400多个。一个城市有这样网格化的发热门诊，建立一个敏感的发热门诊体系，总是让你能够及时找到第一次发病的病人。 很多人会问，无症状感染者怎么办？当发现第一个发热病人的时候，就意味着可能有多个无症状感染者，这需要我们去做第二步，就是扩大检测，以发热人员为中心，进行密切接触者的追踪。为了能够“跑”到病毒的前面，必须再进一步扩大检测，对密切接触者的密切接触者进行追踪，同时，以这个指示病例为核心，扩大检测区域。只要做到这两点，其实就不会“跑”到病毒的后面去。 这一次，对于一个孤立的在（上海浦东）机场发生的跟货物接触有密切相关的病例，说句实话，我们从来没有为这件事情大惊小怪，对于上海卫健委，上海整个的医院系统和疾控系统，这无非是我们无数次演练当中的又一次实战。 迄今为止，只有这个病例的一个密接同事，也发现感染了病毒，其他再扩大的检测就再也没有发现新的病例。我相信，随着对病毒的进一步追踪，这个问题应该很快会得到解决。 中新社记者：上海这次疫情的起源是什么，现在您有没有一些新的信息可以分享？ 张文宏：到了目前这个阶段，我们在一个病毒世界大蔓延的过程当中，再去找最原始的起源，已经变得极为艰难。同样，在成千上万件货物当中，找到是哪一件货物，事实上也毫无意义。这个病毒是有生命的，基本上（能存活）两个星期左右。所以，防控专家要在病毒传播的有效生命周期里，控制住病毒的传播。 第二个要点，既然病毒跟物流有关，将来我们就要在物流方面给予更大关注。但这么多物流进来，采样检测，一定是抽样检测，而不是全检。所以，将来的防控策略，海关的抽样仍然至关重要，特别是成批货物进来时非常重要。但是更为重要的是，我们要有一套非常好的防护策略。具体来说，第一，海关所有人员应该进行疫苗注射，加强对自我的保护。第二，民众在接收外来货物的时候，要有一个处理机制，比如用酒精喷洒货物表面，拆完包装后洗手，或者外包装拆掉不要。 还有，始终做好严密的追踪。将来随着世界大门重新打开，散发病例会逐渐成为大家不得不接受的一个态势。但如何在散发性病例进入社会、对大家造成风险的时候，对健康人群提供最大程度的保护，这是要点。 在这种情况下，人类就具备了与病毒共存的智慧。世界上病毒的存在时间大约已有38亿年，地球的历史是46亿年。对于未来而言，我们要学着怎么与这样一个病毒共存，就是怎么样使新冠的病死率降到非常低的水平。 中新社记者：此前，国内有很多专家表示，今年冬天中国不会发生第二波疫情。但最近各地发生一些零散病例，针对这种新的情况，您对今年冬天的疫情形势判断是怎样的？ 张文宏：今年的冬季或夏季，其实没有区别。中国真正的疫情结束或者说初步结束，应该是在今年的4月8号，武汉宣布解封。后来陆陆续续又出现的，包括北京、青岛、大连、云南，还有乌鲁木齐等，这些疫情对全国都没有造成大的影响。 中国个别地区出现散发病例，不意味着别的城市要对来自这些地方的人一律进行隔离，而是根据我们的安全码、健康码的级别，给予正常的通行。 世界的疫情没有结束，中国就始终会有输入性的散发病例。如果疾控系统发热门诊系统不够敏感，这1例就会变2例、2例变4例，到了10例20例的时候，这个城市如果还发现不了，真的应该进入“战时”状态。 所以现在的关键是，我们有没有好的办法来针对这些输入性疫情，这不是任何一个专家所能预测的。最终决定这一波疫情有或者没有，取决于每一个省市是不是具备非常完善的快速反应、精准防控、动态清零这三个能力。如果你具备这三种能力，输入性的疫情就会纳入到“新常态”的管理体系里面。 中新社记者：我们说的第二波疫情指的是大规模疫情。昨天，国家卫健委副主任李斌在新闻发布会上也表示，今年冬天认为我国局地可能发生聚集性疫情。 张文宏：风险一直有，所以李斌主任说这样的一个提示警告极为重要。为什么在这个当口提这个警告，因为随着冬季来临，我们会有巨大的输入性病例的风险。 现在，你问我上海有（没有）病例，我说有，有一个本土病例。你问上海病例在哪里？我说你找不到他。为什么找不到他？因为这个病例被我们隔离好以后，处于一个闭环之中，在整个社会上又没有（其他）病例。所以这就是一个“动态清零”的策略，这才是我们今年乃至于明年防控的一个精髓。 中新社记者：您将防疫策略总结为“动态清零”。我们可不可以说，“动态清零”这个说法是您第一个提出来的？ 张文宏：这不敢说是我第一个提出来的。我只是说，根据中国现有的防控策略，在北京新发地出现疫情之后，我提出了这个观点，北京有疫情，我们不要担心，中国是“精准防控、动态清零”，也就是说，我们允许在小范围内个别的病例出现，但是我们会在很短的时间内，把这个病例控制住。 按照中国目前各个区域的防控能力，我们看到，在已经发生过（散发）疫情的几个地方，基本上在4个礼拜内都可以清零。上海这一次如果没有特殊意外，我相信应该在两周内也就清零，而且某种意义上，现在已经没有了。因为我们这个病例的发现，属于极为早期的一个病例，越早期发现，动态清零的时间就越短，让你甚至于注意不到。 中新社记者：您刚才提到了一个词叫做“精准防控”，但实际上在今年对一些散发疫情的处理中，很多地方都进行了大规模的核酸检测。在今后的疫情处理当中，这种大规模核酸检测将成为一种标准做法吗？它与您提到的“精准防控”是否一致呢？ 张文宏：我认为精准防控的一个典型案例，最早出现在北京的新发地。北京在处理这件事情时，采取的就是精准防控的策略。因为当时，北京的防控区域是分区的。大家是在根据新发地暴发疫情的周边病人出入的地点，给予它标记是中等风险，还是高风险。 如果这个地方的防控能力非常强，事实上可以做到精准防控；你对自己的防控能力把握到什么程度，你的精准防控就可以做到什么样的水平。所以这次上海出现这一例病例，我们只是对浦东的一个村进行了编码，是一个中等风险地区。 关键还是要对密切接触者的接触者进行精准追踪，对他周围的环境进行全面检测及隔离。我们应该对隔离区域里面进行全员检测。但大家不由得会产生一个问题，如果万一有个别的病例出来，你没有检测到怎么办？我们采取第二轮的“定点清除”，对密切接触者和他活动的区域进行清除，事实上也是能够把握住的。 中新社记者：随着全球疫情的蔓延，我们现在的一个主观感受，好像是无症状的感染者越来越多了，死亡的病例好像没有那么多了。那么据您的了解，目前新冠病毒的毒力和它的传播力到底有没有发生变化？关于新冠病毒造成的病死率，有没有一些新的认知？ 张文宏：全球累计确诊新冠病例，（11月9日）超出了5000万例，病死人数到了120万，但是病例数的新增速度与死亡病例的增速是不一致的，也就是说，全球范围内新发病人的病死率事实上是下降的。在全球范围内，还有一个数据叫每周的病死率，你会看到也出现下降，这很容易给大家造成一个错觉，认为病毒不像以前那么毒了。 病死率的计算模型，才是问题的关键。因为全球各个地方的诊断能力都在大幅度提高，很多没有症状的人会去检测，然后会发现很多无症状感染者。而在早期，我们的诊断能力没办法覆盖无症状的人，所以在早期发病的都是重症，我们报出来的病人当中，病死率自然比较高，现在没有症状的人也去检测，病死率就会很低，这很正常，因为你选的不是同一个人群。 第二，全球范围内，病死率最高的人群是谁？大家都知道是老年人。所以这一高危人群，开始做非常好的自我保护。年轻人的病死率本来就是极低的，全球这一波疫情产生的特点，是（以）社会重启以后的年轻人的感染为主，他们病死率也是低的。 第三，1月份到现在10个月的时间，全球范围内大量的新冠抢救物资，不断得以补充。新冠疫情就是一次打仗，后勤保障得越好，这个仗就越成功，病人的抢救成功率就越高。所以随着防疫物资的极大丰富，病死率大幅度降低。 第四，当你看到一个现象，就随意地去猜测它的原因，往往都是错的。就像我们今天看到病死率大幅度下降，如果你不在医疗系统里面，很容易就认为是病毒没有以前那么厉害了。 我们对病毒还要引起重视。我告诉你另外一个数据，英国最近每周的病死率又开始上升了，因为病例在增加，又开始出现轻度的医疗挤兑。一旦出现医疗挤兑，病死率就会大幅度上升。所以最近一个月，英国、法国、德国都开始了局部封城，就是为了让医疗机构不要发生挤兑。 中新社记者：国内疫情的早期，暴露出我们在感染科和疾控体系方面的一些短板。眼下国内各地都在计划或者已经在加强感染科与疾控体系的建设，但是我们也知道就像当年的SARS过后一样，短期内疾控体系也得到了加强，但是时间一长，整个系统又因为长期的闲置或者一些其他原因再次被削弱，我们今天如何才能够避免这个问题再度上演？ 张文宏：其实新发传染病导致的社会经济损失远远超出你的想象。现在全球范围内，这次疫情（造成）的财力、物力损失，应该都是以多少万亿来计算的。 回过头来看，在全球范围内，如果对公共卫生体系有一个非常好的布局，有一支常驻部队，这支部队又（能）“平战结合”，对疫情的应对就会更加迅速，防控更加精准，最终的病死率就会更低。 除了疾控系统，在医院体系内还有一支公共卫生的力量，就是感染病科室。由于医疗体系的特殊性，我们这支部队，收入往往是比较低的，就很难维护。在这次疫情之后，国家已经做了一系列布局，要对这支部队进行常规的支持，然后通过“平战结合”来训练这支部队。 中新社记者：据您的观察，现在国际上有哪个国家的疫情防控做的也比较好，或者说对于我们国家也有一些借鉴意义的？ 张文宏：我们现在看到像新加坡、韩国，虽然不能保证没有本土病例，但是基本上疫情都控制在非常低的水平，能够基本上在内部开放。这些国家采取的策略，事实上跟中国非常接近。 他们的做法，是发现病例后就对他的密切接触者进行筛查，但是筛查范围并没有扩大。比如说在一幢楼里面发现确诊患者，对密切接触的同事进行筛查，但是不会对整幢楼所有的人进行筛查，也不会对整幢楼所有的人进行隔离，做得比我们的范围更小。但是更小就会有风险，就可能有“漏网之鱼”，发现的时候再进行第二轮追踪和筛查。 这样的好处是整个社会认可病毒在低水平的流行，采取防控策略，保持一定的社交距离、戴口罩，哪怕有“漏网之鱼”，也不会引起暴发。所以这些国家现在基本上还不能举办非常大型的聚会，但是社会可以长期保持正常化。 我们中国是动态清零，基本上没有病例，但是一旦有病例，就会严格地筛查。我们的筛查范围比他们的要略微放大，好处在哪里呢？当确诊病人的相关病例清零以后，我们马上可以扩大我们的社会活动。所以现在，全国各地很多适当保持社交距离的大规模聚会，已经不断恢复了。包括这次上海进博会，100多万人的大型活动，我们也恢复了。 所以各种防控策略，各有利弊。到底这个国家应该采取什么样的策略，取决于自己的情况。 中新社记者：现在全球的疫苗研发大战火力全开，竞争十分激烈。相比过去，这次疫苗的研发时间也大大缩短了。但与此同时，最近（国外）也有一些疫苗在实验中发生了不良反应事件。在您看来，目前全球的疫苗研发速度是不是处于一个合适的节奏，是过快了还是说还不够快，为什么？ 张文宏：在一个新发传染病出来之后，疫苗的开发，都属于应急状态下的开发，速度都会加快。在2009年，H1N1暴发的时候是上半年，到10月份左右，流感的新疫苗也已经出来了。所以这一次疫情走到今天，全球各个国家都在加紧疫苗研发，也是为疫情（防控）做非常重要的技术储备。 今年年底或明年年初，全球基本上会开始接种。所以这次加快研发的速度，在整个人类传染病的斗争史中，只是常规的加急研发过程，只不过现在的技术力量比以前更好了，所以研发的速度会更快。比如说中国可以在很短的时间内生产大量的灭活疫苗，进入三期临床研究。在美国，可以在很短的时间内把mRNA疫苗做出来，开始申请应急使用。 这说明我们人类的科技力量不断在发展，它只会以想象不到的速度变得更快，更加精准。也正是因为如此，我对这次新冠疫情最终得到控制有很强的信心。 记者：钱炜 责任编辑：朱学森 SN240 
潜在疫情对国内经济是否会有不利影响？统计局回应|2020年11月16日 11:02|原标题：潜在疫情对国内经济是否会有不利影响？统计局回应 国家统计局新闻发言人付凌晖表示，国内疫情防控的整体效果是好的，做好疫情防控工作的能力是有目共睹的。尽管面临国际上疫情反弹的不确定性，但中国经济有强大的韧性和恢复能力。中国经济未来继续保持稳定恢复，实现全年预期目标是有条件的。 责任编辑：武晓东 SN241 
11月15日浙江新增1例境外输入无症状感染者|2020年11月16日 08:59|原标题：2020年11月16日浙江省新型冠状病毒肺炎疫情情况 来源：健康浙江 11月15日0-24时，新增无症状感染者1例（英国输入），已排查密切接触者均已实施集中隔离。无新增确诊病例。截至15日24时，累计报告确诊病例1291例（境外输入病例72例）。 责任编辑：贾楠 SN245 
31省区市新增确诊病例8例 均为境外输入病例|2020年11月16日 08:08|原标题：截至11月15日24时新型冠状病毒肺炎疫情最新情况 11月15日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例8例，均为境外输入病例（四川3例，广东2例，山西1例，江苏1例，陕西1例）；无新增死亡病例；新增疑似病例1例，为境外输入病例（在上海）。 当日新增治愈出院病例19例，解除医学观察的密切接触者1365人，重症病例与前一日持平。 境外输入现有确诊病例353例（其中重症病例4例），现有疑似病例3例。累计确诊病例3701例，累计治愈出院病例3348例，无死亡病例。 截至11月15日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例374例（其中重症病例4例），累计治愈出院病例81338例，累计死亡病例4634例，累计报告确诊病例86346例，现有疑似病例3例。累计追踪到密切接触者873756人，尚在医学观察的密切接触者14232人。 31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者14例（均为境外输入）；当日转为确诊病例1例（为境外输入）；当日解除医学观察78例（境外输入20例）；尚在医学观察无症状感染者548例（境外输入416例）。 累计收到港澳台地区通报确诊病例6106例。其中，香港特别行政区5458例（出院5194例，死亡108例），澳门特别行政区46例（出院46例），台湾地区602例（出院536例，死亡7例）。 责任编辑：张迪 
北京昨日“零新增”！市卫健委发布机场疫情防控指引|2020年11月16日 07:52|原标题：北京昨日“零新增”！市卫健委发布机场疫情防控指引 11月15日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者；无新增报告境外输入确诊病例、疑似病例和无症状感染者。 飞行管理人员和工作人员出现发烧或呼吸道、消化道传染病症状时不得上班，建议尽快就医；集中空调通风系统、厢式电梯换气扇保证运转正常；机场候机厅和机舱内密闭性强，有疫情传播风险。要以清洁为主，预防性消毒为辅，自助设备触摸屏、推车、扶手等乘客经常触摸部位要定期清洁消毒。卫生间保持清洁干爽，提供洗手液，保证水龙头等设施正常使用，垃圾及时清理；提供无接触购票、值机方式服务；座椅套保持清洁，定期洗涤消毒。 责任编辑：武晓东 SN241 
