北京近两日有25例确诊病例来自集中隔离点|2020年06月28日 23:01|原标题：北京近两日有25例确诊病例来自集中隔离点 责任编辑：吴金明 
辽宁省新增1例境外输入确诊病例和1例无症状感染者|2020年06月28日 18:11|原标题：辽宁省新增1例境外输入确诊病例和1例无症状感染者 来源：半岛晨报 2020年6月28日9时，沈阳市报告新增新冠肺炎境外输入型确诊病例和无症状感染者各1例。 二人均搭乘CA722次航班自白俄罗斯来沈，于6月27日8时50分抵达，经海关部门采集鼻咽拭子和血标本后，由专用大巴“点对点”转运至集中隔离观察点实施集中医学观察。当晚，二人新冠病毒核酸检测结果报告阳性，随即被移送至省集中救治沈阳中心进一步诊断治疗，再次采集鼻咽拭子和血标本送沈阳市疾控中心复核，核酸检测结果为阳性。经专家组会诊，诊断郭某某为新型冠状病毒肺炎普通型确诊病例，诊断尚某某为新型冠状病毒肺炎无症状感染者。目前，二人病情平稳，其所有密切接触者均在集中隔离点进行医学观察。 资料来源：省统筹推进新冠肺炎疫情防控和经济社会发展工作总指挥部办公室 责任编辑：郑亚鹏 
北京：现有5个疫情高风险地区 37个中风险地区|2020年06月28日 17:33|原标题：北京：现有5个疫情高风险地区37个中风险地区 北京青年报记者从国务院客户端疫情风险查询小程序上了解到，截至6月28日15时，北京西城区金融街街道、丰台区太平桥街道从疫情中风险地区调成低风险地区。 目前，北京市共有5个高风险地区— —丰台区花乡（地区）乡、新村街道，大兴区西红门（地区）镇、黄村（地区）镇，海淀区永定路街道； 37个中风险地区，涉及丰台、大兴、海淀、西城、房山、东城、石景山、朝阳、门头沟、通州、昌平11个区，分别是： 东城区：天坛街道、永定门外街道、和平里街道、北新桥街道； 西城区：白纸坊街道、展览路街道； 海淀区：青龙桥街道、八里庄街道、田村路街道、四季青（地区）镇； 朝阳区：十八里店（地区）乡、小红门（地区）乡； 通州区：北苑街道； 昌平区：回龙观街道 丰台区：西罗园街道、卢沟桥街道、南苑街道、卢沟桥（地区）乡、大红门街道、丰台街道、南苑（地区）乡、长辛店镇、马家堡街道、右安门街道、长辛店街道； 大兴区：林校路街道、高米店街道、庞各庄镇、天宫院街道、观音寺街道、魏善庄镇、青云店镇、清源街道、安定镇； 房山区：长阳镇； 石景山区：八宝山街道； 门头沟区：永定（地区）镇。 文/北京青年报记者 蒲长廷 解丽 李泽伟 王斌 蒋若静 刘婧 来源：北京青年报 责任编辑：祝加贝 
西城金融街街道和丰台太平桥街道降为低风险地区|2020年06月28日 17:14|原标题：西城金融街街道和丰台太平桥街道降为低风险地区 记者从国务院客户端小程序“疫情风险等级查询”上了解到，截至6月28日15时，北京市西城区金融街街道、丰台区太平桥街道由疫情中风险地区变更为低风险地区。 责任编辑：郑亚鹏 
北京蔬菜供求信息增加新渠道，13省区与北京对接保供|2020年06月28日 17:12|原标题：北京蔬菜供求信息增加新渠道，13省区与北京对接保供 新京报快讯（记者 陈琳）今天下午，北京市召开新冠肺炎疫情防控第135场例行新闻发布会。北京市商务局二级巡视员王洪存介绍，北京蔬菜供求信息增加新渠道。按照国务院新冠肺炎疫情联防联控机制生活物资保障组要求，北京市与内蒙古、云南等13个省区建立了工作对接机制。新开发的“蔬菜进京分省对接信息平台”已正式上线运行。开通第二日，平台认证用户数量325家，访问量1.5万人次。 责任编辑：郑亚鹏 
北京一瓦工不佩戴口罩疑被感染新冠|2020年06月28日 17:00|原标题：北京一瓦工不佩戴口罩疑被感染新冠 28日，北京市疾病预防控制中心副主任庞星火在发布会上补充通报了北京6月26日确诊的1例病例具体情况。 病例1，男，49岁，住址为大兴区西红门（地区）寿保庄村，瓦工。6月8日返京，在租住地与其他租户共用卫生间，平时在楼内与其他租户见面时不佩戴口罩。6月10日至24日，每日往返于施工工地与租住地，工作期间也不佩戴口罩，6月20日社区组织核酸检测采集咽拭子，结果为阴性。6月21日出现乏力、咳痰等症状，未服药，未就医。6月26日核酸检测为阳性，由120救护车转运至大兴区人民医院就诊，当日确诊。临床分型为轻型。（陈杭 上官云） 责任编辑：刘德宾 SN222 
香港新增2例新冠肺炎确诊病例，累计确诊1199例|2020年06月28日 16:41|原标题：香港新增2例新冠肺炎确诊病例，累计确诊1199例 据香港“东网”28日报道，香港特区政府卫生署卫生防护中心今日（28日）公布，截至下午4时，香港新增2例新冠肺炎输入病例，包括一名12岁女童及一名38岁男子，两人均于27日从印度返港。截至目前，香港已累计确诊1199例。 报道称，新增2名确诊患者自2月5日起到访印度，于27日返港，男患者出现头痛的病症，抵达香港机场后转至亚洲国际博览馆，接受检疫后确诊并送院治疗。 “东网”称，香港已连续第15天没有本地确诊病例。 责任编辑：祝加贝 
北京公布13例确诊病例活动轨迹|2020年06月28日 16:37|原标题：北京公布13例确诊病例活动轨迹 新京报快讯（记者 陈琳）在今天（6月28日）下午举行的北京市新冠肺炎疫情防控工作新闻发布会上，北京市疾病预防控制中心副主任庞星火就北京市6月27日新增确诊病例的相关情况进行通报。 庞星火介绍，6月27日0时至24时，北京市新增确诊病例14例，其中男性6例，女性8例；平均年龄40岁，最小22岁，最大63岁；按居住地划分，丰台区10例，大兴区4例。已完成12例确诊病例流行病学调查，两例正在调查中。 确诊病例具体情况如下： 病例1，女，31岁，住址为丰台区花乡（地区）天骄俊园，新发地市场个体经营人员。6月12日由专车转运至集中隔离点进行集中医学观察。6月26日核酸检测结果为阳性，由120救护车转运至丰台中西医结合医院就诊，6月27日确诊，临床分型为普通型。 病例2，男，47岁，住址为丰台区花乡（地区）经营者乐园，新发地市场个体经营人员。6月13日由专车转运至集中隔离点进行集中医学观察，6月26日出现咽痛等症状，核酸检测结果为阳性。6月27日由120救护车转运至丰台中西医结合医院就诊，当日确诊，临床分型为普通型。 病例3，女，63岁，住址为丰台区花乡（地区）宜兰园，新发地市场保洁员。6月12日晚由专车转运至集中隔离点进行集中医学观察，6月27日核酸检测结果为阳性，由120救护车转运至丰台中西医结合医院就诊，当日确诊，临床分型为普通型。 病例4，女，53岁，住址为丰台区卢沟桥（地区）大屯村，新发地北水嘉伦市场便民超市A厅老郑州烩面馆员工。6月21日被确定为确诊病例的密切接触者，当日出现头痛、胸闷等症状。6月22日由专车转运至集中隔离点进行集中医学观察。6月23日核酸检测结果为阳性，由120救护车转运至丰台中西医结合医院就诊。6月25日由120救护车转运至地坛医院，6月27日确诊，临床分型为轻型。 病例5，男，49岁，住址为丰台区花乡（地区）天骄俊园，新发地市场个体经营人员。6月13日由专车转运至集中隔离点进行集中医学观察，6月26日出现症状，6月27日核酸检测结果为阳性，由120救护车转运至丰台中西医结合医院就诊，当日确诊，临床分型为普通型。 病例6，女，52岁，住址为丰台区花乡（地区）天伦锦城，新发地市场个体经营人员，6月16日由专车转运至集中隔离点进行集中医学观察，6月24日出现胸闷等症状，体温正常，6月27日核酸检测结果为阳性，由120救护车转至丰台中西医结合医院就诊，当日确诊，临床分型为普通型。 病例7，男，22岁，住址为丰台区花乡（地区）新发地批发市场，新发地市场个体商户雇员。自述工作时每日活动比较固定，售卖并帮顾客提送货物。6月15日核酸检测结果为阳性，当日由120救护车转运至丰台中西医结合医院就诊，自述近期无不适症状，6月16日诊断为无症状感染者，由120救护车转运至地坛医院。6月25日出现症状，6月27日确诊，临床分型为轻型。 病例8，女，43岁，住址为丰台区花乡（地区）天伦锦城，新发地市场个体经营人员。6月10日开始出现乏力、发热、咳嗽等症状，自行到诊所就诊并服药、输液治疗，体温恢复正常，但有咽痒等症状。6月13日至16日居家未外出。6月16日由专车转运至集中隔离点进行集中医学观察。6月26日核酸检测结果为阳性。6月27日由120救护车转运至丰台中西医结合医院就诊，当日确诊，临床分型为普通型。 病例9，男，42岁，住址为大兴区高米店街道兴华大街二段，新发地市场个体经营者。6月12日由专车转运至集中隔离点进行集中医学观察，6月26日核酸检测结果为阳性。6月27日由120救护车转运至丰台中西医结合医院就诊，当日确诊，临床分型为普通型。 病例10，女，39岁，住址为大兴区魏善庄镇北京密码，海淀区定慧谢小厨餐厅服务员。6月24日被判定为确诊病例的密切接触者，由专车转运至集中隔离点进行集中医学观察。6月25日出现全身酸痛等症状。6月26日由120救护车转运至大兴区人民医院就诊，核酸检测结果为阳性，6月27日确诊，临床分型为轻型。 病例11，男，26岁，住址为大兴区西红门（地区）长盛街一村，为货车司机兼送货员，6月13日新发地市场关闭前每日从市场内运送货物至大兴区黄村镇芦城工业园区，6月13日之后，每日从金鹰包装厂东侧新发地中转站运送货物至大兴区黄村镇芦城工业园区，先后居住在金色港湾商务会馆和金洲御府宾馆。6月25日出现头痛等症状，未就诊。6月26日社区组织核酸检测采集咽拭子，结果为阳性，6月27日由120救护车转运至大兴区人民医院就诊，当日确诊，临床分型为普通型。 病例12，女，25岁，住址为大兴区西红门（地区）寿保庄村，北京大通远鑫汽车修理有限公司车险销售员，在北京车谷汽车销售有限公司办公。6月20日至23日上班或在家休息，曾在村内超市购物。6月24日出现流涕等症状，未服药、未就医。6月26日被确定为确诊病例的密切接触者，由专车转运至集中隔离点进行集中医学观察；当日核酸检测结果为阳性，由120救护车转运至大兴区人民医院就诊。6月27日确诊，临床分型为普通型。 另外，补充通报6月26日确诊的1例病例情况： 病例1，男，49岁，住址为大兴区西红门（地区）寿保庄村，瓦工。6月8日返京，在租住地与其他租户共用卫生间，平时在楼内与其他租户见面时不佩戴口罩。6月10日至24日，每日往返于施工工地与租住地，工作期间也不佩戴口罩，6月20日社区组织核酸检测采集咽拭子，结果为阴性。6月21日出现乏力、咳痰等症状，未服药，未就医。6月26日核酸检测为阳性，由120救护车转运至大兴区人民医院就诊，当日确诊。临床分型为轻型。 责任编辑：郑亚鹏 
北京一确诊病例曾住两家宾馆|2020年06月28日 16:36|原标题：北京一确诊病例曾住两家宾馆 北京疫情防控工作发布会通报：病例11，男，26岁，为货车司机兼送货员。13日新发地市场关闭前，每日从市场内运送货物至大兴区黄村镇芦城工业园区；13日之后，先后居住在金色港湾商务会馆和金洲御府宾馆；25日出现头痛等症状，未就诊；26日社区组织核酸检测采集咽拭子，结果为阳性；27日确诊。 责任编辑：祝加贝 
截至27日24时，北京丰台区累计确诊212例|2020年06月28日 16:32|原标题：截至27日24时，丰台区累计确诊212例 今天下午，北京市新型冠状病毒肺炎疫情防控工作第135场新闻发布会上，丰台区委副书记、区政府代区长初军威介绍了丰台区隔离点的有关情况。 初军威介绍，新发地市场聚集性疫情发生以来，在市委市政府的坚强领导下，我区及时采取措施，对相关高风险人群进行了快速有效的集中隔离，并同步开展核酸检测150万人，做到中高风险人群应检尽检。 自6月13日凌晨3时新发地市场实施封闭管理以来，截至27日24时，丰台区累计确诊212例，无症状感染者18例，疑似3例。在确诊的212个病例中，通过主动就医筛查出8例，占确诊病例的3.77%；密接人员筛查出139例，占确诊病例的65.57%；通过社区核酸检测筛查出65例，占确诊病例的30.66%。集中隔离人员筛查出122例，占确诊病例的57.55%。 从近期确诊病例的情况看，丰台区病例主要发现在集中隔离点。特别是26日、27日我区新增的25例确诊病例均来源于集中隔离点，其中美高美酒店集中隔离点确诊23例。通过对美高美酒店病例的溯源分析，病例来源全部为新发地牛羊肉综合大楼地下一层的从业人员。截至目前，在筛查病例中，牛羊肉综合大楼地下一层从业人员确诊102例，占我区确诊病例的48.11%。针对上述情况，我区正在组织对集中隔离点人员进行全覆盖核酸和血清抗体检测。 经专家评估，牛羊肉综合大楼相关人员为疫情极高风险人群。本着对人民群众身体健康安全负责的态度，基于疫情防控的工作需要，现决定对牛羊肉综合大楼相关集中隔离人员在原来14天的基础上再延长集中医学观察14天。 下一步，我们将全面开展隔离点大检查，查缺补漏，发现问题及时纠正，确保隔离观察措施严谨、严细落实到位。持续严格落实“四早”要求，加强对集中隔离点人员的健康监测，规范起居行为，做好心理疏导，并在观察期解除前对隔离人员再次进行核酸和血清抗体检测。同时，加强隔离点设施设备的检查排查，对隔离点外公共场所和环境严格清洁消杀，确保万无一失。请相关隔离人员予以理解配合，也请周边居民不必恐慌，坚持勤洗手、戴口罩、不聚集，践行健康生活方式。让我们共同携手，共渡难关，合力打赢疫情防控攻坚战！ 责任编辑：郑亚鹏 
北京通报27日新冠肺炎新增确诊病例详情|2020年06月28日 16:15|原标题：北京通报27日新冠肺炎新增确诊病例详情 6月28日下午，北京召开新冠肺炎疫情防控第135场例行新闻发布会。北京市疾病预防控制中心副主任庞星火在会上就北京市6月27日新增确诊病例的相关情况进行通报。 庞星火介绍，6月27日0时至24时，新增确诊病例14例，其中男性6例，女性8例；平均年龄40岁，最小22岁，最大63岁；按居住地划分，丰台区10例，大兴区4例。已完成12例确诊病例流行病学调查，两例正在调查中。 病例1，女，31岁，住址为丰台区花乡天骄俊园，新发地市场个体经营人员，6月12日由专车转运至集中隔离点进行集中医学观察，6月26日核酸检测结果为阳性，由120救护车转运至丰台中西医结合医院就诊，6月27日确诊，临床分型为普通型。 病例2，男，47岁，住址为丰台区花乡经营者乐园，新发地市场个体经营人员，6月13日由专车转运至集中隔离点进行集中医学观察，6月26日出现咽痛等症状，核酸检测结果为阳性，6月27日由120救护车转运至丰台中西医结合医院就诊，当日确诊，临床分型为普通型。 病例3，女，63岁，住址为丰台区花乡宜兰园，新发地市场保洁员，6月12日晚由专车转运至集中隔离点进行集中医学观察，6月27日核酸检测结果为阳性，由120救护车转运至中西医结合医院就诊，当日确诊，临床分型为普通型。 病例4，女，53岁，住址为丰台区卢沟桥大屯村，新发地北水嘉伦市场便民超市A厅，老郑州烩面馆员工，6月21日被确诊为确诊病例密切接触者，当日出现头痛胸闷等症状，6月22日由专车转运至集中隔离点进行集中医学观察，6月23日核酸检测结果为阳性，由120救护车转运至丰台中西医结合医院就诊，6月25日由120救护车转运至地坛医院，6月27日确诊，临床分型为轻型。 病例5，男，49岁，住址为丰台区花乡天骄俊园，新发地市场个体经营人员，6月13日由专车转运至集中隔离点进行集中医学观察，6月26日出现症状，6月27日核酸检测结果为阳性，由120救护车转运至丰台中西医结合医院，当日确诊，临床分型为普通型。 病例6，女，52岁，住址为丰台区花乡天伦锦城，新发地市场个体经营人员，6月16日由专车转运至集中隔离点进行集中医学观察，6月24日出现胸闷等症状，体温正常，6月27日核酸检测结果为阳性，由120救护车转运至丰台中西医结合医院就诊，当日确诊，临床分型为普通型。 病例7，男，22岁，住址为丰台区花乡，新发地批发市场，新发地市场个体商户雇员，自述工作时每日活动固定，售卖并将顾客体送货物，6月15日核酸检测结果为阳性，当日由120救护车转运至丰台中西医结合医院就诊，自述近期无不适症状，6月16日诊断为无症状感染者，由120救护车转运至地坛医院，6月25日出现症状，6月27日确诊，临床分型为轻型。 病例8，女，43岁，住址为丰台区花乡天伦锦城，新发地市场个体经营人员，6月10日开始出现乏力、发热、咳嗽等症状，自行到诊所就诊并服药，输液治疗，体温恢复正常，但有咽痒等症状，6月13日至16日居家未外出，6月16日由专车转运至集中隔离点进行集中医学观察，6月26日核酸检测结果为阳性，6月27日由120救护车转运至丰台中西医结合医院就诊，当日确诊，临床分型为普通型。 病例9，男，42岁，住址为大兴区高米店街道新华大街二栋，新发地市场个体经营人员，6月12日由专车转运至集中隔离点进行集中医学观察，6月26日核酸检测结果为阳性，6月27日由120救护车转运至丰台中西医结合医院就诊，当日确诊，临床分型为普通型。 病例10，女，39岁，住址为大兴区魏善庄镇北京密码，海淀区谢小厨餐厅服务员，6月24日被判定为确诊病例的密切接触者，由专车转运至集中隔离点进行集中医学观察，6月25日出现全身酸痛等症状，6月26日由120救护车转运至大兴区人民医院就诊，核酸检测结果为阳性，6月27日确诊，临床分型为轻型。 病例11，男，26岁，住址为大兴区西红门长胜街一村，为货车司机兼送货员，6月13日新发地市场关闭前，每日从市场内运送货物至大兴区黄村镇潞城工业园区，6月13日之后，每日从金属包装厂东侧新发地中转站运送货物到大兴区黄村镇潞城工业园区，先后居住在金色港湾商务会馆和锦州宾馆，6月25日出现头痛等症状，未就诊，6月26日社区组织核酸检测采集咽拭子结果为阳性，6月27日由120救护车转运至大兴区人民医院就诊，当日确诊，临床分型为普通型。 病例12，女，25岁，住址为大兴区西红门寿包庄村，在北京汽车销售有限公司办公，6月20日至23日上班或在家休息，曾在村内超市购物，6月24日出现流鼻涕等症状，未服药、未就医，6月26日被确定为确诊病例的密切接触者，由专车转运至集中隔离点进行集中医学观察，当日核酸检测结果为阳性，由120救护车转运至大兴区人民医院就诊，6月27日确诊，临床分型为普通型。 病例1，男，49岁，住址为大兴区西红门，瓦工，6月8日返京，在租住地与其他租户共用卫生间，平时在楼内与其他租户见面时不戴口罩，6月10日至24日，每日往返于施工工地与租住地，工作期间也不佩戴口罩，6月20日社区组织核酸检测，采集咽拭子，结果为阴性，6月21日出现乏力、咳嗽等症状，未服药、未就医，6月26日核酸检测为阳性，由120救护车转运至大兴区人民医院就诊，当日确诊，临床分型为轻型。 责任编辑：刘德宾 SN222 
受疫情影响 端午小长假北京新房成交同比下降17%|2020年06月28日 13:46|原标题：受疫情影响 端午小长假北京新房成交同比下降17% 新京报快讯（记者 张晓兰）6月28日，贝壳研究院发布端午节期间北京新房、二手房和租赁市场数据。 新房市场方面，数据显示，2020年端午小长假期间，北京新建商品住宅成交2.17万平方米，同比2019年端午节三天成交量下降17.4%。 对此，贝壳研究院高级分析师潘浩认为，成交量下滑原因主要在于，受疫情影响，尤其前期新盘集中供应的大兴、丰台，多个区域属于中高风险区，影响认购客户转签约的速度。此外，5月以来北京楼市集中放量，已经消耗部分客户量，使得今年端午节在疫情影响下更显得需求量不足。长期来看，此次疫情防控仍将对市场产生影响，成交继续维持低位水平。 二手房市场方面，贝壳研究院数据显示，北京端午节期间日均成交量相比去年同期减少1.2%，环比端午节前一周周末日均成交量减少13.1%。此外，租赁市场方面，北京端午节期间的日均成交量相比上周末下降16.7%。 业内认为，受疫情影响，北京二手房市场成交量和租赁市场交易量近期都呈现持续回落趋势，同时，往年“毕业季”的租赁旺季暂时还未显现。 新京报记者 张晓兰 责任编辑：杨杰 
北京启用三大果蔬进京中转调运站，已调运蔬菜超万吨|2020年06月28日 13:36|原标题：北京启用三大果蔬进京中转调运站，已调运蔬菜超万吨 北京新发地批发市场受疫情影响近日暂时休市，蔬菜水果供应如何保障？ 今天，北京市发改委相关负责人介绍， 为保障北京市场供应，国务院联防联控机制生活物资保障组紧急部署，国家发展改革委会同北京、河北迅速研究决定设立河北高碑店、平谷马坊、廊坊万庄三个蔬菜中转调运站，目前已经全面启用，全天候24小时为外省市进京的蔬菜水果提供中转调运服务，保证进京蔬菜、水果等生活物资物流运输畅通，保障北京市场供应。三大中转站启用至今已经累计调运蔬菜超过1.1万吨。 平谷马坊蔬菜中转调运站是三大中转站里唯一设在北京境内的，位于平谷马坊物流基地内，与多条高速公路相连，交通便利，包括2万余平方米场地和5000平方米仓储设施，设立车辆出入口、消杀区、周转区、临时存储区、封闭管理区及防疫物资区等。 “外地司机进入中转站后，可以做到全程不下车，蔬菜卸货有专人负责。”负责马坊中转站运营的首创集团北京农投公司负责人介绍，为了司机离京返乡方便，按照自愿原则为司机提供免费核酸检测、临时休息服务。这些休息区都是隔开的，即使临时卫生间也都会做到使用后反复消毒。 目前已有36位外地司机在此进行了核酸检测，18人拿到了结果，全部为阴性。目前核酸检测结果大约12小时后可以出具，司机即使离开北京也可以通过微信小程序获知结果，不需要在中转站等待。 记者获悉，20日晚8点半，市发展改革委、市卫生健康委协调市疾控中心专家前往平谷马坊中转调运站，重点针对卫生消杀、防疫措施、区域划分设置等进行实地调研指导，现场解决司乘人员封闭管理等问题。第二天，平谷马坊蔬菜中转调运站完成全流程测试，具备正式投用条件。“北京平谷马坊进京蔬果中转站”微信公众号也已上线，实现对供需信息的有效公开，服务供需双方对接。 据悉，三大中转站启用至今已经累计调运蔬菜超过1.1万吨。其中，高碑店中转站18-27日累计调运蔬菜进京10303吨；马坊中转站21-27日累计调运蔬菜进京1602吨；万庄中转站刚刚启用，25-27日累计调运蔬菜进京5吨。 三个中转调运站中，规模最大的、也是最早启用的是河北高碑店蔬菜中转调运站，位于河北高碑店新发地农副产品物流园，距离京冀界约30公里。蔬菜中转站占地面积11.84万平方米，内设消杀、中转、临储、综合配套4大功能区，配备称重地磅、叉车、地牛、托盘、中转箱、分拣加工仓等设备设施。 廊坊万庄蔬菜中转站位于京台高速万庄服务区，距离京冀界约1.7公里。万庄中转站主要利用万庄服务区东区，通过设置消杀区、周转区、封闭隔离区，实现外地进京生活物资运输车辆中转调运。 廊坊市发布万庄中转站25日零时投入运行。按照无接触中转、便捷高效的原则，采取周密防护、彻底消杀和封闭管理等措施，避免进京司乘人员返程后隔离，保障河北、河南、山东等省份从北京东南方向进京的蔬菜、水果等生活物资实现中转调运。 老百姓菜篮子的背后是多省市联保机制。目前，国家发改委相关司局“包省负责”，协调内蒙古、辽宁、山东等13省，梳理本地区输京大型骨干蔬果流通企业和货源，加强与北京方面的对接，增加对北京市场供应。 市发展改革委、市商务局也迅速组建专项工作组，建立了进京蔬菜产销分省对接工作机制，内蒙古、辽宁、山东等13个支援本市蔬菜省份积极落实国务院联防联控机制生活物资保障组工作要求，成立工作专班，协调组织货源，全力支持北京蔬菜供应。据介绍，各相关省市非常重视保障首都供应工作，表示经过摸排，蔬菜、水果货源充足、供应稳定，不少企业有能力、有意愿保障北京蔬菜、水果市场供应。 市发改委相关负责人介绍，目前北京蔬菜、水果购销秩序逐步恢复，货源供应较为充足，市场运行总体有序。 此外，为进一步落实进京蔬菜产销分省对接工作机制，畅通蔬菜供需信息渠道，蔬菜进京分省对接信息平台于24日上线试运行。原来通过有形商品市场进行供需撮合的功能被平移到数字化平台上，提高供需两端对接效率，有利于更加精准保障北京市场供应，同时节约大量成本。截至昨天16时，平台累计认证290家用户，累计发布60条供求信息，其中27日当天新发布11条供给信息（累计47条），5条求购信息（累计13条）。 责任编辑：杨杰 
山东青岛新增1例境外输入无症状感染者 详情公布|2020年06月28日 11:48|原标题：青岛新增1例境外输入无症状感染者 详情公布 中新网6月28日电 据青岛卫健委网站消息，6月27日0—24时，青岛无新增新型冠状病毒肺炎确诊病例，新增境外输入无症状感染者1例。 新增境外输入无症状感染者李某某，男，26岁，中国籍，北京人，在美国留学。由美国旧金山经韩国仁川转乘CA124航班于6月26日抵达青岛流亭机场，海关入境检疫采样后，李某某和同机抵青人员均由专车送至集中隔离点进行医学观察。6月27日李某某海关入境核酸检测阳性，当日市疾控中心核酸检测阳性，专家组确定为无症状感染者，转至定点医院隔离观察治疗。 截至6月27日24时，青岛累计确诊本地新型冠状病毒肺炎病例65例，其中治愈出院64例，死亡1例；境外输入病例17例，均已治愈出院；无症状感染者7例，其中6例已出院，现有1例（美国输入）在定点医疗机构隔离观察治疗，其密切接触者均按照确诊病例密切接触者管理要求实施集中隔离医学观察。 责任编辑：张迪 
北京平谷1333名居家隔离人员核酸检测结果阴性|2020年06月28日 11:41|原标题：平谷1333名居家隔离人员核酸检测结果阴性 新京报快讯（记者 陈琳）截至6月28日8时，平谷区未出现确诊病例。记者从平谷区疾控中心了解到，将持续对重点场所和人群进行监测。6月27日，全区共采集居家隔离人员咽拭子1333人，新冠病毒核酸检测结果均为阴性。 6月26日，全区采集重点行业人员咽拭子2075人进行检测，新冠病毒核酸检测结果均为阴性。6月27日，全区共采集居家隔离人员咽拭子1333人，新冠病毒核酸检测结果均为阴性；重点行业人员咽拭子采集3615人，其中1575人进行了核酸检测，新冠病毒核酸检测结果均为阴性，其余2040人，目前正在检测中。 6月27日，区疾控中心对千喜鹤食品有限公司采集外环境样本6人，新冠病毒核酸检测结果均为阴性；采集马坊物流司乘人员咽拭子17人，新冠病毒核酸检测结果均为阴性。 另外，6月27日新增密切接触者0人，解除医学观察4人，现有密切接触者1人，正在集中医学观察。 截至6月28日8时，现居家医学观察1752人，均已由属地落实人防、技防措施。平谷区疾控中心提示，目前，平谷区虽未出现确诊病例，但市民仍要做好个人防护，也不必过于恐慌。根据市疾控中心重点防控措施指引，建议大家要始终坚持六项重点防控举措：坚持常戴口罩，保持社交距离，保持手卫生，配合做好健康监测，做好饮食卫生，做好日常清洁和消毒。 新京报记者 陈琳 责任编辑：杨杰 
6月27日海南无新增确诊 尚有117人接受集中医学观察|2020年06月28日 11:35|原标题：海南尚有117人接受集中医学观察 6月28日，海南省卫健委通报，6月27日0-24时，海南省报告新型冠状病毒肺炎无新增确诊病例和无症状感染者。 截至6月27日24时，海南省累计报告新型冠状病毒肺炎确诊病例171例，其中境外输入2例。死亡病例6例，出院病例165例。确诊病例中，海口39例、三亚57例、儋州15例、文昌3例、琼海6例、万宁13例、东方3例、澄迈9例、临高6例、昌江7例、陵水4例、定安3例、保亭3例、乐东2例、琼中1例。 截至6月27日24时，追踪到密切接触者7057人，已解除医学观察6940人，尚有117人正在接受集中医学观察。 截至6月27日24时，海南省报告新型冠状病毒无症状感染者38例，其中解除隔离35例，尚在医学观察3例[分别为刚果（金）、英国、俄罗斯输入]。38例无症状感染者中，海口9例、三亚22例、东方2例、陵水1例、万宁1例、琼海1例、乐东1例、定安1例；28例为境内，10例为境外输入[输入国为英国6例、荷兰1例、西班牙1例、刚果（金）1例、俄罗斯1例]。 责任编辑：朱学森 
新冠肺炎等拟纳入妨害传染病防治罪调整范围|2020年06月28日 11:25|原标题：刑法修正案（十一）草案提请审议 将新冠肺炎等纳入妨害传染病防治罪调整范围 中新网北京6月28日电 （梁晓辉 黄钰钦 李京泽）刑法修正案（十一）草案28日提请全国人大常委会审议，草案强化公共卫生刑事法治保障，修改妨害传染病防治罪，将新冠肺炎等依法确定的采取甲类传染病管理措施的传染病，纳入本罪调整范围。 为保护公共卫生安全，总结新冠肺炎疫情防控经验和需要，与野生动物保护法、生物安全法、传染病防治法等法律的修改制定相衔接，拟对刑法作出以下修改补充： 一是，修改妨害传染病防治罪，进一步明确新冠肺炎等依法确定的采取甲类传染病管理措施的传染病，属于本罪调整范围，补充完善构成犯罪的情形，增加规定了拒绝执行人民政府依法提出的预防控制措施，非法出售、运输疫区被污染物品等犯罪行为。 二是，维护国家安全和生物安全，防范生物威胁，与生物安全法衔接，增加规定了三类犯罪行为：非法从事人体基因编辑、克隆胚胎的犯罪；严重危害国家人类遗传资源安全的犯罪；非法处置外来入侵物种的犯罪等。 三是，将以食用为目的非法猎捕、收购、运输、出售除珍贵、濒危野生动物和“三有野生动物”以外的陆生野生动物，情节严重的行为增加规定为犯罪，从源头上防范和控制重大公共卫生安全风险。（完） 责任编辑：张迪 
国家卫健委：全国已进行新冠病毒核酸检测9041万人份|2020年06月28日 10:59|原标题：国家卫健委：全国已进行新冠病毒核酸检测9041万人份 中新网6月28日电 据国家卫健委官方微博消息，目前，全国医疗卫生机构核酸检测能力由3月份的126万人份/日，提升到378万人份/日，提高了200%。截至6月22日，全国医疗卫生机构共进行新冠病毒核酸检测9041万人份。 据介绍，目前，全国医疗卫生机构核酸检测能力较3月份有了明显提升。医疗卫生机构方面，全国开展新冠病毒核酸检测服务的医疗卫生机构数量，由2081家增加至4804家，提高了131%；三级医院由867家上升到2120家，提高了145%；二级医院由343家上升到1350家，提高了294%；疾控机构由631家上升到916家，提高了45%；独立医学实验室由240家上升到418家，提高了74%。 在技术人员方面，从事核酸检测技术人员总数由13960人上升到28541人，提高了104%。检测能力方面，全国医疗卫生机构核酸检测能力由3月份的126万人份/日，提升到378万人份/日，提高了200%。截至6月22日，全国医疗卫生机构共进行新冠病毒核酸检测9041万人份。 责任编辑：张迪 
