2020年美国大选的五大看点|2020年11月03日 23:36|看点4：美国新冠病例直逼1000万例 责任编辑：贾楠 SN245 
新疆喀什查处4起价格违法案件|2020年11月03日 20:58|原标题：新疆喀什查处4起价格违法案件 据“古城喀什”微信公众号11月3日消息，在新冠肺炎疫情防控常态化期间，喀什市市场监督管理局迅速行动，重点对本市蔬菜、瓜果、肉蛋奶、米面油、口罩、消毒杀菌等生活物资和防疫产品进行监督检查。自10月25日以来该局共查处了6起哄抬价格违法案件，有效维护了疫情防控期间的市场秩序，其中10月31日-11月2日查处价格违法案件4起，现将该4起典型案例予以公开曝光，并要求广大经营者引以为戒，严格守法经营。 2020年10月31日，喀什市市场监督管理局接到消费者投诉，称：“喀什市六建家属院院内的卡某粮油店销售的蔬菜价格过高，望我局调查处理。”接到投诉后执法人员立即赶往现场，并对位于喀什市人民西路275号六建家属院院内的喀什市卡某木粮油店进行核实，经检查发现当事人所售西红柿的购进价为4元/公斤，销售价格为7元/公斤，购销差价率达75%；大白菜的购进价为2元/公斤，销售价格为4元/公斤，购销差价率达100%，现场检查时购进的上述蔬菜已销售完毕。执法人员已向全市经营户发布了《疫情期间价格行为提醒告诫书》，当事人在明知相关规定的情况下，所售商品购销差价率仍超过35%。 2020年10月31日，喀什市市场监督管理局执法人员在喀什市铁路小区开展生活物资价格监管专项检查期间，发现该小区喀什市半某果蔬店内的西红柿购进价为4元/公斤，销售价为7元/公斤，购销差价率达75%，而油麦菜的购进价为2元/公斤，销售价为7元/公斤，购销差价率高达250%，由于当事人未能履行食品进货查验及记录制度，无法提供上述蔬菜之前的购销记录，无法获取当事人蔬菜参照原价。当事人所售的两种蔬菜（西红柿、油麦菜）购销差价率均超过35%。 2020年10月31日，喀什市市场监督管理局行政执法人员根据市发改委推送的市场蔬菜价格，对位于喀什市铁路小区内的喀什市阿某粮油蔬菜店进行检查发现，当事人所售的西红柿购进价为4元/每公斤，销售价为7元/每公斤，购销差价率达75%，黄瓜购进价为4元/每公斤，销售价为8元/每公斤，购销差价率达100%，由于当事人未能履行食品进货查验制度及记录制度，无法提供上述蔬菜之前的购销记录，无法获取当事人蔬菜参照原价。当事人所售的两种蔬菜购销差价率均超过35%。 近日，喀什市市场监督管理局执法人员在喀什市27号小区开展生活物资价格监管专项检查期间，发现该小区内的喀什市色某日用百货店销售的西红柿购进价为4元/每公斤，销售价为7元/每公斤，购销差价率达75%；黄瓜购进价为4元/每公斤，销售价为8元/每公斤，购销差价率达100%，由于当事人未能履行食品进货查验制度及记录制度，无法提供上述蔬菜之前的购销记录，无法获取当事人蔬菜参照原价。当事人所售的两种蔬菜购销差价率均超过35%。 上述4起案件中，涉案当事人在疫情期间高价销售蔬菜属于哄抬价格，推动商品价格过快、过高上涨的违法行为，均违反了《中华人民共和国价格法》、《价格违法行为行政处罚规定》及《关于新型冠状病毒感染肺炎疫情防控期间认定哄抬价格违法行为有关问题的通知》“所售商品购销差价率超过35%的，由各级市场监管部门认定为哄抬价格违法行为。”等相关法律的规定，执法人员当场对上述当事人进行了批评教育，同时责令立即整改，确保疫情防控期间物价稳定，并依据相关法律法规对当事人哄抬价格的违法行为进行立案调查，将于近期作出行政处罚决定。 责任编辑：武晓东 SN241 
陕西大荔急寻一抗体阳性检测者密接者 活动轨迹公布|2020年11月03日 18:40|原标题：陕西大荔急寻一抗体阳性检测者密接者，活动轨迹公布 广大居民朋友： 张某，男，大荔县人，系新冠抗体阳性检测者的密切接触者。 2020年10月31日10时30分，张某从许庄镇六师十字路口乘坐黄色华州区至合阳县的中巴车（陕ED8031）前往合阳县。 11时45分，张某在合阳县汽车站转乘韩城市的小巴车，于13时到达韩城市，随后被公司专车接至延安市黄龙县白马滩镇。 请与张某同时段在同一空间出现过的人员，务必通过电话向本人所在地乡镇政府或单位报告登记，请服从当地或本单位的防控安排和要求。 大荔县热线电话：0913-3256233 大荔县应对新型冠状病毒感染肺炎疫情工作领导小组办公室 2020年11月3日 来源：大荔宣传微信公众号 责任编辑：武晓东 SN241 
香港新增9例新冠肺炎确诊病例|2020年11月03日 17:33|原标题：香港新增9例新冠肺炎确诊病例 香港特区政府卫生署卫生防护中心3日公布，截至当日零时零分，香港新增9例新冠肺炎确诊病例，当中6例为输入案例，3例为本地案例，其中1例源头不明。香港累计报告新冠肺炎确诊病例5345例。 卫生署卫生防护中心发布消息，截至当日上午9时，过去24小时共有7名确诊病人出院，至今共有5109名确诊或疑似病人康复出院。现在共有93名确诊病人仍在留医，其中9人情况危殆。（总台记者 周伟琪 金东 叶丽丽） 责任编辑：张申 SN235 
北京：不建议进行国际旅行|2020年11月03日 16:21|原标题：北京：不建议进行国际旅行 11月3日，北京召开疫情防控第174场新闻发布会。北京市疾控中心副主任庞星火提醒，目前国外疫情仍处于高发态势，境外工作、留学的人员，应关注当地疫情防控信息，工作生活中做好个人防护，保持安全社交距离，不聚集，减少外出。出现不适及时就医，不建议进行国际旅行。境外人员乘坐国际航班回国前应认真了解有关国家的核酸、抗体检测要求，按照相关规定做好检测，途中要做好个人防护，入境时应严格依法实施健康申报，配合闭环管理、集中医学观察、核酸检测等防控措施，医学观察期间出现任何身体异常，均要及时报告，做到早发现、早报告、早治疗，减少传染病传播风险。市民朋友继续坚持做到非必要不出境、不去有疫情的国家或地区。日常做好科学佩戴口罩、常通风、勤洗手、安全社交距离等个人防护措施，如有身体不适做好防护及时就医，不带病上班上学。 责任编辑：武晓东 SN241 
新增境外输入2例确诊1例无症状感染者 北京通报详情|2020年11月03日 16:20|原标题：新增境外输入2例确诊1例无症状感染者，北京通报详情 今天下午，北京市新型冠状病毒肺炎疫情防控工作第174场新闻发布会上，北京市疾病预防控制中心副主任庞星火通报了北京市新增2例境外输入新冠肺炎确诊病例和1例无症状感染者相关情况。 11月2日0时至24时，我市新增2例境外输入新冠肺炎确诊病例和1例无症状感染者，其中1例为10月27日通报的无症状感染者转为确诊病例。现将具体情况通报如下： 确诊病例1，某男，30岁，江西籍，在巴基斯坦工作，10月29日由巴基斯坦乘坐CA946航班于30日抵京。海关进行健康筛查并采样后，经闭环管理运送至隔离观察酒店，当日海关反馈核酸检测结果为阴性。11月1日对其再进行核酸检测，结果呈阳性，2日由120负压救护车转运至地坛医院。综合流行病学史、临床表现、实验室检测和影像学检查等结果，诊断为确诊病例，临床分型为普通型。 确诊病例2，某男，27岁，甘肃籍，巴基斯坦留学生，相关情况已于10月27日作为无症状感染者进行通报。10月31日对其复查核酸检测结果为阳性，11月2日复查胸部CT提示右下肺新发炎症病灶，综合流行病学史、临床表现、实验室检测和影像学检查等结果，诊断为确诊病例，临床分型为普通型。 已对上述2例确诊病例同航班及同乘车的密切接触者落实集中隔离医学观察措施，目前无异常报告；对其居住的集中隔离酒店进行消毒。 无症状感染者，某男，36岁，北京籍，在匈牙利生活，10月31日由奥地利乘坐CA842航班于11月1日抵京，海关进行健康筛查并采样后，经闭环管理运送至隔离观察酒店，当日海关反馈检测结果为阳性，11月2日由120负压救护车转运至地坛医院。患者无异常症状。综合流行病学史、临床表现、实验室检测和影像学检查等结果，诊断为无症状感染者。已对其同航班及同乘车的密切接触者落实集中隔离医学观察措施，目前无异常报告；对上述无症状感染者居住的集中隔离酒店进行消毒。 责任编辑：武晓东 SN241 
北京：做好诺如病毒等疾病预防和各类考试防疫工作|2020年11月03日 16:16|原标题：北京：做好诺如病毒等疾病预防和各类考试防疫工作 今天下午，北京市新型冠状病毒肺炎疫情防控工作第174场新闻发布会上，北京市委宣传部副部长、市政府新闻办主任、市政府新闻发言人徐和建介绍，要抓好全市各类学校疫情防控和考试防疫工作。做好诺如病毒等疾病预防和各类考试防疫工作，保障师生安全健康。全市广大考生要理解、支持、配合防疫政策，与教育部门和考试部门携手，共同确保考试平安顺利完成。2020年下半年北京市中小学教师资格考试笔试于10月31日（上周六）平稳顺利完成，所有考生按照既定工作方案，配合核酸检测等防疫要求，顺利参加考试；各考点精心组织、认真施考；考试期间疫情防控工作到位，严格落实考点各项措施，确保了广大考生和工作人员的健康与安全。 责任编辑：武晓东 SN241 
北京：进一步完善全国口岸冷链食品清关进京措施|2020年11月03日 16:15|原标题：北京：进一步完善全国口岸冷链食品清关进京措施 今天下午，北京市新型冠状病毒肺炎疫情防控工作第174场新闻发布会上，北京市委宣传部副部长、市政府新闻办主任、市政府新闻发言人徐和建表示，要继续做好直航北京国际航班管控，从严从紧落实各项远端防控措施。强化进口冷链食品监管，发挥冷链食品追溯平台作用，督促引导相关生产经营单位严格落实主体责任，确保进口冷链食品渠道清晰、全部可追溯。进一步完善全国口岸冷链食品清关进京措施。持续做好菜场、冷库等重点场所环境和人员核酸检测。 责任编辑：武晓东 SN241 
北京一周前通报的一例境外输入无症状感染者转为确诊|2020年11月03日 16:11|原标题：北京一周前通报的一例境外输入无症状感染者转为确诊 今天下午，北京市新型冠状病毒肺炎疫情防控工作第174场新闻发布会上，北京市疾病预防控制中心副主任庞星火介绍，11月2日0时至24时，北京市新增报告2例境外输入确诊病例和1例无症状感染者。其中一例为10月27日通报的无症状感染者转为确诊病例。 责任编辑：武晓东 SN241 
北京：持续做好菜场、冷库等重点场所人员核酸检测|2020年11月03日 16:09|原标题：北京：持续做好菜场、冷库等重点场所人员核酸检测 来源：北京头条 11月3日，北京市第174场新冠肺炎疫情防控工作新闻发布会召开，北青-北京头条记者从现场获悉，北京市委宣传部副部长徐和建介绍，要继续做好直航北京国际航班管控，从严从紧落实各项远端防控措施。同时持续做好菜场、冷库等重点场所环境和人员核酸检测。 责任编辑：武晓东 SN241 
北京：严格国内中高风险地区人员进京管控|2020年11月03日 16:07|原标题：北京：严格国内中高风险地区人员进京管控 来源：北京头条 11月3日，第174场北京市新冠肺炎疫情防控工作新闻发布会召开，北青-北京头条记者从现场获悉，北京市委宣传部副部长徐和建介绍，11月2日0时至24时，北京市新增报告2例境外输入确诊病例和1例无症状感染者。 徐和建表示，北京已经连续88天无新增报告本地确诊病例，北京疫情防控形势总体持续稳定向好。要毫不放松抓好疫情防控，时刻保持戒备状态，持续抓好秋冬季常态化疫情防控。严格国内中高风险地区人员进京管控，继续做好直航北京国际航班管控。 文/北青-北京头条记者 李泽伟 解丽 责任编辑：武晓东 SN241 
北京已经连续88天无新增报告本地确诊病例|2020年11月03日 16:04|原标题：北京已经连续88天无新增报告本地确诊病例 今天下午，北京市新型冠状病毒肺炎疫情防控工作第174场新闻发布会上，北京市委宣传部副部长、市政府新闻办主任、市政府新闻发言人徐和建介绍，11月2日0时至24时，无新增报告本地确诊病例、疑似病例和无症状感染者；新增报告2例境外输入确诊病例和1例无症状感染者。 北京已经连续88天无新增报告本地确诊病例，首都疫情防控形势总体持续稳定向好。 责任编辑：武晓东 SN241 
外交部：中方将推动中国-东盟关系再上新台阶|2020年11月03日 15:57|原标题：外交部：中方将推动中国-东盟关系再上新台阶 11月3日外交部发言人汪文斌主持例行记者会，有记者提问，我们注意到新冠肺炎疫情发生以来，中国-东盟交往互动依然密切，“中国东盟关系雅加达论坛”刚刚举行了今年第三场活动，而在本月底，第十七届中国-东盟博览会、中国-东盟商务与投资峰会将在广西南宁举行。你如何看待中国东盟合作前景？ 汪文斌表示，中国与东盟国家是山水相连的友好邻邦，新冠肺炎疫情没有阻止中国-东盟交往合作，双方关系在逆境中进一步紧密和深化。习近平主席和多位东盟国家领导人通话，双方举行了中国-东盟关于新冠肺炎问题特别外长会，共同引领地区抗疫合作。中方与东盟多国建立了人员往来“快捷通道”和物资流通“绿色通道”，加快推进复工复产，稳步高质量推进“一带一路”建设，为稳定地区产业链供应链、推动地区经济复苏注入强劲动力。 汪文斌介绍，今年以来，中国与东盟经贸合作逆势上扬，前三季度双方贸易额达4818亿美元，占中国外贸总额的七分之一。中国对东盟国家直接投资达107亿美元，同比增长76.6%，充分显示了双方合作的强劲韧性和巨大潜力。即将召开的中国国际进口博览会、中国-东盟博览会、中国-东盟商务与投资峰会将为深化中国东盟合作提供新的机遇。 汪文斌强调，中方将同东盟各国一道，积极推进后疫情时期交往合作，以明年中国-东盟建立对话关系30周年为契机，推动双方关系提质升级，再上新台阶。我们也将继续坚定支持东盟在区域合作中的中心地位，为促进东亚地区的稳定、繁荣注入新动力。（总台央视记者 申杨 杨弘杨） 责任编辑：张申 SN235 
香港限制社交距离措施将延长一周|2020年11月03日 15:11|原标题：香港限制社交距离措施将延长一周 新华社香港11月3日电 香港特区行政长官林郑月娥3日表示，过去一周香港疫情并无好转，5日午夜届满的一系列限制社交距离措施将延长一周。 林郑月娥当日出席特区行政会议前会见传媒时作上述表示。据介绍，香港过去7日有6宗本地个案，当中3宗源头不明。 林郑月娥呼吁市民要坚持社交距离措施，停止不必要的群组聚集。 为加强疫情防控工作，特区政府将加强病毒检测，相关工作包括：教育局下周会额外再为幼儿园、中小学、特殊学校的教职员分批进行检测；医管局辖下46个普通科门诊派发样本瓶服务时间将延长；将陆续在四区设立临时检测中心，免费为市民进行采样。 林郑月娥还表示，经招标后特区政府已选定4间私营化验所，每间负责营运一间社区中心，本月中开始投入营运。市民可自费到这些长期检测中心接受病毒检测，费用为240港元。 此外，特区政府还将于11月中落实“安心出行”感染风险通知流动应用程序，目的是以电子方式便利市民养成记录出行的习惯，令卫生防护中心追踪确诊人士接触者的工作更为有效。林郑月娥呼吁餐饮、卡拉OK、健身中心等业界积极参与。 责任编辑：张申 SN235 
警钟！隔离三个月后复阳曾参加婚礼 专家解读|2020年11月03日 11:55|原标题：热点 | 警钟！隔离三个月后复阳，曾参加婚礼！专家解读…… 据河南省新乡市卫健委网站消息，11月2日，河南省卫辉市出现1例境外输入新冠肺炎无症状感染者复阳人员。 具体如下： 李某某，男，24岁，卫辉市人。2020年7月24日该男子从俄罗斯入境呼和浩特市，入境后当天核酸检测阳性，在呼和浩特第四人民医院隔离治疗。8月9日核酸检测为阴性。后按照当地防控部门要求，转到呼和浩特第二人民医院，继续隔离观察两周。隔离期满后，8月22日、23日两次复查核酸检测均为阴性。后再转到当地隔离点继续隔离观察两周，期满后9月8日、9日再次复查核酸检测均为阴性，9月9日解除隔离。9月10日返回河南卫辉朝阳花园家中，自行在家隔离2周。9月23日解除隔离。 10月25日，到卫辉市上乐村镇曲律村老家居住。 10月27日，前往新乡市新乡县七里营镇刘八庄村参加姐姐婚礼。当天返回河南卫辉朝阳花园。 10月30日，李某某因外出工作需要，前往新乡医学院第一附属医院进行检测。11月2日凌晨最终检测结果为阳性，卫辉市及时与新乡市有关部门联系汇报，立即启动应急预案。 专家组综合流行病学史、临床表现及实验室检测结果，判定为无症状感染者复阳人员。李某某现在卫辉市人民医院进行隔离医学观察，状态稳定。目前已追踪到的密切接触者已全部实行集中隔离医学观察并进行核酸检测，其中已采样的51份密切接触者样本均为阴性，环境检测为阴性，涉及的车辆和场所等已全部进行消毒。 疫情暴发以来，复阳患者屡见不鲜，此前也有相关病例曝出。 北京大学第一医院感染疾病科主任，国务院联防联控机制医疗救治专家组成员、科技攻关专家组成员王贵强曾解释复阳患者的出现，有三种可能： 新冠病毒有一个特点，就是它的病毒持续时间比较长。所以有时候可能是从肺里面恢复期以后，通过卡痰等等又排出来了。也就是说，这样的病人，其实他的病毒没有真正消失，只是说上呼吸道咽拭子鼻咽拭子查不到，但是下呼吸道在肺里面还是有病毒的。 对于复阳，可能是检测的敏感性还不够强，所以现在科技部在支持提高敏感性的检测方法的研发。检测敏感性不强的情况下，低病毒载量时上呼吸道标本就可能查不到。 个别病人由于免疫功能比较低下，导致持续的阳性或复阳。持续阳性的病例尽管不是很多，但值得高度关注。 王贵强认为，第一要隔离。因为他还是有传染性风险，尽管现在传染性可能是低一些，但是不能说他没传染性，要按照有传染性来进行隔离。 第二要密切观察。目前来看复阳病例整体发生情况，在我们国家目前的初步数据是5%到15%左右。总体的复阳人群不是特别高，但是要隔离观察。 此前，中国工程院院士、呼吸病学专家钟南山在接受采访时，就解释过“复阳”患者问题。 钟南山说，所谓“复阳”，大多数应是核酸的片段而不是病毒本身，需要注意两种情况： 患者本人是不是复发，假如患者产生很强的抗体，一般不会再感染。至于复阳患者会不会传染给别人，则需要具体分析，一般来说核酸片段没有传染性。一些学者曾经对“复阳”患者的咽拭子及分泌物进行培养，没有培养出病毒。 病人原本就有很多基础病，只不过症状改善了，并没有完全康复，这些病人不能排除有传染性。 那么，复阳病人的密切接触者，会不会被感染？ 钟南山认为，“到现在为止，我所收集到的资料，好像基本没看见，我们要看事实。” 此外，9月29日，对于境外回国人员核酸检测“复阳”现象，张文宏也表示，有些人体内病毒阳性时间会久一些，但不管是否“复阳”，这些病人一直处在疫情防控的闭环管理中，不会对社会产生影响。 再次提醒 坚持科学佩戴口罩 勤洗手、常通风、不聚集 责任编辑：张迪 SN230 
