美国抗疫与经济双输 中国持久战应该怎么打？|2020年08月01日 23:47|原标题：美国抗疫与经济双输，中国持久战应该怎么打？ 责任编辑：吴金明 
香港“方舱医院”今日启用 市民喊出“感谢祖国”|2020年08月01日 17:48|原标题：香港“方舱医院”今日启用，市民喊出“感谢祖国” 香港新冠肺炎疫情持续，为缓解香港公立医院病房的压力，香港特区政府在亚洲国际博览馆1号展馆建立的“港版方舱医院”今天正式启用，首批接收约20至30名病人。在亚博馆外，有香港市民举起标语，并喊出“感谢祖国”。 今天中午12时许，香港下起了雷阵雨。位于香港大屿山的亚洲国际博览馆外车流不断，陆续有病人乘车抵达。北京日报客户端记者注意到，有路过的香港市民驻足拍照，还有市民举起写有“感谢祖国”“抗疫先锋”的标语，并喊出“感谢祖国帮助港人”的口号。 香港市民高先生对北京日报客户端记者激动地说：“香港新冠肺炎疫情严峻，国家就马上帮忙进行病毒检测，建立方舱医院。看到医院这么快就建好了，真是见识到了什么叫中国速度，实在是太厉害了！” 香港市民曾先生则称，“人命大过天，香港的人口及居住密度大，疫情爆发后很多老人都担心感染后丧命。但是国家有很好的抗疫经验，这次雷霆派员来香港帮忙，我觉得安心很多了。” 责任编辑：朱学森 
乌鲁木齐：加大垃圾清运及消杀频率|2020年08月01日 17:43|原标题：乌鲁木齐：加大垃圾清运及消杀频率 今天（8月1日）下午，新疆维吾尔自治区人民政府新闻办公室召开疫情防控新闻发布会，会上，乌鲁木齐市城市管理局副局长张雷表示，目前乌鲁木齐市每日清运量达3200余吨，全市对各类垃圾筒箱严格落实每日不少于3次清运措施，在医院、小区等重点区域设置废弃口罩收集箱，及时对转运站、垃圾填埋厂、垃圾运输车辆、设施设备、生活垃圾、周边环境进行全面消杀，防止二次污染。当地现已成立6个专项督查检查组，对各区尤其是集中医学观察点消杀收运情况进行督导和检查。（总台央视记者 苏蒙 钱重宇 乌鲁木齐广播电视台 张恒 杨波 高子渊 吾提库） 责任编辑：张申 
“国家队”专家专访：患者治疗“关口前移”治疗有序|2020年08月01日 17:12|原标题：“国家队”专家专访：患者治疗“关口前移”治疗有序 来源：天山网 天山网讯（记者康颢严报道）为尽快打赢乌鲁木齐疫情防控阻击战，国家卫生健康委已从北京、江苏、湖北、四川等地抽调经验丰富的救治专家组成“国家队”抵乌，与自治区专家联合开展新冠肺炎患者救治工作。7月29日，全国新冠肺炎医疗救治专家组重症医学组专家、东南大学附属中大医院副院长邱海波接受了记者专访，详解目前乌市新冠肺炎患者整体救治工作情况。 记者：此次疫情患者的临床表现有何特点？ 邱海波：从临床特征来看，这次在乌鲁木齐疫情中，有近一半的病人在就诊或入院时没有发烧、乏力、肌肉轻度酸痛、轻度食欲障碍等症状，病人在早期的临床表现和症状非常不典型。正是因为早期无症状，所以在乌市做核酸检测大排查。另外，在武汉、东北等地，患者除了会有肺炎表现之外，还常会有心脏、肾脏等器官损害，这次乌鲁木齐疫情，由于发现早、治疗干预早，感染者发病年龄的中位数偏轻，主要以肺炎的表现为主，其他器官损害较轻，更有利于治疗恢复。 记者：目前定点救治医院对不同类型患者有哪些治疗措施？效果如何？ 邱海波：首先，国家卫健委和自治区的专家以及中医专家一起，建立了一个中西医结合的预防性治疗方案。新冠肺炎起初比较隐匿，有的病人潜伏期较长，处于潜伏期的患者尽管诊断为无症状感染，实际上处于发病早期，过了潜伏期就会出现症状，因此，对此类患者更应警惕并及时甄别。 其次，对于确诊患者的治疗，严格按照国家卫健委第7版新诊疗方案开展抗病毒、免疫调节、呼吸支持、器官支持等治疗。有了武汉、东北及北京的一些经验，对于普通型、重型、危重型患者，按第7版诊疗方案，充分发挥国家、自治区和乌市救治专家组作用，中西医结合，强调“关口前移”，通过早期干预避免患者病情加重发展。 记者：此次救治中，国家和自治区对疫情提供了怎样的强力支持？ 邱海波：基于前期救治经验，我们在抗病毒治疗早期给药方面特别注重特效免疫球蛋白使用，不止重症患者，对于病情进展较快的普通型患者也使用了这些“特效治疗”，防止轻型、普通型向重型转变。 同时，自治区和乌鲁木齐把床位、设备、医疗团队能力非常强的医院定为定点救治医院，调动自治区最强的医疗力量来支援，包括有援鄂经验、新冠疫情治疗经验的医疗队一起参与重型和危重型患者治疗，更规范地使用呼吸支持、机械通气、插管和ECMO（体外膜肺氧合）治疗，救治效果较好。 记者：乌市开展全民免费核酸检测工作，对疫情防控有哪些帮助？ 邱海波：乌鲁木齐核酸排查工作开展得早，检测出了一些还处于潜伏期的无症状感染者，由于发现得早，有利于病情的控制，促使其在发展成确诊前逐渐痊愈，或者不会往重型或危重型发展。这也是新疆此次疫情防控中，非常值得总结的经验。 记者：对于普通居民，有什么需要提示的吗？ 邱海波：对于市民来说，如果有早期症状一定要尽早就诊，比如低烧、喉咙疼、肌肉轻度的酸痛或者乏力时，应该主动联系社区或拨打120到医院发热门诊筛查。拖延不仅可能让病情发展为重型，还会传染其他家庭成员，影响整个社区。同时，一些无症状感染者临床症状不典型或很轻，那么应积极配合全市核酸检测筛查，尽早发现问题，尽早干预治疗，也尽早恢复健康。 责任编辑：朱学森 
乌鲁木齐市全力保障疫情期间居民基本生活需求|2020年08月01日 16:58|原标题：乌鲁木齐市全力保障疫情期间居民基本生活需求 新华社乌鲁木齐8月1日电（记者李志浩、潘莹）乌鲁木齐市新冠肺炎疫情发生以来，为彻底阻断传染源、切断传播途径，全市对社区实行封闭式管理。乌鲁木齐市人民政府副秘书长尚玉岚7月31日表示，为保障广大市民正常生活，乌鲁木齐组织各部门干部职工、社区工作者、志愿服务队等，在做好社区一线每日体温测量、环境消杀等工作的同时，全力提供生活服务保障，满足市民基本需求。 尚玉岚表示，为帮助居民采购物资，乌鲁木齐市以小区或楼栋为单位建立微信群，居民在群中发布需求信息，社区包户干部第一时间回应居民诉求，及时统计微信群中的蔬菜水果、米面油、肉蛋奶以及药品、婴幼儿用品等物资需求，组织志愿者统一采购、分类打包，通过无接触方式逐一送到居民家中。 在解决居民应急事项方面，尚玉岚表示，乌鲁木齐市发挥党员先锋模范作用，组织各部门干部职工、社区工作者、志愿服务队，积极帮助居民解决水电气充值、垃圾收集处置等问题；同时为城乡低保、低收入家庭以及空巢老人等困难群众及时送去爱心蔬菜、清油、大米、面粉等生活物资，免费提供口罩、消毒液等防护用品，对孕产妇、患病儿童及患有慢病、需血透等有就医需求的特殊人群，开展全天候药品代购、专程送诊就医等服务保障工作，加大对特殊群体的关心关爱。 尚玉岚介绍，乌鲁木齐市相关部门通过小区微信群、业主QQ群、电话等方式，向居民宣传防疫相关政策和科普知识，对居民提出的问题耐心解答，并通过心理援助疏导服务，帮助辖区居民舒缓情绪。 责任编辑：张申 
苏州上半年GDP增速负转正 市委书记：创新思路破危局|2020年08月01日 16:56|原标题：苏州上半年GDP增速负转正，市委书记：创新思路破危局 受新冠疫情与中美贸易摩擦等多重因素影响，全国最强地级市苏州今年一季度GDP下滑厉害，但二季度“回拉”迅猛，上半年，该市已实现GDP增速0.8%，“转负为正”。 除此之外，苏州上半年一般公共预算收入总量、增量、税比全省第一，实际使用外资总量、增幅均创历史新高，工业投资增速位于江苏全省乃至全国“GDP万亿俱乐部”城市前列，成绩可喜。 7月31日，苏州市委十二届十次全会上，江苏省委常委、苏州市委书记蓝绍敏代表苏州市委常委会作工作报告。澎湃新闻（www.thepaper.cn）注意到，其中提到了“六个危”，这“六个危”既是苏州过去一段时间也是当前和今后所面临的“六个危局”，而苏州在面临这“六个危局”时又致力于用创新的思路打开“六个新局”。这或许也是苏州能在上半年经受住多重考验的“关键”所在。 这“六个危”分别是，疫情冲击之危、中美经贸摩擦之危、产业结构之危、产业链安全之危、消费滑坡之危、城市能级之危。 针对疫情冲击之危，苏州表现不俗。据蓝绍敏透露，作为服务人口超1550万的全国第二大移民城市，苏州在江苏全省发现疫情最早、防控难度最大。 但最终苏州及时研判、快速反应，成为防控最严格、防控效果最好，守住了“零死亡、零院感”的底线， 蓝绍敏称，苏州还是复工复产效率最高的城市，上半年规模以上工业实现产值1.55亿元。不仅如此，“面对疫情之危，我们用更高的招商引资热度打开了新局。”蓝绍敏说，今年年初苏州就推出一整套“开放创新合作热力图”，这在疫情期间作用和优势明显，成为“屏对屏”替代“面对面”招商的先行样板。 面对中美经贸摩擦之危，苏州则用更快的贸易市场开拓打开新局。比如大力推进市场多元化开拓，推动对外贸易从“单边依赖”转向“多边布局”。 上半年，该市对美贸易占比下降到21.9%，“一带一路”贸易占比上升到23.3%。 面对产业结构之危，苏州选择用更强的科创策源功能打开新局。比如建立材料科学姑苏实验室、选定生物医药作为全市主攻“一号产业”。 面对产业链安全之危，苏州则用更优的产业布局重塑打开新局。比如首创开展产业链全球合作云对接活动，将苏州做强产业链的决心昭告全球。 此外，苏州还在疫情期间重磅推出“姑苏八点半”这一文旅夜间经济品牌，实施一系列促进消费措施，则都是用更深的消费需求刺激来为疫情期间的消费滑坡打开新局。 而不断融合进长三角一体化、推进苏州市域一体化，举办九城市政协共商长三角G60科创走廊等高质量发展活动，都是为了突破苏州城市能级之危，用更广的区域发展空间来打开新局。 责任编辑：张玉 
香港新增125例新冠肺炎确诊病例 连续11日新增破百|2020年08月01日 16:45|原标题：香港新增125例新冠肺炎确诊病例 连续11日新增破百 今天下午4时半，香港特区政府卫生署及医院管理局召开记者会，介绍香港的最新疫情情况。 香港特区政府卫生署卫生防护中心传染病处主任张竹君表示，截至今天凌晨零时，香港新增125例新冠肺炎确诊病例，连续11日新增确诊病例数破百，其中包括124例本地确诊病例和1例输入性病例。累计确诊病例增加至3398例。 香港伊利沙伯医院发言人今日公布，一名79岁的男病人于昨晚离世。屯门医院发言人表示，一名89岁的女病人于今天凌晨离世。此外，玛丽医院及东区尤德夫人那打素医院各有一名病人离世。至此，香港共有31名新冠肺炎确诊患者不幸离世。 香港新冠肺炎疫情持续，为缓解香港公立医院病房压力，香港特区政府在亚洲国际博览馆1号展馆建立的“港版方舱医院”今日正式启用。中午12时，病人陆续抵达。有报道称，亚博馆首日会接收约20至30名病人，之后陆续增加。医管局首日调配了14名医生到亚博馆，预计一星期后会增加至28名，另外共招募50位护士。 责任编辑：朱学森 
美参议员警告：美国就疫情起诉中国是“巨大错误”|2020年08月01日 16:06|原标题：美参议员警告：美国就疫情起诉中国是“巨大错误” 参考消息网8月1日报道 据美国福克斯新闻网站7月30日报道，来自加利福尼亚州的民主党联邦参议员戴安娜·范斯坦7月30日说，允许公民就新冠肺炎疫情起诉中国要求赔偿损失将适得其反，并使美国遭到其他国家同样程度的审查。 范斯坦是在参议院司法委员会的听证会上作出这番表态的，她说：“我们引发了一系列可能非常非常危险的未知事件。我认为这是一个巨大的错误。” 她早些时候说：“在我居住的地方……我们认为中国是一个潜在的贸易伙伴，也是一个在短时间内让数以千万计的人摆脱贫困的国家。中国还在发展成为一个受人尊敬的国家。我深信这一点。我曾多次前往中国。我研究过这些问题。” 范斯坦称，包括中国在内的其他国家可能会决定利用这一新的法律先例来对抗美国，进而引发连锁反应，导致全球混乱。 报道称，3个月前，美国密苏里州总检察长、共和党人埃里克·施米特代表该州对中国提起所谓的诉讼后，中国媒体刊文称，中国对美国领导层滥用诉讼权极为不满，正在考虑对美国个人、实体和包括施米特在内的政府官员采取惩罚性对策。 责任编辑：张申 
驰援香港抗疫！湖北医务人员受命再出发|2020年08月01日 15:39|原标题：驰援香港抗疫！湖北医务人员受命再出发 8月1日，国家卫健委官网发布消息，近期香港新冠肺炎疫情防控形势严峻，应香港特区政府请求，在中央统筹部署和指挥下，国家卫生健康委迅速组建“内地核酸检测支援队”“内地方舱医院支援队”，拟近期赴香港开展工作，协助特区政府抗击疫情。 其中，“内地方舱医院支援队”由湖北省武汉市选派6名有“方舱医院”实战经验的专家，包括医院院长，院感、护理、建筑和设计专家。 本次受命支援香港抗疫的“内地方舱医院支援队”主体人员，是武汉大学人民医院接管武昌方舱医院的核心成员，包括武汉大学人民医院副院长、武昌方舱医院院长万军，武昌方舱医院副院长、武汉大学人民医院骨科主任医师马永刚，武汉大学人民医院医院感染预防与控制办公室主任成于珈，武汉大学人民医院护理部副主任刘春英。支援队另两位专家，分别来自中南建筑设计院股份有限公司、武汉中信建筑设计总院第七设计院。 据悉，武汉大学人民医院支援香港方舱支援队已随时待命出发，将为香港亚洲国际博览馆改建为“方舱医院”提供设计、运营和管理经验的技术支持。 武汉大学人民医院接管的武昌方舱医院，是武汉市首批建设、第一个收治轻症新冠肺炎患者、最后一家休舱的方舱医院。35天时间里累计收治1124人，实现病人零死亡、医护零感染、病人零回头。（总台央视记者 倪晶依 李炜） 责任编辑：张申 
西班牙政客借疫情攻击中国 我使馆回应|2020年08月01日 15:28|原标题：西班牙政客借疫情攻击中国，我使馆回应 据“中国驻西班牙大使馆”公众号8月1日消息，近日，个别西班牙政客借新冠疫情无端攻击中国。中国驻西班牙使馆强调，中方坚决反对病毒标签化、抗疫政治化以及对特定国家污名化，将继续与西班牙深化抗疫合作，共同支持世界卫生组织在全球抗疫斗争中发挥领导作用。 责任编辑：朱学森 
上海有3例确诊病例今日出院 共计725例治愈出院|2020年08月01日 15:21|原标题：上海有3例确诊病例今日出院，共计725例治愈出院 来源：健康上海12320 市卫生健康委今日（1日）通报：3例新型冠状病毒肺炎病例，经定点医疗机构医护人员精心诊治和护理，专家组评估，认为符合国家卫生健康委最新的新型冠状病毒肺炎确诊病例出院标准，于今日出院。 病例1，中国籍，女，36岁，境外输入性病例，7月13日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例2，中国籍，女，28岁，境外输入性病例，7月15日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例3，中国籍，女，23岁，境外输入性病例，7月22日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 为做好出院患者的健康管理，卫生健康部门将对患者开展必要的随访观察。 责任编辑：朱学森 
广东新增境外确诊病例2例 含1例外国籍足球运动员|2020年08月01日 15:10|原标题：广东新增境外确诊病例2例 含1例外国籍足球运动员 中新社广州8月1日电 （蔡敏婕）广东省卫生健康委员会8月1日发布新冠肺炎疫情情况称，7月31日0至24时，全省新增境外输入确诊病例2例和境外输入无症状感染者4例，均为广州报告。确诊病例来自葡萄牙和孟加拉国各1例；无症状感染者3例来自新加坡，1例来自孟加拉国，以上均在入境口岸发现，入境后即被隔离观察。 据广州市卫生健康委员会通报，该市新增的2例境外输入确诊病例分别来自葡萄牙和孟加拉国。确诊病例1为24岁外国籍男性足球运动员，7月28日他从葡萄牙出发，先后乘坐KL1694、CZ308航班于29日飞抵广州入境，海关采样后按全程闭环管理程序转运至集中隔离点。经CT检查和专家会诊，诊断为新冠肺炎确诊病例。 病例2为籍贯河南的22岁男性工人。7月30日他从孟加拉国乘坐CZ392航班于当天飞抵广州入境，海关采样后按全程闭环管理程序转运至集中隔离点。经CT检查和专家会诊，诊断为新冠肺炎确诊病例。 此外，还有4例境外输入无症状感染者，其中3例为籍贯山东和河南的建筑工人，年龄介乎43岁至44岁，上述3人入境行程相同。7月28日从新加坡乘坐CZ3040航班于当天飞抵广州入境，海关采样后按全程闭环管理程序转运至集中隔离点。反馈新冠病毒核酸均为阳性，即转广州市第八人民医院隔离治疗。 而境外输入无症状感染者4为籍贯河南的36岁男性，从事商业服务。7月30日从孟加拉国乘坐CZ392航班于当天飞抵广州入境，海关采样后按全程闭环管理程序转运至集中隔离点。反馈新冠病毒核酸阳性，即转广州市第八人民医院隔离治疗。 截至7月31日24时，广东省累计报告新冠肺炎确诊病例境外输入285例。该省现阶段主要为新冠肺炎境外输入疫情，但均纳入闭环管理，总体处于低风险。（完） 责任编辑：张申 
北京新发地便民菜市场试营业|2020年08月01日 15:06|原标题：北京新发地便民菜市场试营业 北京新发地批发市场聚集性疫情暴发后，从6月13日3时起，该市场休市至今。为保障市场供应，在附近其他地点设置了蔬菜、水果交易专区。但这些临时交易场所主要开展批发业务。为方便周边居民购买鲜果鲜菜，7月28日，新发地便民菜市场试营业。 新发地便民菜市场位于新发地小学东侧，是在新发地批发市场配送中心基础上改造而成的。新型销售场所建筑面积1000平方米，已引入22个摊位，销售鲜菜、粮油、水果、蛋类以及主食。 作为新发地封闭区域，便民菜市场此前经过严格消杀以及全面的建筑改造。整栋建筑经过专业验收，所有经营商户也都进行核酸检测。该便民菜市场安排专人，每天早中晚三次对市场内进行全覆盖消杀，商户每日结束营业后还要自行消毒，经检查合格后方可离场。 现场要求人车分流疏导，设立机动车、非机动车专用停车场和出入口；客流也是单向闭环，避免交叉对流；卖场内的客流和货物移动也都有专区专线。 丰台区相关负责人表示，未来，新发地批发市场将严格落实“批零分开、干湿分离、生熟分开”要求，全面优化升级市场的防疫生态、健康生态和产业生态。（总台央视记者 张景 刘雪楠） 责任编辑：张玉 
北京二手房市场：7月量涨价跌 未来价格上涨动力不足|2020年08月01日 14:45|原标题：北京二手房市场：7月量涨价跌 未来价格上涨动力不足 中新社北京8月1日电 （记者 于立霄）随着疫情得到控制，购房需求进一步释放，7月北京二手房市场呈现量涨价跌的态势。业界预计，未来市场价格上涨动力不足，交易量和价格将出现小幅波动。 贝壳研究院最新统计数据显示，今年7月份，北京二手房成交量环比增长了6.6%，同比增长35.2%。 由于疫情再起，北京二手房市场走出了与其他城市不同的复苏节奏。6月第三周北京成交量环比下降4成。此后疫情得到控制，市场需求逐渐回暖，成交量连续五周环比增加。7月后半月需求释放渐入平台期，周度成交环比涨幅收窄5%以内。 7月北京疫情得到控制，刚需率先集中释放。贝壳研究院数据显示，7月带客户看房量环比增长34%，450万元（人民币，下同）以下房源环比增长率高于750万元以上房源近4个百分点。在成交方面，450万元以下房源成交占比较6月提升3个百分点。 在价格方面，贝壳研究院数据显示，7月份，北京二手房成交均价环比继续下跌3.1%，跌幅扩大。贝壳研究院分析认为，二手房成交均价下行主要受西城“多校划片”政策落地的影响。 2017年，北京城六区幼升小实行“多校划片”，明确“六年一学位”的政策在朝阳、东城、海淀、石景山、丰台等区域陆续推进，而西城区则在今年7月底执行此项政策。 在“7·31”大限来临之前，西城区学区房迎来了“最后的疯狂”，带动了北京二手房交易量的大幅攀升。贝壳研究院数据显示，今年5月，北京二手房网签量约1.59万套，环比增加20.5%，同比增长15.2%。 随着“多校划片”政策在西城落地，学区房价值有所弱化，二手房成交量出现大幅下跌。贝壳研究院数据显示，7月西城区成交量较5月下跌64%。 贝壳研究院首席市场分析师许小乐表示，在政策刺激下，西城区的购房需求于5月中上旬持续释放，随后开始深度回落。从长期看，“多校划片”政策给西城区的二手房带来短期波动，未来市场将逐渐回落企稳。 针对未来北京二手房走势，许小乐分析，预计8月份成交量将会小幅下降，整体市场有望在三季度末实现年度累计成交同比回正。至于价格方面，在市场预期不强的情形下，均价上涨动力不足，预计呈下跌趋势。 也有专家认为，目前疫情尚未完全解除，楼市调控政策没有丝毫松动，7月过后北京二手房市场将大概率进入横盘企稳，量价小幅波动的状态。 责任编辑：张建利 
中央援港抗疫开始了！|2020年08月01日 12:05|原标题：全民免费检测、协助建“方舱”、核酸检测支援队……中央援港抗疫开始了！ 应特区政府请求，国家卫健委成立的首支“内地核酸检测支援队”的其中7名成员，明日（2日）赴港协助开展实验室工作。国家卫健委表示，“内地核酸检测支援队”有60名临床检验技术人员，成员由广东省卫健委从省内20多间公立医院选出。支援队队长来自广东省卫健委，曾担任支援武汉医疗队总指挥。 卫健委表示，已组成“内地方舱医院支援队”，由武汉选派6名有经验的专家，为香港亚洲博览馆改建为“方舱医院”，提供设计、营运及管理经验。 香港新冠肺炎疫情愈演愈烈，31日再增121宗确诊个案，是连续十天确诊个案破百，约半数个案的源头不明，社区的隐形患者众多，及早检测、及早隔离治疗，至为关键。国务院港澳办昨日发表声明表示，中央政府已应特区政府的请求，决定派遣内地检测人员赴港协助开展大规模核酸检测筛查，以及帮助特区加快建设临时隔离及治疗中心。据了解，中央政府将全力协助特区政府为香港750万市民免费进行病毒检测，并在亚博馆第二号场馆兴建更大规模的“方舱医院”，援助香港战胜病毒。 新冠肺炎第三拨疫情自暴发至今仍未见缓和迹象。香港特区政府卫生防护中心传染病处主任张竹君昨日在最新疫情简布会上公布，昨日再增121宗确诊个案，其中118宗属本地感染个案。在本地感染个案中，62宗与早前的个案有关联：48宗是与确诊家人或亲友相聚后受感染，更有多个工作场所出现确诊病例。 面对第三拨疫情，香港医疗系统面临崩溃的危机，特区行政长官林郑月娥昨日在宣布押后今年立法会选举的记者会上，回答总台记者问及有否向中央政府提出援助请求时表示，她早前已向中央政府提交请求，中央已公开表示愿意提供支援，包括两方面，一是检测，二是医疗设施。长远而言，她希望中央日后可提供疫苗，因为内地研发疫苗已有正面发展，她希望日后内地研发完成后，也可同时帮助香港700多万市民。 国务院港澳办晚上发表声明表示，中央政府已应特区政府的请求，决定派遣内地检测人员赴港协助开展大规模核酸检测筛查，以及帮助特区加快建设临时隔离及治疗中心。 声明强调，伟大祖国是香港战胜疫情和一切风险的坚强后盾。希望香港社会各界在特区政府的带领下，聚焦抗疫大局，共担抗疫责任，团结一心，同舟共济，早日打赢疫情阻击战，为尽快恢复经济、改善民生创造良好条件。 据了解，中央政府应特区政府请求，将会倾力相助香港抗疫。由于抗疫战中检测至为关键，中央政府将派遣国家卫生健康委员会和广东省的检测团队来港，为全港市民免费进行新冠肺炎核酸检测，相关的费用全数由中央政府承担。在香港疫情彻底受控、彻底切断传播链前，有关的团队会一直留港提供支援。 今年6月，中国国家卫生健康委员会医政医管局监察专员郭燕红曾透露，全国目前有4804家合资格的检测机构，全国核酸检测能力从3月初的每天126万人份，提高到378万人份。按这个检测能力推算，相信全港750万人口，于数天内完成检测不成问题。此前，总部位于深圳的华大基因已协助香港进行核酸检测工作，采用的相关仪器包括高灵敏度核酸检测试剂盒、高通量自动化核酸提取系统、高通量病毒测序试剂盒、核酸现场快速检测系统等，可实现全流程高度自动化，192个样本4小时至6小时以内就可以出核酸报告。为协助香港尽快控制疫情，深圳将派出医疗队赴港，相关医疗队将由广东省统一组织。 同时，中央会派出专家团队协助香港在亚博馆第二号场馆兴建另一个“方舱医院”，据了解，该新的港版“方舱医院”会较今日启用的一号场馆呈现更大规模。（总台记者 周伟琪 金东） 责任编辑：张玉 
云南楚雄州：即日起暂不举办火把节等大型节庆活动|2020年08月01日 11:35|原标题：云南楚雄州：即日起暂不举办火把节等大型节庆活动 据云南楚雄州委宣传部消息，近日，楚雄州委州政府应对新型冠状病毒肺炎疫情工作领导小组指挥部发布《关于暂不举办火把节等大型节庆活动相关事项的通告》明确，从即日起楚雄州范围内暂不举办火把节等大型节庆活动。 责任编辑：朱学森 
港建制派议员联合声明:齐心抗疫 支持立法会选举延期|2020年08月01日 11:17|原标题：香港建制派议员联合声明：齐心抗疫 支持立法会选举延期 7月31日傍晚，香港特区行政长官林郑月娥召开记者会宣布，由于香港新冠肺炎疫情形势严峻，决定将立法会选举延期一年。随后，香港第六届立法会建制派议员发表联合声明，支持将9月立法会选举延期一年，并认同政府把香港市民健康放在首位，呼吁社会团结一致，齐心抗疫。 声明表示，自今年7月以来，香港暴发第三波疫情，每天的确诊人数居高不下。在如此严峻的情况下，保障市民生命安危及健康是政府的首要任务。如果坚持举行选举，政府的精力便无法集中在抗疫工作上，参选人继续开展选举活动也会造成大量人群聚集，增加市民感染病毒的风险。此外，参选人也难以在防疫措施的限制下开展有效的选举工作，坚持继续选举并不公平。 声明要求政府公布未来一年立法会运作的有关安排，确保立法会有效运作，履行基本法下的宪制职能。并且敦促政府及选委会再次检视选举指导工作安排，完善选举办法及相关法律，包括推动投票电子化、为老人、孕妇、行动不便及有特别需要的选民设立“关爱通道”等，以此确保选举公平公正和安全地举行。 立法会建制派议员呼吁，人命关天，当前情况下，香港全社会应团结一致，齐心抗疫。与此同时，政府应当完善抗疫措施，尽快控制疫情。 责任编辑：朱学森 
广州通报新增境外输入病例详情 1例为外籍足球运动员|2020年08月01日 11:13|原标题：广州通报新增境外输入病例详情，其中1例为外籍足球运动员 新京报快讯据广州卫健委官微消息，7月31日0时至24时，广州市报告新增境外输入确诊病例2例。 截至7月31日24时，累计报告境外输入确诊病例217例、境外输入关联病例28例。累计出院228例，尚在院治疗17例。 截至7月31日24时，累计报告境内确诊病例349例。累计出院348例，累计死亡1例。 7月31日0时至24时，新增境外输入无症状感染者4例。 新增境外输入病例1： 男，24岁，外国籍，足球运动员。7月28日从葡萄牙出发，先后乘坐KL1694、CZ308航班于29日飞抵广州入境，海关采样后按全程闭环管理程序转运至集中隔离点。反馈新冠病毒核酸阳性，即转广州市第八人民医院隔离治疗，经CT检查和专家会诊，诊断为新冠肺炎确诊病例。 新增境外输入病例2： 男，22岁，籍贯河南，常住河南省南阳市，工人。7月30日从孟加拉国乘坐CZ392航班于当天飞抵广州入境，海关采样后按全程闭环管理程序转运至集中隔离点。反馈新冠病毒核酸阳性，即转广州市第八人民医院隔离治疗，经CT检查和专家会诊，诊断为新冠肺炎确诊病例。 新增境外输入无症状感染者1： 男，44岁，籍贯山东，常住山东省淄博市，建筑工人。 新增境外输入无症状感染者2： 男，44岁，籍贯山东，常住山东省泰安市，建筑工人。 新增境外输入无症状感染者3： 男，43岁，籍贯河南，常住河南省濮阳市，建筑工人。 上述3人入境行程相同。7月28日从新加坡乘坐CZ3040航班于当天飞抵广州入境，海关采样后按全程闭环管理程序转运至集中隔离点。反馈新冠病毒核酸均为阳性，即转广州市第八人民医院隔离治疗。 新增境外输入无症状感染者4： 男，36岁，籍贯河南，常住河南省南阳市，从事商业服务。7月30日从孟加拉国乘坐CZ392航班于当天飞抵广州入境，海关采样后按全程闭环管理程序转运至集中隔离点。反馈新冠病毒核酸阳性，即转广州市第八人民医院隔离治疗。 来源：广州卫健委官微 责任编辑：朱学森 
国家卫健委组派“内地核酸检测支援队”赴香港|2020年08月01日 11:02|原标题：国家卫生健康委组派“内地核酸检测支援队”赴香港 近期香港新冠肺炎疫情防控形势严峻，应香港特区政府请求，在中央统筹部署和指挥下，国家卫生健康委迅速组建“内地核酸检测支援队”拟近期赴香港开展工作，协助特区政府抗击疫情。 首支“内地核酸检测支援队”由广东省卫生健康委从省内20余家公立医院选派约60名临床检验技术人员，其中7名“先遣队”队员将于8月2日赴香港协助开展实验室工作。“内地核酸检测支援队”队长来自广东省卫生健康委，曾担任广东省支援武汉医疗队总指挥，这是首批中央政府派出支持香港抗疫的内地专业队伍。国家卫生健康委后续将根据香港特区抗击疫情需要，随时调集内地医疗资源给予更多支持。 同时，国家卫生健康委也已组建“内地方舱医院支援队”，由湖北省武汉市选派6名有“方舱医院”实战经验的专家，包括医院院长，院感、护理、建筑和设计专家，为香港亚洲国际博览馆改建为“方舱医院”提供设计、运营和管理经验的技术支持。 责任编辑：张建利 
国家卫健委：首批“内地核酸检测支援队”赴香港|2020年08月01日 10:51|原标题：国家卫健委：首批“内地核酸检测支援队”赴香港 据卫健委网站消息，近期，香港新冠肺炎疫情防控形势严峻，应香港特区政府请求，在中央统筹部署和指挥下，国家卫生健康委迅速组建“内地核酸检测支援队”拟近期赴香港开展工作，协助特区政府抗击疫情。 首支“内地核酸检测支援队”由广东省卫生健康委从省内20余家公立医院选派约60名临床检验技术人员，其中7名“先遣队”队员将于8月2日赴香港协助开展实验室工作。“内地核酸检测支援队”队长来自广东省卫生健康委，曾担任广东省支援武汉医疗队总指挥，这是首批中央政府派出支持香港抗疫的内地专业队伍。国家卫生健康委后续将根据香港特区抗击疫情需要，随时调集内地医疗资源给予更多支持。 同时，国家卫生健康委也已组建“内地方舱医院支援队”，由湖北省武汉市选派6名有“方舱医院”实战经验的专家，包括医院院长，院感、护理、建筑和设计专家，为香港亚洲国际博览馆改建为“方舱医院”提供设计、运营和管理经验的技术支持。 责任编辑：朱学森 
