11月29日天津最新疫情通报|2020年11月29日 20:37|原标题：天津最新疫情通报 津云新闻记者 张赫洋 马扬洋 记者从市疾控中心获悉，11月28日18时至29日18时，我市无新增本土新冠肺炎确诊病例，累计报告146例，其中男性82例，女性64例；在院8例（其中重型1例，普通型6例，轻型1例），治愈出院135例，病亡3例。 11月28日18时至29日18时，我市无新增境外输入新冠肺炎确诊病例，累计报告境外输入确诊病例154例（中国籍133例、美国籍3例、菲律宾籍8例、法国籍2例、乌兹别克斯坦籍1例、俄罗斯籍1例、乌克兰籍3例、哈萨克斯坦籍1例、委内瑞拉籍2例），治愈出院150例，在院4例（均为普通型）。 我市无新增无症状感染者，累计105例（境外输入100例），其中，解除医学观察87例、尚在医学观察6例、转为确诊病例12例。 第149例境外输入确诊病例、第153例境外输入确诊病例符合出院标准，于今日从海河医院出院，转入集中隔离医学观察点。 截至目前，全市无现存疑似病例，累计排查密切接触者9080人，尚有140人正在接受医学观察。 责任编辑：朱学森 SN240 
重庆企业无症状感染者韩某某入渝离渝行程公布|2020年11月29日 12:39|原标题：重庆企业无症状感染者韩某某入渝离渝行程公布 11月29日，重庆市举行新冠肺炎疫情防控工作新闻发布会。会上通报了无症状感染者韩某某的入渝离渝行程。 据调查，韩某某，男性，42岁，2020年2月1日从韩国仁川直达重庆，离渝时间为2020年11月26日，其间常住重庆富力假日酒店，是西永微电园SK海力士半导体（重庆）公司员工。 11月26日晚8时，韩某某从酒店出发，乘公司专车（含驾驶员共2人）前往成都双流机场，搭乘11月27日凌晨2时飞机（韩亚航空OZ324航班）直飞韩国仁川机场。 11月28日，重庆高新区接到企业报告，韩某某在韩国检出新冠病毒核酸阳性，初步判定为无症状感染者。 接报后，当地立即启动应急响应。重庆高新区党工委管委会辖区相关部门，启动全面开展流行病学调查、现场管控、核酸检测等措施。 责任编辑：赖柳华 SN244 
重庆企业无症状感染者韩某某入渝离渝行程公布|2020年11月29日 12:33|原标题：重庆企业无症状感染者韩某某入渝离渝行程公布 重庆一企业韩国籍员工韩某某在韩国被初步判定为无症状感染者。29日举行的重庆市新冠肺炎疫情防控工作新闻发布会上，韩某某的入渝离渝行程公布。 据调查，韩某某，男性，42岁，2020年2月1日从韩国仁川直达重庆，离渝时间为2020年11月26日，其间常住重庆富力假日酒店，是西永微电园SK海力士半导体（重庆）公司员工。 11月26日晚8时，韩某某从酒店出发，乘公司专车（含驾驶员共2人）前往成都双流机场，搭乘11月27日凌晨2时飞机（韩亚航空OZ324航班）直飞韩国仁川机场。 11月28日，重庆高新区接到企业报告，韩某某在韩国检出新冠病毒核酸阳性，初步判定为无症状感染者。 接报后，当地立即启动应急响应。重庆高新区党工委管委会辖区相关部门，启动全面开展流行病学调查、现场管控、核酸检测等措施。 责任编辑：张玉 
警惕新冠病毒“物传人”，教你这样防范|2020年11月29日 12:11|原标题：警惕新冠病毒“物传人”，教你这样防范 随着秋冬季节到来，呼吸道传染病进入高发季节，新冠肺炎疫情的发生风险也大大增加。近日，国内多地接连出现本地新冠肺炎确诊病例，新冠病毒“物传人”的现象引发公众关注。从现有报道来看，此类感染多为患者接触了被新冠病毒污染的冷链食品及其外包装、境外集装箱等物品所致，那么该如何预防这类感染呢？ 成都疾控在此提醒您：为了您和家人的健康，请您切勿放松警惕，继续做好个人日常防护，消费者要正确选购、处理和食用冷链食品，冷链食品从业人员要加强工作防护。 1。 要去正规超市或市场选购冷链食品，选购时正确佩戴口罩。 2。 避免徒手接触食品表面，建议使用一次性手套或或使用一次性塑料袋反套住手进行挑选。 3。 关注生产日期、保质期、储存条件等食品标签内容，以及产地、来源、进口食品检疫等相关信息，不要采购没有明确来源信息的冷链食品。 4。 购物后及时用肥皂或洗手液洗手，洗手前不触碰口、鼻、眼等部位。 5。 如果是通过海淘、代购等渠道购买，包装表面一定要做好消毒处理，处理时做好防护。 1。 厨房要保持清洁和通风，接触冷链食品前后要洗手。 2。 加工过程要做到生熟分开，处理冷链食品所用的盆、刀具和砧板等器具要及时清洗，清洗时防止飞溅。 3。 加工完成后对环境、厨房台面等物体表面进行清洁和消毒。 4。 及时收集食物残渣，并放在单独的垃圾袋中丢弃。 5。 冷链食品保存于冰箱冷冻室，不要存放过长时间，注意与熟食分层存放。 1。 加工烹调冷链食品时，要保证烧熟煮透。 2。 尽量避免生吃、半生吃、酒泡、醋泡或盐腌后直接食用。 3。 两人及以上共同就餐时，要使用公筷、公勺，减少交叉感染。 4。 未食用完的部分请冷藏保存，尽早食用，再食用前一定要充分加热。 1。 从业人员要做好健康监测，不带病上岗，上岗前配合接受体温检测，必要时配合接受核酸筛查。 2。 装卸搬运工等反复接触进口冷链食品的高风险人群，上岗前一定要穿戴好工作衣帽，戴好一次性医用口罩、手套，必要时还要佩戴护目镜和面屏。 3。 整个搬运过程中要防止皮肤直接接触冷链物品表面，一旦出现直接接触，要立即停止工作并进行消毒处理，搬运结束后及时洗手消毒。 4。 如遇包装破损，要立即对散落食品进行回收处理，并对污染的环境及物体表面进行消毒。 5。 在没有脱掉工作服和洗手消毒之前，不要触碰口、鼻、眼等部位。 最后，请您时刻保持防护意识，继续做好戴口罩、勤洗手、多通风、少聚集、保持安全社交距离等个人防护措施，健健康康过秋冬。 来源：成都疾控 责任编辑：赖柳华 SN244 
关店、停课、方舱重启！此地宣布：出现第四波疫情|2020年11月29日 12:10|原标题：关店、停课、方舱重启！此地宣布：出现第四波疫情 来源：新晚报 香港疫情一波接一波 还没宣布第三波疫情结束 第四波已经出现 香港卫生署卫生防护中心28日下午公布疫情数字，香港28日新增84宗确诊个案，涉及35男及49女，31宗从社区检测中找出。 确诊个案中，27宗属源头不明个案，另有4宗属输入个案，全部为印尼来港。新增个案中6宗与其他个案相关，47宗与歌舞群组相关，有关群组已累计415宗个案（>>>详情）。 今年七八月份，香港曾出现第三波本土新冠肺炎疫情，当时香港实行自愿全民检测、建香港版“方舱医院”，内地派出救治、检测队伍支援，随后疫情得到控制。但是这几天，香港本地确诊病例又迅速增多，被称为是开始了第四波疫情。 从数据上看，香港本地确诊病例从19日开始迅速增多，一直到25日，基本上连续三天本地确诊病例都在60例以上。据官方通报，26日公布的75例本土病例中，有59例与此前跳舞感染群组有关。 针对此次疫情，特区政府食物及卫生局局长陈肇始表示，本地存在多个隐形传播链，本地疫情“急速恶化”。目前，确诊病例散发于不同区域、涉及多个群组，包括跳舞群组、的士司机、家庭主妇等。截至11月27日，跳舞群组共出现132宗个案，为至今最大的染疫群组，有些个案源头至今不明。 呼吸系统专科医生梁子超24日在电台节目形容，这次不是普通疫情暴发，而是大型网络式暴发，犹如 “森林大火蔓延”。他促请各界要尽快截断“火路”，如果病毒向香港社会进一步渗透，会让防控形势急转直下。 针对此轮疫情，特区政府采取一系列应对措施： 自26日起，所有酒吧、酒馆、浴室、夜店等场所暂时关闭； 宴会限最多40人参与，以每桌4人计算，即最多10桌； 全港一到三年级小学生停课两周； 首次引用《预防及控制疾病（对若干人士强制检测）规例》，强制要求11月1日至21日曾到过14家指定跳舞场所的人士进行核酸检测，违反者罚款等。 为了应对新一波疫情，11月25日，香港医管局重启亚洲博览馆的社区隔离设施，首阶段将启用200张病床，计划接收18岁至60岁病情较稳定、年纪较轻和有自理能力的确诊病人，以减轻医院压力。 首阶段将会有超过150名公立医院医护人员、40名私家医生、20名私家护士参与工作。未来，如果疫情持续发展，亚博馆还将启用更多场馆，最多容纳1900张病床。 面对反复来袭的疫情，香港应该如何应对？香港大学内外全科医学士周伯展建议，直接复制内地防疫做法，“全民检测，检测以后隔离、医治，其他的人使用健康码，这样才可以恢复正常的生活。” 11月中旬，一款名为“安心出行”的移动应用程序在香港正式上线，旨在帮助香港市民利用手机记录出行情况。目前有超过6000个公私营的场地有相关二维码，1.8万辆出租车可使用该应用。但香港医学界人士表示，该应用的市民参与度、配合度不高，期待政府出台强力措施推行。 香港医院管理局主席范鸿龄认为，当前最紧要的一个是全面核酸检测，上次普及社区检测计划是自愿性质的，只有20%左右市民参加，现在要把检测幅度扩大，尤其是高危人群都应该做检测；另一个是推行健康码，建议政府强制推行。 针对近日香港本土疫情再次反弹的现象，钟南山建议，应该再做一次全民核酸检测。 钟南山认为，在疫情前期阶段，香港强调人人都要戴口罩，防控做得相当出色，“作为一个人口众多的密集型城市，香港能够很好地控制疫情蔓延，这是值得肯定的”。但是随着疫情进入常态化阶段，香港的防控有所放松。 “香港总共有800多万人，上一次全民检测只覆盖了170万人，这是不彻底的。”钟南山强调，现在香港本土病例越来越多，当务之急就是进行全民核酸检测。 新晚报综合央视新闻、北京日报、南方+、香港商报网 责任编辑：赖柳华 SN244 
谁去过这家卤肉店 速速上报！|2020年11月29日 11:51|原标题：谁去过这家卤肉店 速速上报！ 2020年11月26日，接西安市新型冠状病毒肺炎疫情防控指挥部办公室《关于紧急追踪涉事冷冻货品的协查函》，杨陵区立即对涉事进口冷冻货品开展相关物品和人员的追踪、管控及采样检测。截至目前，所有采样经新冠核酸检测，结果均为阴性。 为保障人民群众生命安全和身体健康，现就有关事项通告如下： 2020年11月12日至11月15日在杨凌五星蔬菜批发市场口口香卤肉店购买或食用进口猪前蹄、回收店铺门口垃圾、到过该店铺的人员，以及在上述时间段内与该店从业人员有密切接触的人员，请自觉落实居家隔离和健康监测措施，第一时间通过电话向所在镇、村（社区）、单位、区疾控中心报告，并尽快全程佩戴口罩，不乘坐公交车、出租车等公共交通工具到杨凌示范区医院进行核酸检测。 提醒广大居民朋友谨慎购买食用进口冷链海鲜及肉产品，降低感染新冠病毒风险。同时注意做好个人防护，出入公共场所时佩戴口罩，保持1米以上社交距离，勤洗手、常通风。若出现发热、干咳、乏力等症状，及时到定点医院（杨凌示范区医院）发热门诊就诊，就医时须全程佩戴口罩，不乘坐公交车、出租车等公共交通工具，避免与其他人接触。 联防联控工作领导小组办公室请广大居民朋友落实好常态化疫情防控措施，不信谣、不造谣、不传谣，保持正常生产生活秩序。 杨陵区新冠肺炎疫情联防联控工作领导小组办公室：029-87012050 杨陵区疾病预防控制中心：029-87018815 杨陵区新冠肺炎疫情联防联控工作领导小组办公室 2020年11月27日 （总台央视记者 常青） 责任编辑：张玉 
大庆市疾控对内蒙古满洲里市一病例轨迹发布重要提示|2020年11月29日 11:45|原标题：大庆市疾控对内蒙古满洲里市一病例轨迹发布重要提示 刚刚，大庆市疾控中心发布重要提示《2020年11月28日内蒙古自治区呼伦贝尔市满洲里市新冠肺炎疫情防控工作指挥部公告（第26号）》： 内蒙古自治区呼伦贝尔市满洲里市一新冠肺炎患者在满洲里市的行动轨迹如下：11月11日、19日早6时45分乘坐1路公交车在扎赉诺尔区中央商城邮局站牌上车，在满洲里铁路联检大楼与兰德洗浴中间下车，11月15日、17日、21日早7时左右乘1路公交车从满洲里旺泉市场上车返回扎赉诺尔区，在中央商城邮局站牌下车。 如果市民群众在以上相同时间、相同地点有共同活动史和轨迹的人员，请做好自我防护，暂不要外出，第一时间向居住地所在社区和县（区）疾控中心报告，配合社区和县（区）疾控中心做好后续工作。 来源：大庆日报社公众号“微大庆” 责任编辑：赖柳华 SN244 
上海11月9日本土确诊病例，今天治愈出院！|2020年11月29日 11:31|原标题：上海11月9日本土确诊病例，今天治愈出院！ 经定点医疗机构医护人员的精心诊治和护理，11月29日上午，11月9日上海本土一位确诊患者王某某顺利出院。 11月9日，上海确诊1例新冠肺炎病例王某某，浦东新区祝桥镇营前村被列为中风险地区。 之前的信息显示：病例王某某，男，51岁，11月8日13点45分因发热、鼻塞、乏力等症状，独自骑电动自行车至浦东新区人民医院发热门诊就诊，入院体温37.5度，肺CT显示双肺多发磨玻璃样，该病例当晚按规范流程留置该院发热门诊隔离观察。9日上午，经专家会诊后转运至上海市公共卫生临床中心隔离治疗。 该病例自述，自4月8日起在浦东机场西区航司货运站从事搬运工作，至今未曾离沪。自述发病前14天内无中高风险地区旅居史，无新冠病毒感染者接触史，近3个月内无其他医疗机构就诊史。 从这个本土病例出现开始，上海市疾病预防控制中心的工作人员几乎度过了半个月的“不眠夜”，终于找到了这两例病例的致病源头——航空集装器。 11月11日，5名流调人员前往机场货运物流区查阅监控录像，了解病例在发病前14天的工作情况，整个过程历经5个小时。公共视频显示：10月30日，2名确诊病例都未戴口罩，进入同一航空集装器处理泡沫，共计十几分钟时间，其中发病比较早的王某某清扫时间相对更长。 在监控录像确证之后，疾控专家锁定了感染来源。通过查询物流信息，流调小组发现此集装器曾经在北美的物流公司放置一段时间。符合传播特征，从流行病学角度锁定传染源。 同一时刻，上海市疾控中心病原检测实验室基因测序后，发现两个病例感染的病毒基因高度同源，且与北美流行株高度相似。从实验室角度证实了传染源。 为防控本土新冠疫情，上海市疾控中心实验室全负荷运转，充分发挥“一锤定音”能力，对确诊病例、相关密接、环境样本等进行检测和复核，平均每天检测300至400份。 从24日零时起，营前村由中风险地区调整为低风险地区。而今天随着王某某的治愈出院，他们的生活也将渐渐恢复往日的平静。 （看看新闻Knews记者：吴海平 车秉健） 责任编辑：赖柳华 SN244 
沈阳中小学在职教师拉班补课，开除！附举报电话！|2020年11月29日 11:30|原标题：沈阳中小学在职教师拉班补课，开除！附举报电话！ 市、区县（市）教育局公开举报电话 责任编辑：赖柳华 SN244 
北京今年流感病例降了六成多 免费接种持续到下月底|2020年11月29日 10:29|原标题：北京今年流感病例降了六成多，免费接种持续到下月底 为更好满足市民流感疫苗接种需求，做好冬春季呼吸道传染病防控，今年北京市的流感疫苗免费接种工作将持续到12月31日，自费流感疫苗接种结束时间仍为2021年2月底。 北京市疾控中心监测数据显示，今年北京市流感疫情流行趋势明显低于往年，全市流感病例报告数呈明显下降态势，10月1日以来，全市共报告流感病例444例，较去年同期下降84.3%；本年度累计报告80010例，较去年同期下降了63.1%。入冬以来，全市监测哨点医院呼吸道疾病患者样本中，流感病毒核酸阳性检出率持续为0，去年同期为1.7%。 专家分析认为，北京市流感病毒活跃程度较低，得益于市民健康素养的提高，在新冠肺炎疫情中严格落实佩戴口罩、注意手卫生和保持社交距离，以及接种流感疫苗等综合干预防控措施，有效减缓了流感病毒的传播，发病率较去年同期大幅下降。这充分说明良好的卫生习惯是最好的防控，市民除了主动接种流感疫苗外，更要保持良好的卫生习惯。在此希望市民朋友，在接种流感疫苗时仍要采取预约制，同时，要继续落实戴口罩、勤洗手、一米线等疫情防疫措施，避免或减少在人员聚集的场所停留，共同做好冬春季呼吸道传染病防控。 责任编辑：张玉 
福建新增境外输入确诊病例4例、无症状感染者2例|2020年11月29日 10:00|原标题：福建新增境外输入确诊病例4例、无症状感染者2例 据福建卫健委网站消息，11月28日0—24时，福建省报告新增境外输入确诊病例4例，其中：俄罗斯输入3例、美国输入1例（均为厦门市报告）。 当日报告新增境外输入疑似病例0例。 当日报告新增境外输入无症状感染者2例，其中：俄罗斯输入1例（厦门市报告），日本输入1例（福州市报告）；解除隔离4例。 截至11月28日24时，福建省累计报告境外输入确诊病例191例，已治愈出院147例，目前住院44例，无死亡病例；现有报告境外输入疑似病例0例；现有报告境外输入无症状感染者尚在接受集中隔离医学观察14例。 11月28日0—24时，福建省报告新增本地确诊病例0例。 当日报告新增本地疑似病例0例。 当日报告新增本地无症状感染者0例。 截至11月28日24时，福建省累计报告本地确诊病例296例（已治愈出院295例、目前住院0例、死亡1例），其中：福州市72例、厦门市35例、漳州市20例、泉州市47例、三明市14例、莆田市56例、南平市20例、龙岩市6例、宁德市26例；现有报告本地疑似病例0例；现有报告本地无症状感染者尚在接受集中隔离医学观察0例。 目前密切接触者已解除医学观察20781人，尚有428人正在接受医学观察。 责任编辑：赖柳华 SN244 
